,Statistic,No.,Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Previous School,Major,Image,Title
56,,61.0,Jabril Williams,OL,6-1,310.0,R-Jr.,"Statesville, N.C. / Statesville",Elon,,Finance,,
57,,62.0,Ahmarion McLeod,OL,6-3,306.0,R-Fr.,"Fort Mill, S.C. / Indian Land",Elon,,,,
58,,64.0,Kevin Burkett,OL,6-4,310.0,Jr.,"Gatlinburg, Tenn. / Gatlinburg-Pittman",Elon,,Undeclared,,
59,,65.0,Timothy Hogan,OL,6-5,308.0,R-Fr.,"Raleigh, N.C. / Leesville Road",Elon,,,,
60,,66.0,Luke Duska,OL,6-5,300.0,R-So.,"Philadelphia, Pa. / Roman Catholic",Elon,,Undeclared,,
61,,67.0,Emerson Baker,OL,6-3,305.0,R-Fr.,"Concord, N.C. / Central Cabarrus",Elon,,,,
62,,68.0,Zach Richardson,OL,6-5,303.0,R-So.,"Boston, Mass. / Boston College HS",Elon,,Undeclared,,
63,,70.0,Jack Cutler,OL,6-5,300.0,R-Jr.,"Mooresville, N.C. / South Iredell",Elon,,Environmental Studies,,
64,,72.0,Caleb Krings,OL,6-3,305.0,Jr.,"Fayetteville, N.C. / Cape Fear",Elon,,Education,,
65,,73.0,Luis Duarte,OL,6-3,339.0,R-Jr.,"Greensboro, N.C. / Dudley",Elon,,Human Service Studies,,
66,,76.0,Zane Gilbert,OL,6-7,312.0,R-Jr.,"Wake Forest, N.C. / Heritage",Elon,,Project Management,,
67,,77.0,Cannon Turner,OL,6-3,268.0,R-Fr.,"Harrisburg, N.C. / Hickory Ridge",Elon,,,,
68,,78.0,Carlos Moore,OL,6-6,305.0,R-Fr.,"Bowie, Md. / St. John's College HS",Elon,,,,
69,,80.0,Landyn Backey,WR,5-10,179.0,R-Fr.,"Monroe, N.C. / Weddington",Elon,,,,
70,,82.0,Johncarlos Miller II,TE,6-5,233.0,R-So.,"Greensboro, N.C. / Dudley",Elon,,Undeclared,,
71,,83.0,Kenaz McMillian,WR,6-0,160.0,Fr.,"Winston-Salem, N.C. / RJ Reynolds",Elon,,,,
72,,84.0,Jamarien Dalton,WR,6-2,183.0,R-So.,"Lexington, N.C. / North Davidson",Elon,,Undeclared,,
73,,86.0,Mason Capers,TE,6-4,232.0,R-Fr.,"Forsyth County, Ga. / South Forsyth",Elon,,,,
