,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown,Current School Name,High School,Image,Name,Title
36,,32.0,Duncan Cloniger,QB,6-2,190.0,Fr.,"St. Louis, Mo.",Bucknell,John Burroughs,,,
37,,33.0,Brad Jamison,LB,6-2,220.0,So.,"Upper Township, N.J.",Bucknell,Ocean City,,,
38,,34.0,Blake Leake,LB,6-1,215.0,Jr.,"Culpeper, Va.",Bucknell,Eastern View,,,
39,,35.0,Paul Neel,RB,5-10,190.0,So.,"Charlotte, N.C.",Bucknell,Charlotte Catholic,,,
40,,36.0,Justin Murray,S,6-1,225.0,Sr.,"Coppell, Texas",Bucknell,Coppell,,,
41,,39.0,Kyle Dowgin,LS,5-10,195.0,Jr.,"Hamilton, N.J.",Bucknell,Notre Dame HS,,,
42,,41.0,Finn Sposato,S,5-11,195.0,Fr.,"Farmington, Conn.",Bucknell,Farmington,,,
43,,42.0,Sam DeLuca,LB,6-2,210.0,Fr.,"Mechanicsburg, Pa.",Bucknell,Mechanicsburg Area,,,
44,,43.0,Donquarius Parker,DL,6-1,220.0,Fr.,"Durham, N.C.",Bucknell,Hillside,,,
45,,44.0,Mike Bright Jr.,DL,6-4,225.0,Jr.,"Woodland Park, N.J.",Bucknell,Hotchkiss School (Conn.),,,
46,,45.0,John Schlendorf,S,5-10,180.0,So.,"Toms River, N.J.",Bucknell,Donovan Catholic/Olympus (Utah),,,
47,,48.0,Aidan Mack,TE,6-3,200.0,Fr.,"Whippany, N.J.",Bucknell,Seton Hall Prep,,,
48,,49.0,Tyler Bower,LB,5-11,215.0,Jr.,"Weston, Conn.",Bucknell,Weston,,,
49,,50.0,Jack Goheen,LB,6-2,210.0,Fr.,"Fishers, Ind.",Bucknell,Cathedral,,,
50,,51.0,Will Ohler,DL,6-3,235.0,So.,"Sudbury, Mass.",Bucknell,Lincoln-Sudbury Regional,,,
