,Statistic,No.,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
54,,64.0,Trey Butts,OL,6-2,260.0,Fr.,"Macon, Ga. / Mount De Sales Academy",Kennesaw State,,,,
55,,65.0,Zion Katina,OL,6-2,285.0,Sr.,"Franklin, Tenn. / Independence HS",Kennesaw State,,,,
56,,66.0,Matt Olson,OL,6-3,285.0,Gr.,"Cumming, Ga. / Forsyth Central HS",Kennesaw State,,,,
57,,67.0,Matthew Gilliam,OL,6-2,250.0,So.,"Fayetteville, Ga. / Fayette County HS",Kennesaw State,,,,
58,,68.0,Trenton Jackson,OL,6-0,290.0,Jr.,"Hattiesburg, Miss. / Oak Grove HS",Kennesaw State,,,,
59,,70.0,James Dawson,OL,6-1,295.0,Jr.,"Opelika, Ala. / Opelika HS",Kennesaw State,,,,
60,,71.0,Nathan Wright,OL,6-3,255.0,Fr.,"Gardendale, Ala. / Gardendale HS",Kennesaw State,,,,
61,,73.0,Mike Fangman,OL,6-1,270.0,So.,"Naples, Fla. / Naples HS",Kennesaw State,Missouri St.,,,
62,,74.0,Desmond Scott,DL,6-0,285.0,Gr.,"Pinson, Ala. / Pinson Valley HS",Kennesaw State,,,,
63,,75.0,Hall O'Neal,OL,6-2,255.0,Jr.,"Atlanta, Ga. / Holy Innocents' Episcopal School",Kennesaw State,,,,
64,,76.0,Brian Habeck,OL,6-3,235.0,Fr.,"Jefferson, Ga. / Jefferson HS",Kennesaw State,,,,
65,,77.0,Conor Cummins,K,6-1,175.0,So.,"Marietta, Ga. / George Walton Comprehensive HS",Kennesaw State,,,,
66,,78.0,Ronnie Thomas,LS,5-10,180.0,Fr.,"Warner Robbins, Ga. / Houston County HS",Kennesaw State,,,,
67,,79.0,Dylan Hannon,DL,6-2,290.0,Fr.,"Alpharetta, Ga. / Alpharetta HS",Kennesaw State,,,,
68,,80.0,Connor Finer,TE,6-2,215.0,So.,"New Port Richey, Fla. / River Ridge HS",Kennesaw State,,,,
69,,81.0,Zane McCracken,LS,6-2,200.0,Jr.,"Calhoun, Ga. / Calhoun HS",Kennesaw State,,,,
70,,82.0,Clayton Nelson,WR,6-0,190.0,Sr.,"Buford, Ga. / Buford HS",Kennesaw State,,,,
71,,83.0,Blake Bohannon,WR,6-1,200.0,So.,"Woodstock, Ga. / Etowah HS",Kennesaw State,,,,
72,,85.0,Rowan Darnell,WR,6-4,210.0,Fr.,"Johns Creek, Ga. / Johns Creek HS",Kennesaw State,,,,
73,,86.0,Carson Kent,TE,6-4,230.0,Fr.,"Milton, Ga. / Cambridge HS",Kennesaw State,,,,
74,,87.0,Carter Pinholster,WR,6-1,190.0,Jr.,"Fort Payne, Ala. / Fort Payne HS",Kennesaw State,,,,
75,,88.0,Nathan Robertson,K,5-10,160.0,Gr.,"Columbus, Ga. / Northside HS",Kennesaw State,,,,
76,,89.0,Acha Mbanwei,K/P,5-11,230.0,So.,"Conyers, Ga. / Heritage HS",Kennesaw State,Presbyterian,,,
77,,90.0,Joshua Huiet,P,6-2,205.0,So.,"Johns Creek, Ga. / Johns Creek HS",Kennesaw State,,,,
78,,90.0,Ugonna Nwoha,DL,6-3,265.0,Fr.,"Austell, Ga. / South Cobb HS",Kennesaw State,,,,
79,,91.0,Joshua Agbenou,DL,6-2,235.0,Jr.,"Bethlehem, Ga. / Apalachee HS",Kennesaw State,Furman,,,
80,,92.0,Carlos Allen,DL,6-0,290.0,Jr.,"Atlanta, Ga. / Frederick Douglass HS",Kennesaw State,,,,
81,,93.0,Jayden Barron,DL,6-2,280.0,Sr.,"Thomaston, Ga. / Upson-Lee HS",Kennesaw State,,,,
82,,95.0,Joel Parker,DL,6-0,250.0,Sr.,"Birmingham, Ala. / Pinson Valley HS",Kennesaw State,,,,
83,,96.0,Travis Bell,DL,6-1,305.0,Gr.,"Montgomery, Ala. / Jefferson Davis HS",Kennesaw State,,,,
84,,97.0,Adam Watkins,DL,6-0,285.0,So.,"Dacula, Ga. / Dacula HS",Kennesaw State,,,,
85,,98.0,RJ Taylor,DL,6-3,195.0,Fr.,Gulf Shores Ala. / Gulf Shores HS,Kennesaw State,,,,
86,,99.0,Charles Remy,LB,6-1,215.0,So.,"Kennesaw, Ga. / Harrison HS",Kennesaw State,,,,
87,,,Hunter Bean,DL,6-1,280.0,So.,"Duluth, Ga. / Duluth HS",Kennesaw State,,,,
88,,,Naziq Dahniya,RB,5-11,225.0,Fr.,"McDonough, Ga. / Ola HS",Kennesaw State,,,,
89,,,Onajite Dievbiere,DL,6-7,270.0,So.,"Suwanee, Ga. / Lambert HS",Kennesaw State,Maryville College,,,
90,,,Tyler Dugger,WR,5-11,195.0,Jr.,"Augusta, Ga. / Cross Creek HS",Kennesaw State,Webber International University,,,
91,,,Tyriek Johnson,DB,5-8,175.0,So.,"Hoschton, Ga. / Mill Creek HS",Kennesaw State,Presbyterian,,,
92,,,Connor O'Neill,DL,6-0,240.0,Fr.,"McDonough, Ga. / Ola HS",Kennesaw State,,,,
93,,,Havik Pettigrew,OL,6-0,250.0,Fr.,"Acworth, Ga. / Allatoona HS",Kennesaw State,,,,
94,,,Brayson Seaborne,RB,5-7,170.0,So.,"Chamblee, Ga. / Chamblee Charter HS",Kennesaw State,,,,
95,,,Jackson Waits,OL,6-1,275.0,Fr.,"Kennesaw, Ga. / Kennesaw Mountain HS",Kennesaw State,,,,
0,,,,,,,,,Kennesaw State,,,Brian Bohannon,Head Coach
1,,,,,,,,,Kennesaw State,,,Chris Klenakis,Offensive Coordinator/Offensive Line Coach
2,,,,,,,,,Kennesaw State,,,Nathan Burton,Defensive Coordinator
