,Statistic,No.,Name,Yr.,Pos.,Ht.,Wt.,Hometown/High School,Current School Name,Major,Image,Title
67,,97.0,Phillip Peiffer,Jr.,DL,6-5,263.0,"Frankfort, Ky. / Franklin County",Lafayette,International Affairs,,
68,,98.0,Marcus Joseph,Sr.,DL,6-4,306.0,"Carson, Calif. / Windward School",Lafayette,Government & Law and Foreign Language,,
0,,,John Troxell,,,,,,Lafayette,,,Fred M. Kirby II '42 Head Football Coach
1,,,Kevin Baumann,,,,,,Lafayette,,,Assistant Head Coach/Offensive Line
2,,,T.J. DiMuzio,,,,,,Lafayette,,,Offensive Coordinator/Quarterbacks
3,,,Ryan Roeder,,,,,,Lafayette,,,Wide Receivers
4,,,Anthony Johnson,,,,,,Lafayette,,,Running Backs
5,,,Tyler Noll,,,,,,Lafayette,,,Tight Ends
6,,,Mike Saint Germain,,,,,,Lafayette,,,Defensive Coordinator/Linebackers
7,,,Andrew Seumalo,,,,,,Lafayette,,,Recruiting Coordinator/Outside Linebackers
8,,,Meade Clendaniel,,,,,,Lafayette,,,Safeties
9,,,Donte Wilkins,,,,,,Lafayette,,,Defensive Line
10,,,Jeff Sejour,,,,,,Lafayette,,,Cornerbacks
11,,,Jake Amsler,,,,,,Lafayette,,,Defensive Quality Control
12,,,Shane Davenport,,,,,,Lafayette,,,Director of Football Performance
13,,,Maddie Rodgers,,,,,,Lafayette,,,Director of Football Operations
0,,,Carlos Tavares,,,,,,Lafayette,,,Faculty Mentor
1,,,Jeff Liebner,,,,,,Lafayette,,,Faculty Mentor
