,Statistic,#,Image,Player,Pos.,Ht.,Wt.,Year,Hometown / High School,Previous School,Major,Name,Title
89,,83.0,,Jake Fieldman,WR,5-11,180.0,R-Fr.,"Joliet, Ill. / Joliet Catholic",,,,
90,,85.0,,Will Shumpert,WR,6-6,220.0,R-Jr.,"St. Louis, Mo. / Belleville West",,Computer and Info Technology,,
91,,87.0,,Alex Ginnever,TE,6-5,225.0,R-Fr.,"Wentzville, Mo. / Holt",,Sport Management,,
92,,88.0,,DeAirious Smith,WR,5-11,180.0,Jr.,"Lexington, Ky. / Lexington Christian Academy",,Engineering Technology,,
93,,89.0,,Daniel Luoma,WR / K,6-2,225.0,Jr.,"Porvoo, Finland / Porvoon",,Exercise Science,,
94,,90.0,,Zed Asowata,DL,6-3,250.0,5th,"Spring, Texas / Cypress Ridge",Midwestern State Univ.,,,
95,,91.0,,Nicholas Oliveira-Chace,DL,6-3,250.0,Jr.,"Cambridge, Mass. / Cambridge Rindge and Latin School",Franklin Pierce Univ.,,,
96,,92.0,,Colby Smith,DL,6-0,290.0,Jr.,"Dunnellon, Fla. / Dunnellon",Dodge City CC,HIS: Teacher Education,,
97,,94.0,,Alton Jefferson,DL,6-0,285.0,Jr.,"Louisville, Ky. / Trinity",,Hospitality Entrepreneurship,,
98,,95.0,,Cole Silzer,DL,6-3,250.0,R-Fr.,"Lockport, Ill. / Lockport Township",,Pre Pharmacy,,
99,,96.0,,Cody Silzer,DL,6-3,250.0,R-Fr.,"Lockport, Ill. / Lockport Township",,Biological Sciences,,
100,,99.0,,Jaron Hacha,DL,5-11,305.0,Jr.,"Frankfort, Ill. / Lincoln-Way East",,KSR: Teacher Licensure Option,,
0,,,,,,,,,,,,Chris Wilkerson,Head Football Coach
1,,,,,,,,,,,,Kyle Derickson,Associate Head Coach / Special Teams Coordinator & Wide Receivers
2,,,,,,,,,,,,Joe Davis,Assistant Coach / Offensive Coordinator & Quarterbacks
3,,,,,,,,,,,,Clay Bignell,Assistant Coach / Defensive Coordinator & Safeties
4,,,,,,,,,,,,DJ Bland,Assistant Coach / Defensive Pass Game Coordinator & Corners / Recruiting Coordinator / Pro Liaison
5,,,,,,,,,,,,Andrew Brady,Assistant Coach / Outside Linebackers
6,,,,,,,,,,,,John Cannova,Assistant Coach / Offensive Line
7,,,,,,,,,,,,Collin Geier,Assistant Coach / Inside Linebackers
8,,,,,,,,,,,,Turner Pugh,Assistant Coach / Running Backs
9,,,,,,,,,,,,Fred Wyatt,Assistant Coach - Defensive Line
10,,,,,,,,,,,,Tim Greene,Graduate Assistant - Offense
11,,,,,,,,,,,,Ryan DeMarois,Football Quality Control - Defense
12,,,,,,,,,,,,Jared Sutton,Football Quality Control - Offense
13,,,,,,,,,,,,Caleb Selk,Director of Football Operations
14,,,,,,,,,,,,Reid Littleford,Graduate Assistant - Football Operations
15,,,,,,,,,,,,Derek Stein,Director of Football Performance
16,,,,,,,,,,,,Austin Leake,Football Director of Player Personnel
