,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Major,Image,Title
79,,67.0,Kaiden Parrish,OL,6-3,250.0,Fr.,"Woodmoor, Colo. / Valor Christian",Drake,,,
80,,68.0,Ross Palmer,OL,6-6,340.0,Jr.,"Waukee, Iowa / Waukee",Drake,Actuarial Science and Data Analytics,,
81,,69.0,Brett Welsing,LS,6-3,245.0,Fr.,"De Pere, Wis. / West De Pere",Drake,,,
82,,70.0,Joshua Kelly,OL,6-1,280.0,Fr.,"Rocklin, Calif. / Rocklin",Drake,,,
83,,71.0,Rhent Addis,OL,6-4,325.0,Jr.,"Goshen, Ind. / Northridge",Drake,Political Science,,
84,,72.0,Isaac House,OL,6-4,270.0,Jr.,"Collinsville, Okla. / Collinsville",Drake,Management & Organizational Leadership,,
85,,75.0,Kyle Kennedy,OL,6-3,265.0,So.,"Schwenksville, Pa. / Spring-Ford",Drake,Marketing,,
86,,76.0,Jimmy Poremba,OL,6-3,290.0,Sr.,"Wildwood, Ill. / Warren Township",Drake,"Biochemistry, Cell and Molecular Biology & Chemistry & Secondary Education",,
87,,77.0,Caleb Steinbaugh,OL,6-5,285.0,Fr.,"Omaha, Neb. / Millard West",Drake,,,
88,,78.0,Nathan VanDeWoestyne,OL,6-4,250.0,Fr.,"Geneseo, Ill. / Geneseo",Drake,,,
89,,79.0,Max Morris,OL,6-4,250.0,So.,"Littleton, Colo. / Heritage",Drake,"Biochemistry, Cell and Molecular Biology",,
90,,80.0,Colin Howard,WR,6-1,205.0,Sr.,"St. Petersburg, Fla. / Concordia Lutheran",Drake,Management & Organizational Leadership,,
91,,81.0,Dante DeNardo,WR,6-1,185.0,So.,"Pottstown, Pa. / Owen J. Roberts",Drake,"Law, Politics & Society/International Relations",,
92,,82.0,Tyler Nansel,TE,6-4,185.0,Fr.,"Bozeman, Mont. / Gallatin",Drake,,,
93,,83.0,Brandon Langdok,WR,6-0,170.0,Jr.,"St. Michael, Minn. / St. Michael Albertville",Drake,Business Studies,,
94,,84.0,Trey Radocha,WR,5-11,195.0,Jr.,"Austin, Texas / Vandegrift",Drake,Economics & Finance,,
95,,85.0,Sam Rodriguez,TE,6-2,230.0,Jr.,"Western Springs, Ill. / Lyons Township",Drake,Secondary Education,,
96,,87.0,Tim Nesslage,TE,6-1,220.0,Jr.,"O'Fallon, Mo. / Fort Zumwalt North",Drake,"Law, Politics & Society",,
97,,88.0,Zack Gray,TE,6-2,200.0,Sr.,"Scottsdale, Ariz. / Notre Dame Prep",Drake,Finance,,
98,,89.0,Shane Dunning,K,6-0,175.0,Jr.,"Muskego, Wis. / Muskego",Drake,Business Studies,,
99,,90.0,Finn Claypool,DL,6-1,240.0,R-Fr.,"Des Moines, Iowa / Dowling Catholic",Drake,"Law, Politics & Society/International Business",,
