,Statistic,#,Name,Pos.,Ht.,Wt.,Hometown / High School,Academic Year,Previous School,Image,Title
88,,87.0,Devon Sa'Chisolm,WR,6-0,185.0,"Lahaina, Hawaii / Orem High School",So.,,,
89,,88.0,Jessie Campbell,WR,6-2,185.0,"Chula Vista, Calif. / Mater Dei Catholic High School",R-Fr.,,,
90,,89.0,Jacob Moffitt,TE,6-3,240.0,"Clear Spring, Maryland / Clear Spring High School",R-Fr.,Frostburg State,,
91,,90.0,Julian Amituanai,DT,6-0,235.0,"San Jose, California / Sheldon High School",Fr.,,,
92,,91.0,Francis Bemiy,DL,6-4,270.0,"Montreal, Canada / Carnegie High School",Sr.,,,
93,,92.0,Edgardo Huerta,DL,6-2,270.0,"Hyrum, Utah / Mountain Crest High School",R-Fr.,,,
94,,93.0,Rylen Sua-Filo,DL,6-1,300.0,"Orem, Utah / Orem High School",Fr.,,,
95,,94.0,Anisi Purcell,DE,6-3,266.0,"West Bountiful, Utah / Bountiful High School",Fr.,,,
96,,95.0,Breken Bowen,DE,6-3,246.0,"Heber City, Utah / Wasatch High School",Fr.,,,
97,,96.0,Joe Tongamoa,DL,6-1,260.0,"Mountain View, Calif. / St. Francis High School",R-Fr.,,,
98,,97.0,Kannon Matthews,DE,6-3,238.0,"Sandy, Utah / Alta High School",Fr.,,,
99,,98.0,Wyatt Dawe,DL,6-0,295.0,"Pleasant Grove, Utah / Pleasant Grove High School",Fr.,,,
100,,99.0,Mata'ava Ta'ase,TE,6-3,255.0,"Mesa, Ariz. / Mountain View High School",So.,,,
0,,,DeLane Fitzgerald,,,,,,,,Head Coach
1,,,John Kelling,,,,,,,,Defensive Coordinator/Safeties Coach
2,,,Darrius G. Smith,,,,,,,,Running Backs Coach/Recruiting Coordinator
3,,,Shawn Magginson,,,,,,,,Defensive Ends Coach
4,,,Will Brunson,,,,,,,,Tight Ends Coach
5,,,Ryan Hunt,,,,,,,,Interior Defensive Line Coach/Director of Football Operations
6,,,Brady Measom,,,,,,,,Wide Receivers Coach
7,,,Shay McClure,,,,,,,,Linebackers Coach and Special Teams Coordinator
8,,,Andrew Bates,,,,,,,,Football Strength & Conditioning Coach
0,,,Maggie Lewis,,,,,,,,Football Administrative Assistant
1,,,Braiden Hall,,,,,,,,Head Football Equipment Manager
2,,,Tyler Smith,,,,,,,,Volunteer Assistant Coach (Offense)
3,,,TJ Peer,,,,,,,,Offensive Analyst
4,,,Jordan Brown,,,,,,,,Film Coordinator
5,,,Morgan Alfaro,,,,,,,,Director of On-Campus Recruiting
6,,,Megan Kelling,,,,,,,,Football Administrative Assistant
