,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown/Previous School,Image,Title
99,,78.0,Myron Ward,OL,6-3,300.0,Fr.,"Tallahassee, Fla. /",,
100,,79.0,Christopher Williams,OL,6-5,335.0,R-Fr.,"Tallahassee, Fla. / Florida State",,
101,,80.0,Michael Townsend,ATH,5-10,175.0,Fr.,"Tallahassee, Fla. / Rickards HS",,
102,,80.0,Michael Williams,WR,5-8,175.0,Fr.,"Cleveland, Ohio /",,
103,,81.0,Kamari Young,TE,6-4,245.0,R-Jr.,"Tallahassee, Fla. /",,
104,,82.0,Ce'Zaun Enge,WR,5-10,185.0,So.,"Chicago, Ill. / Minnesota State Community And Technical College",,
105,,83.0,Darian Oxendine,WR,5-10,170.0,R-Jr.,"St. Augustine, Fla. / UT-Martin",,
106,,84.0,Jermaine Hawkins,WR,6-2,175.0,So.,"Miami, Fla. /",,
107,,85.0,David Manigo,WR,6-3,190.0,R-Sr.,"Decatur, Ga. /",,
108,,87.0,Christian Jones,WR,6-0,155.0,R-So.,"Tampa, Fla. /",,
109,,88.0,Nicholas Dixon,WR,6-2,210.0,R-Sr.,"Jacksonville, Fla. / Godby HS",,
110,,89.0,Cam Shelton,TE,6-4,245.0,R-Jr.,"Milton, Fla. / Delta State",,
111,,90.0,Richard Summers,DL,6-2,345.0,R-Sr.,"Tallahassee, Fla. /",,
112,,92.0,Gentle Hunt,DL,5-11,290.0,R-So.,"High Springs, Fla. / Gainesville HS",,
113,,93.0,Donald Hall,DL,6-3,315.0,R-Sr.,"Olive Branch, Miss. / Mississippi Gulf Coast CC",,
114,,94.0,Jolan Gilley,DL,6-2,305.0,R-Jr.,"Tallahassee, Fla. /",,
115,,95.0,Abu Bangura,DL,6-3,260.0,R-Sr.,"Baltimore, MD /",,
116,,96.0,Anthony Dunn Jr.,DL,6-4,250.0,R-Fr.,"Sanford, Fla. / Marshall",,
117,,97.0,Kamari Stephens,DL,6-3,270.0,R-Jr.,"Jacksonville, Fla. /",,
118,,98.0,Stanley Mentor,DL,6-2,320.0,R-Sr.,"Orlando, Fla. / Lane College",,
119,,99.0,James Ash,DL,6-4,280.0,R-So.,"Tampa, Fla. / Wake Forest",,
120,,99.0,Leonardo Zuazo,PK,5-9,175.0,R-Fr.,"Miami, Fla. /",,
0,,,Willie Simmons,,,,,,,Head Coach / Quarterbacks
1,,,James Spady,,,,,,,Associate Head Coach / Tight Ends
2,,,Ryan Smith,,,,,,,Assistant Head Coach / Defensive Coordinator / Linebackers
3,,,Billy Rolle,,,,,,,Special Assistant to the Head Coach / Nickelbacks
4,,,Joseph Henry,,,,,,,Offensive Coordinator / Offensive Line Coach
5,,,Chili Davis,,,,,,,Special Teams Coordinator
6,,,Jelani Berassa,,,,,,,Passing Game Coordinator / Wide Receivers
7,,,Marcus Windham,,,,,,,Running Backs Coach
8,,,Milton Patterson,,,,,,,Defensive Run Game Coordinator / Defensive Line
9,,,James Colzie III,,,,,,,Defensive Passing Game Coordinator / Cornerbacks
10,,,Davon Morgan,,,,,,,Safeties
11,,,Orlando McKinley,,,,,,,Defensive Graduate Assistant
12,,,Ayeobele Randolph,,,,,,,Video / Offensive Graduate Assistant
13,,,Chris Jaksch,,,,,,,Video / Defensive Graduate Assistant
14,,,Larry Kirkland,,,,,,,Volunteer Offensive Quality Control
0,,,LaTroy Johnson,,,,,,,Director of Football Operations / Chief of Staff
1,,,"Vincent Williams, MS, LAT, ATC, USAW",,,,,,,Director of Sports Medicine/Head Athletic Trainer
2,,,Cole Forney,,,,,,,"Director of Sports Performance (FB, MBB, WBB)"
3,,,Donald Reed,,,,,,,Director of Equipment Operations
4,,,Alexia Randolph,,,,,,,Director of Video Operations
5,,,Devin Rispress,,,,,,,Director of Recruiting
6,,,Kyndal Perry,,,,,,,Director of On-Campus Recruiting Graduate Assistant
7,,,"Ray Mathews, Jr.",,,,,,,Volunteer Football Operations
