,Statistic,Image,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown,Previous School,Twitter,Name,Title
78,,,82.0,Aaron Powell,WR,5-7,168.0,R-Jr.,"Houston, Texas",Nimitz,,,
79,,,84.0,Skyron Littleton,OL,6-4,250.0,R-Jr.,"Lafayette, La.",Carencro,,,
80,,,86.0,Miles Thomas,WR,6-3,190.0,R-Fr.,"Dallas, Texas",Independence CC,,,
81,,,87.0,Kameron Mouton,WR,6-0,174.0,Fr.,"Houston, Texas",,,,
82,,,88.0,Roderick Howard,WR,6-5,170.0,R-Jr.,"Beaumont, Texas",Legacy Christian,,,
83,,,89.0,Jarvis Williams,WR,-,,So.,"Dallas, Texas",Cisco College,,,
84,,,91.0,Isaiah Chance,DE,6-3,212.0,R-Jr.,"Pearland, Texas",Dawson,,,
85,,,92.0,Gabe Smith,DE,6-3,228.0,R-Fr.,"Austin, Texas",LBJ,,,
86,,,93.0,Tyler Martinez,DT,6-3,283.0,R-So.,"Houston, Texas",Humble,,,
87,,,94.0,David Walker,DL,6-0,260.0,Fr.,"Richmond, Texas",George Ranch,,,
88,,,95.0,Matthew Long,TE,6-3,205.0,Fr.,"Huntsville, Texas",Huntsville,,,
89,,,96.0,Michael Akins,DE,6-2,255.0,R-Fr.,"New Iberia, La.",New Iberia,,,
90,,,97.0,Quinton Cook,DT,6-3,270.0,Fr.,"New Iberia, La.",New Iberia,,,
91,,,98.0,Atravon Bossier,DT,6-3,296.0,R-Fr.,"Lafayette, La.",Acadiana,,,
92,,,99.0,Rolland Trent,DT,6-3,265.0,So.,"Beaumont, Texas",United,,,
0,,,,,,,,,,,,Clarence McKinney,Head Coach
1,,,,,,,,,,,,David Marsh,Offensive Coordinator/Quarterbacks
2,,,,,,,,,,,,Jeffery Ceasar,Defensive Coordinator/Defensive Line
3,,,,,,,,,,,,Jerwin Wilson,Wide Receivers/Recruiting
4,,,,,,,,,,,,Justin Sanders,Defensive Backs
5,,,,,,,,,,,,Derrick Mathews,Linebackers
6,,,,,,,,,,,,Nicholas Pearce,Defensive Assistant
7,,,,,,,,,,,,Manny Ramirez,Offensive Line
8,,,,,,,,,,,,Larry Warner,Running Backs / Special Teams Coordinator
9,,,,,,,,,,,,Darren Garrigan,Cornerbacks
10,,,,,,,,,,,,Charles Nichols,Football Operations
11,,,,,,,,,,,,Dr. David Phillips,Strength Coach
12,,,,,,,,,,,,Lonzo Giles,Video Coordinator
13,,,,,,,,,,,,Anthony Joubert,Football Equipment Manager
14,,,,,,,,,,,,Ed Paris,Graduate Assistant
0,,,,,,,,,,,,Bart Jameson,Director of Sports Medicine
