,Statistic,Image,No.,Name,Pos.,Yr.,Ht.,Wt.,Hometown,High School,C,Title
54,,,36.0,Deionte Davis,LB,Sr.,6-4,196.0,"Landover, MD",Riverdale Baptist HS,,
55,,,37.0,Aaron Bickerton,K/P,Fr.,6-2,185.0,"Bonita Springs, FL",Gulf Coast H.S.,,
56,,,40.0,Phil Cook,LB,R-Fr.,6-1,230.0,"Ardmore, PA",Lower Marion HS,,
57,,,41.0,Kemar Brown,LB,R-Fr.,6-1,225.0,"Suwanee, GA",North Gwinett HS,,
58,,,42.0,Marcus Brown,DL,Jr.,6-5,245.0,"Houston, TX",Lamar HS,,
59,,,43.0,Brock Morgan,LB,Fr.,6-1,225.0,"Kannapolis, N.C.",A.L. Brown H.S.,,
60,,,44.0,Jay Brandon Jones II,LB,R-Fr.,5-11,225.0,"Charlotte, N.C.",Providence Day HS,,
61,,,45.0,Elton Jean-Baptiste,DL,Sr.,6-2,220.0,"Irvington, NJ",Irvington HS,,
62,,,46.0,Bryce Miller,LS,Sr.,6-1,265.0,"Woodbridge, VA",C.D. Hylton HS,,
63,,,48.0,Chris Williams,DL,So.,6-2,240.0,"Raleigh, NC",Heritage HS,,
64,,,49.0,Phillip Richards,P,Gr.,6-4,215.0,"Melbourne, Australia",St. Joseph's H.S.,,
65,,,50.0,Jamal Hines,OL,So.,6-4,292.0,"Landover, MD",DeMatha Catholic HS,,
66,,,51.0,KJ Henderson,LB,R-Fr.,6-0,220.0,"Philadelphia, PA",Bishop McDevitt HS,,
67,,,52.0,Darius Fox,OL,So.,6-3,308.0,"Washington, DC",DeMatha Catholic HS,,
68,,,53.0,Tavaris Ross,OL,Fr.,6-4,290.0,"Glen Burnie, MD",St. Frances Academy,,
69,,,54.0,"Gerone Hamilton, Jr.",OL,Gr.,6-5,295.0,"Apple Valley, MN",Academy of Holy Angels HS,,
70,,,55.0,DeShawn Ingram,OL,Sr.,6-4,308.0,"Detroit, MI","Martin Luther King, Jr. HS",,
71,,,56.0,Camren May,OL,Fr.,6-7,286.0,"Detroit, MI",Southeastern H.S.,,
72,,,57.0,Da'Metrius Weatherspoon,OL,So.,6-7,340.0,"Clairton, PA",Clairton HS,,
73,,,59.0,Wallace Chester,DL,Sr.,6-7,230.0,"Miami, FL",St. Thomas Aquinas HS,,
74,,,66.0,"Tim Artis, Jr.",OL,Fr.,6-4,285.0,"Charlotte, NC",Hough H.S.,,
75,,,69.0,Seth Hawkins,OL,Jr.,6-3,292.0,"Amelia, VA",Amelia County Hs,,
76,,,72.0,Jack Forsyth,OL,So.,6-6,310.0,"Falls Church, VA",Falls Church HS,,
77,,,73.0,Xavier Ricks,OL,So.,6-3,290.0,"Frederick, MD",Good Counsel HS,,
78,,,75.0,Christian Bing,OL,So.,6-3,290.0,"Atlanta, GA",Pace Academy,,
79,,,77.0,Anim Dankwah,OL,Sr.,6-8,365.0,"Accra, Ghana",Taft School,,
80,,,78.0,Kendall Cousins,OL,So.,5-11,285.0,"Westchester, N.Y.",Peekskill H.S.,,
81,,,80.0,Bryce Davis,WR,R-Fr.,6-1,200.0,"Syrmna, GA",Whitefield Academy,,
82,,,82.0,Bryce Parker,WR,So.,6-2,175.0,"Charlotte, NC",Mallard Creek H.S.,,
83,,,83.0,Melvin Crenshaw III,WR,R-Fr.,5-9,175.0,"Upper Marlboro, MD",CH Flowers HS,,
84,,,84.0,Elijah Cruz,WR,Jr.,5-10,187.0,"Philadelphia, PA",Central HS,,
85,,,85.0,Brennan Brown,TE,Sr.,6-5,248.0,"Dallas, TX",Greenhill HS,,
86,,,86.0,Thomas Vi,TE,Sr.,6-4,245.0,"Brentwood, CA",Liberty HS,,
87,,,87.0,Cameron O'Neal,TE,Jr.,6-4,225.0,"Reynoldsburg, OH",St. Charles Prep,,
88,,,88.0,Montrell Walker,TE,R-Fr.,6-3,245.0,"Mount Juliet, TN",Mount Juliet Christian Academy,,
89,,,89.0,Christion Carter,TE,Sr.,6-7,240.0,"Detroit, MI",Detroit Country Day School,,
90,,,90.0,Emerson Martin III,DL,R-Fr.,6-5,276.0,"Raleigh, NC",State College HS (PA),,
91,,,91.0,Noah Miles,DL,Fr.,6-5,255.0,"Tampa, FL",Hillsborough H.S.,,
92,,,92.0,Jason Seraphin,DL,Fr.,6-3,290.0,"Miami, FL",North Miami Beach HS,,
93,,,93.0,"Curtis Miller, Jr.",DL,R-Fr.,6-1,277.0,"Camden, N.J.",Timber Creek HS,,
94,,,94.0,"Broadus Brown, Jr.",DL,R-Fr.,6-0,280.0,"Island Park, NY",Paramus Catholic HS,,
95,,,95.0,James Gore,DL,R-So.,6-1,300.0,"Clayton, N.C.",Park Hill HS,,
96,,,96.0,Jamel Stewart,DL,So.,6-2,268.0,"Richmond, VA",Thomas Jefferson HS,,
97,,,97.0,Chase Brantley,DL,Fr.,6-0,265.0,"Arlington, TX",Mansfield Legacy H.S.,,
98,,,99.0,Derrick Brown,DL,Fr.,6-5,255.0,"Fort Washington, MD",Friendly H.S.,,
0,,,,Larry Scott,,,,,,,,Head Football Coach
1,,,,Lee Hull,,,,,,,,Offensive Coordinator
2,,,,Troy Douglas,,,,,,,,Defensive Coordinator
3,,,,Vernon Hargreaves,,,,,,,,Special Teams Coordinator/Defensive Line Coach
4,,,,Da'Vaun Johnson,,,,,,,,Running Backs Coach
5,,,,Lindsey Lamar,,,,,,,,Wide Receivers Coach
6,,,,Warren Belin,,,,,,,,Linebackers Coach
7,,,,Brandon Torrey,,,,,,,,Offensive Line Coach
8,,,,Kyshoen Jarrett,,,,,,,,Defensive Backs Coach
9,,,,Nicholas Gould,,,,,,,,Tight Ends Coach
0,,,,David Davis,,,,,,,,Director of Football Operations
1,,,,Janice Pettyjohn,,,,,,,,Director of On-Campus Recruiting
2,,,,Kevin Barger,,,,,,,,Offensive Quality Control
3,,,,Mike Bellamy,,,,,,,,Offensive Quality Control
4,,,,Buddy Ruff,,,,,,,,Defensive Quality Control
5,,,,Akiel Russell,,,,,,,,Defensive Quality Control
