,Statistic,#,Full Name,Pos.,Ht.,Wt.,Cl.,Hometown/High School,Previous School,Image,Name,Title
47,,44.0,Jeffrey Selby,ILB,5-11,210.0,So.,"Lexington, Ky. / Lexington Christian Academy",,,,
48,,45.0,Tyler Wilms,DL,6-1,225.0,So.,"Lemont, Ill. / Lemont HS",,,,
49,,46.0,Emmanuel Cheatham,DB,5-9,165.0,So.,"Hopkinsville, Ky. / Hopkinsville HS",,,,
50,,46.0,Sam Williams,DL,-,,Jr.,"Pebroke Pines, Fla. / Calvary Christian Academy",Pittsburgh,,,
51,,47.0,Trey Jefferson,DB,6-3,197.0,So.,"Hopkinsivlle, Ky. / Hopkinsville HS",,,,
52,,48.0,Ben Williamson,LS,5-9,227.0,R-So.,"Dalton, Ga. / Christian Heritage HS",Shorter,,,
53,,49.0,Trace Ruckman,DB,6-1,200.0,Fr.,"Wildwood, MO / Eureka HS",,,,
54,,50.0,Tyler Boone,ILB,5-11,216.0,R-So.,"Marion, Ky. / Crittenden County HS",,,,
55,,53.0,Camden Robbins,OLB,6-1,191.0,So.,"Fairfield, Ill. / Fairfield HS",,,,
56,,54.0,Amario Wilson,DL,6-3,240.0,So.,"Bowling Green, Ky. / Warren Central HS",,,,
57,,55.0,Matthew Baker,OLB,6-4,230.0,R-Fr.,"Rochester, Ill. / Rochester HS",,,,
58,,56.0,Andrew Long,OLB,6-2,229.0,R-Jr.,"Lexington, Ky. / Lexington Christian Academy",,,,
59,,58.0,Cade Shupperd,OLB,6-1,237.0,R-Jr.,"Brownsburg, Ind. / Brownsburg HS",,,,
60,,60.0,Tynan Tucker,ILB,5-10,190.0,So.,"Georgetown, Del. / Sussex Tech HS",,,,
61,,62.0,Blake Moody,OL,6-3,300.0,R-Jr.,"Madisonville, Ky. / Madisonville North Hopkins HS",,,,
62,,65.0,Devin Tingle,OL,6-3,299.0,So.,"Moundville, Ala. / Hale County HS",,,,
63,,66.0,Jerome Logan,DL,6-2,328.0,So.,"St. Louis, Mo. / Christian Brothers College HS",,,,
64,,67.0,Jacob Frye,OL,6-6,323.0,R-Sr.,"Murfreesboro, Tenn. / Siegel HS",,,,
65,,68.0,Gaige Jacobs,OL,6-3,299.0,R-Fr.,"Murray, Ky. / Murray HS",,,,
66,,69.0,Cole Williamson,OL,6-5,333.0,R-Sr.,"Carrollton, Ga. / Carrollton HS",,,,
67,,71.0,Ashton Flinn,OL,6-4,274.0,So.,"Jackson, Mo. / Jackson HS",,,,
68,,75.0,Rodreques Boller,OL,6-3,315.0,R-So.,"Louisville, Ky. / DuPont Manual HS",,,,
69,,76.0,Josh Robinson,OL,6-3,264.0,So.,"Greenbrier, Ark. / Greenbrier HS",,,,
70,,77.0,Henry Kofowo,OL,6-2,368.0,R-Fr.,"Stone Mountain, Ga. / Stone Mountain HS",,,,
71,,78.0,DJ Jones,OL,6-5,338.0,R-Jr.,"Jackson, Ala. / Jackson HS",,,,
72,,79.0,Desmond Kelly,OL,6-3,301.0,R-Fr.,"Chicago, Ill. / Thornton Township HS",Norfolk St.,,,
73,,80.0,Kade Neely,WR,6-3,210.0,So.,"Mayfield, Ky. / Mayfield HS",,,,
74,,81.0,Brian Thomas,WR,5-10,165.0,So.,"Paducah, Ky. / Paducah Tilghman HS",,,,
75,,84.0,Parker Perry,WR,6-3,175.0,So.,"Little Rock, Ark. / Parkview Magnet HS",,,,
76,,85.0,Eric Ruess,OLB,6-3,229.0,So.,"Festus, Mo. / Festus HS",,,,
77,,86.0,Reece Jesse,WR,6-2,208.0,R-Fr.,"Hopkinsville, Ky. / Hopkinsville HS",Louisville,,,
78,,87.0,Owen Gish,TE,6-5,226.0,So.,"Kansas City, Mo. / Blue Spring South HS",,,,
79,,88.0,Drayton Charlton-Perrin,TE,6-4,225.0,R-So.,"Northbrook, Ill. / Glenbrook North HS",Ball St.,,,
80,,89.0,Cole Rusk,TE,-,,Jr.,"Rock Island, Ill. / Rock Island HS",Eastern Michigan,,,
81,,90.0,Dimonyai Lacey,DL,6-3,288.0,R-Fr.,"Eufaula, Ala. / Eufaula HS",,,,
82,,91.0,Colbe Haddox,DL,6-2,295.0,So.,"Chattanooga, Tenn. / Boyd Buchanan HS",,,,
83,,93.0,CJ Barnes,DL,6-5,268.0,R-Jr.,"Collierville, Tenn. / Collierville HS",,,,
84,,94.0,Japhet Mubenga,DL,6-3,269.0,So.,"Buford, Ga. / Buford HS",,,,
85,,95.0,Ebenezer Bedada,DL,6-5,235.0,So.,"Calgary, Alberta, Canada / Clearwater Academy International HS",,,,
86,,99.0,Donovan McBride,DL,6-2,318.0,Jr.,"Grain Valley, Mo. / Grain Valley HS",,,,
0,,,,,,,,,,,Dean Hood,Head Coach
1,,,,,,,,,,,Ben Hodges,Assistant Coach (Off. Coord./QB)
2,,,,,,,,,,,Dillon Sanders,Assistant Coach (Def. Coord./ILB)
3,,,,,,,,,,,Chris Cunningham,Assistant Coach (Spec. Tms. Coord./OLB)
4,,,,,,,,,,,Johnson Richardson,Assistant Coach (Rec. Coord./OL)
5,,,,,,,,,,,Charlie Skalaski,Assistant Coach (Chief of Staff/Defense)
6,,,,,,,,,,,Yon Boone,Assistant Coach (DB)
7,,,,,,,,,,,Cody Gibson,Assistant Coach (TE/RB)
8,,,,,,,,,,,Darius Hart,Assistant Coach (DL)
9,,,,,,,,,,,Josh Medler,Strength & Conditioning Coach
10,,,,,,,,,,,Cameron Haney,Graduate Assistant (Defense)
11,,,,,,,,,,,Gary Crass,Volunteer Assistant Coach
0,,,,,,,,,,,Samantha Shipley,Assistant AD - Football
1,,,,,,,,,,,Fulton Hart,Athletic Trainer
2,,,,,,,,,,,Peyton Dailey,Coordinator of Football Operations
