,Statistic,#,Full Name,Pos.,Cl.,Ht.,Wt.,Hometown/High School,Image,Name,Title
86,,76.0,Jack Powers,OL,So.,6-4,289.0,"St. Louis, Mo. / Westminster Christian Academy",,,
87,,77.0,Devin Malone,DL,So.,6-2,307.0,"Memphis, Tenn. / Phillips Exeter Academy",,,
88,,79.0,Joel Meglic,OL,Jr.,6-2,301.0,"Green Bay, Wis. / Notre Dame De La Baie Academy",,,
89,,80.0,William Enneking,TE,Sr.,6-3,258.0,"Sussex, Wis. / Sussex Hamilton HS",,,
90,,81.0,Logan Taylor,WR,Fr.,5-9,170.0,"Hanover, N.H. / Groton School",,,
91,,84.0,Parker Spellacy,TE,Fr.,6-5,230.0,"Indianapolis, Ind. / Cathedral HS",,,
92,,87.0,Tyson Claeys,TE,Sr.,6-4,243.0,"Johannesburg, Mich. / Johannesburg-Lewiston HS",,,
93,,88.0,Matthew Pilc,TE,Jr.,6-3,237.0,"Riverside, Conn. / Greenwich HS",,,
94,,89.0,Bo Graham,TE,Fr.,6-4,251.0,"Woodinville, Wash. / Woodinville HS",,,
95,,90.0,Isaiah Gomes,DL,Jr.,6-4,266.0,"Boston, Mass. / Belmont Hill School",,,
96,,91.0,Wallace Squibb Jr.,DL,Sr.,6-4,277.0,"Springfield, Mo. / Springfield Catholic HS",,,
97,,92.0,Declan Ochendowski,DL,Fr.,6-3,250.0,"Trafford, Pa. / Penn Trafford HS",,,
98,,93.0,Max Lundeen,DL,5th,6-4,262.0,"East Grand Rapids, Mich. / East Grand Rapids HS",,,
99,,94.0,Amon Williams,DL,So.,6-1,260.0,"Warwick, N.Y. / Pomfret School",,,
100,,95.0,Maxwell Van Fleet,DL,So.,6-4,258.0,"Bow, N.H. / St. Paulâs School",,,
101,,96.0,Onome Kessington,DL,Sr.,6-1,310.0,"Rochester, N.Y. / Fairport HS",,,
102,,97.0,Ezekiel Evans,DL,So.,6-3,273.0,"Houston, Texas / Kinkaid School",,,
103,,98.0,Jackson Kennedy,PK/P,Jr.,5-11,179.0,"Aldie, Va. / John Champe HS",,,
104,,99.0,Connor Morgan,DL,Jr.,6-3,274.0,"Plain City, Ohio / Jonathan Alder HS",,,
0,,,,,,,,,,David Archer '05,The Roger J. Weiss '61 Head Coach of Football
1,,,,,,,,,,Jared Backus,Associate Head Coach/The John B. and Ann M. Rogers '45 Defensive Coordinator
2,,,,,,,,,,Joe Villapiano,Assistant Coach/Quarterbacks/Offensive Coordinator
3,,,,,,,,,,Satyen Bhakta,Assistant Coach/Defensive Line/Recruiting Coordinator
4,,,,,,,,,,Chad Nice,Assistant Coach/Wide Receivers/Special Teams Coordinator
5,,,,,,,,,,Will Blanden,Assistant Coach/Defensive Backs
6,,,,,,,,,,Sean Cascarano,Assistant Coach/Offensive Line
7,,,,,,,,,,Jeff Comissiong,Assistant Coach/Linebackers
8,,,,,,,,,,Andrew Dees,Assistant Coach/Running Backs
9,,,,,,,,,,Kevin McDonough,Assistant Coach/Tight Ends/Assistant Special Teams Coordinator
10,,,,,,,,,,Chris Gonzalez,Defensive Analyst
11,,,,,,,,,,Josh Maurer,Recruiting Analyst
12,,,,,,,,,,Jarrett Meeker,Offensive Analyst
13,,,,,,,,,,Alex Peffley,Director of Football Operations
14,,,,,,,,,,Zach Hart,Senior Director of Player Personnel
15,,,,,,,,,,Chase Venuto,Assistant to the Head Coach
0,,,,,,,,,,Jay Andress,Associate Director of Athletics for Strength and Conditioning
1,,,,,,,,,,Nicholas Bruner,Assistant Equipment Manager
2,,,,,,,,,,Devan Carrington,"Associate Director of Athletics For Student Support, Development & Inclusion"
3,,,,,,,,,,Bernie DePalma,Associate Director of Athletics for Sports Medicine and the Doc Kavanagh Head Athletics TrainerFootball
4,,,,,,,,,,Matt Foote,"Assistant Athletic TrainerFootball, Baseball"
5,,,,,,,,,,Graig Lyon,Assistant Equipment Manager
6,,,,,,,,,,Dr. Greg Shelley,Director of Sports Leadership and Mental Conditioning
7,,,,,,,,,,Chris Van Alstyne,Assistant Strength & Conditioning Coach
