,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Previous School,Image,Name,Title
0,,0.0,Jeffrey Griffin Jr.,DL,6-0,305.0,5th,"Homewood, Ill. /",Northern Illinois,,,
1,,1.0,Bo Belquist,WR,6-1,180.0,Sr.,"New Rockford, N.D. / New Rockford-Sheyenne",,,,
2,,2.0,Tommy Schuster,QB,6-0,195.0,Sr.,"Macomb, Mich. / Chippewa Valley",,,,
3,,3.0,Trey Feeney,QB,6-3,205.0,So.,"Moorhead, Minn. / Moorhead",,,,
4,,3.0,C.J. Siegel,DB,6-0,180.0,5th,"La Crosse, Wis. / Logan",,,,
5,,4.0,Malachi Buckner,DB,6-1,210.0,5th,"Tucker, Ga. /",Gardner-Webb,,,
6,,5.0,Clayton Bishop,DB,6-0,185.0,So.,"Kenosha, Wis. / Indian Trail",,,,
7,,6.0,Simon Romfo,QB,5-11,185.0,So.,"Calvin, N.D. / Langdon Area",,,,
8,,7.0,Luke Skokna,RB,5-9,175.0,Sr.,"Hinsdale, Ill. / Hinsdale Central",,,,
9,,8.0,Edmund Ocansey,DB,6-0,180.0,So.,"Champlin, Minn. / Champlin Park",,,,
10,,9.0,Colton Hackel,QB,6-2,210.0,R-Fr.,"Perham, Minn. / Perham",,,,
11,,10.0,Caden Dennis,WR,6-2,175.0,So.,"Kansas City, Mo. / Liberty",,,,
12,,11.0,Wesley Eliodor,WR,6-0,210.0,5th,"Fort Lauderdale, Fla. /",South Dakota,,,
13,,12.0,Red Wilson,WR,5-9,185.0,Sr.,"Americus, Ga. /",Mesabi Range College,,,
14,,13.0,Jack Wright,WR,6-0,190.0,Jr.,"Broken Arrow, Okla. / Regent Prep",,,,
15,,14.0,Quincy Vaughn,QB,6-4,245.0,Sr.,"Hamilton, Ontario / Clarkson Football North",,,,
16,,16.0,Elijah Klein,WR,6-6,240.0,Jr.,"Mandan, N.D. / Mandan",,,,
17,,17.0,Jamal Dixon,DB,6-2,195.0,R-Fr.,"Moorhead, Minn. / Moorhead",,,,
18,,19.0,Noah Schaffner,WR,6-3,210.0,So.,"Bismarck, N.D. / Century",,,,
19,,21.0,Sammy Fort,DB,6-0,195.0,Gr.,"Lynn, Mass. / Blue Ridge School",,,,
20,,22.0,Antonio Bluiett,DB,6-1,190.0,R-Fr.,"Buffalo, Minn. / Buffalo",,,,
21,,23.0,Devin Hembry,DB,6-2,190.0,Sr.,"Muskogee, Okla. / Hilldale",Northeastern Oklahoma A&M,,,
22,,24.0,Kadon Kauppinen,DB,6-2,210.0,5th,"Sun Prairie, Wis. / Sun Prairie",,,,
23,,25.0,Teagan Pfeffer,DB,6-1,175.0,R-Fr.,"Alexandria, Minn. / Alexandria",,,,
24,,26.0,Paine Parks,LB,6-3,230.0,R-Fr.,"Grand Forks, N.D. / Red River",,,,
25,,28.0,Matt Koshiol,DB,6-2,215.0,Sr.,"Cold Spring, Minn. / Rocori",,,,
26,,28.0,Gaven Ziebarth,RB,6-0,205.0,So.,"Cambridge, Minn. / Cambridge-Isanti",,,,
27,,29.0,Isaiah Smith,RB,6-0,200.0,Jr.,"Minneapolis, Minn. / Benilde-St. Margaret's School",,,,
28,,30.0,Peyton Fisher,DB,5-11,195.0,Jr.,"Fargo, N.D. / Fargo North",,,,
29,,30.0,Jack Ihry,FB,6-1,220.0,So.,"Hope, N.D. / Hope-Page",,,,
30,,31.0,Cole Davis,DB,5-10,175.0,So.,"Marengo, Ill. / Marengo",,,,
31,,32.0,Dylan Boecker,LB,6-2,220.0,Jr.,"Menomonie, Wis. / Menomonie",,,,
32,,33.0,Jett Sutton,DB,5-11,195.0,R-Fr.,"Kansas City, Mo. / Oak Park",,,,
33,,34.0,Josh Navratil,LB,6-2,225.0,Sr.,"Pine Island, Minn. / Pine Island",,,,
34,,35.0,Ethan Ball,DB,6-1,195.0,Jr.,"Regina, Saskatchewan / Riffel",,,,
35,,36.0,Malachi McNeal,LB,6-0,235.0,So.,"Waukegan, Ill. / Warren Township",,,,
36,,37.0,Garrin Sattler,RB,6-0,200.0,R-Fr.,"Grand Forks, N.D. / Red River",,,,
37,,38.0,Grant Romfo,WR,6-1,205.0,So.,"Calvin, N.D. / Langdon Area",North Dakota State,,,
