,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Previous School,Image,Name,Title
113,,,Kaden Robnett,OL,6-2,275.0,Fr.,"Graham, Wash. / Bethel HS",,,,
114,,,Seth Shook,WR,5-11,180.0,Fr.,"Richland, Wash. / Richland HS",,,,
115,,,Jonathan Stromberg,TE,6-5,210.0,Fr.,"Ridgefield, Wash. / Skyview HS",,,,
0,,,,,,,,,,,Jason Eck,Head Coach
1,,,,,,,,,,,Luke Schleusner,Offensive Coordinator/Quarterbacks
2,,,,,,,,,,,Rob Aurich,Defensive Coordinator
3,,,,,,,,,,,Thomas Ford,Running Backs/Special Teams Coordinator
4,,,,,,,,,,,Tyler Sutton,Tight Ends Coach/Recruiting Coordinator
5,,,,,,,,,,,Tyler Yelk,Assistant Coach - Safeties
6,,,,,,,,,,,Cody Booth,Assistant Coach - Offensive Line
7,,,,,,,,,,,David Lose,Assistant Coach - Defensive Line
8,,,,,,,,,,,Stanley Franks Jr.,Assistant Coach - Cornerbacks
9,,,,,,,,,,,Matt Linehan,Assistant Coach - Receivers
10,,,,,,,,,,,Kapono Roy Asuega,Assistant Coach - Outside Linebackers
11,,,,,,,,,,,J.D. Johnson,Director of Operations
12,,,,,,,,,,,Tucker Rovig,Offensive Graduate Assistant
13,,,,,,,,,,,Chris Gordon,Defensive Graduate Assistant
