,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Image,Title
53,,64.0,Elijah Booth,OL,6-5,275.0,Jr.,"Mount Pleasant, S.C. / Wando",,
54,,67.0,Trey Grant,OL,6-4,275.0,So.,"Woodstock, Va. / Central",,
55,,71.0,Aidan Cunningham,OL,6-6,285.0,R-Fr.,"Falls Church, Va. / Falls Church",,
56,,72.0,Kadin Lynch,OL,6-4,290.0,R-Fr.,"Weaverville, N.C. / Asheville",,
57,,75.0,Ryan McKenna,OL,6-4,285.0,Jr.,"Doylestown, Pa. / Central Bucks West",,
58,,77.0,Joey Svoboda,OL,6-5,230.0,R-Fr.,"Fleetwood, Pa. / Fleetwood Area",,
59,,78.0,Marcus Crowell,OL,6-5,295.0,Sr.,"Florence, N.J. / Montclair",,
60,,79.0,Greg Klingensmith,OL,6-5,275.0,R-Fr.,"Apollo, Pa. / Apollo Ridge",,
61,,80.0,Carson Jenkins,WR,5-10,175.0,R-Fr.,"Gate City, Va. / Gate City",,
62,,82.0,Kyle Love,WR,6-3,180.0,R-Fr.,"Ashburn, Va. / Broad Run",,
63,,83.0,Tyler Oedekoven,WR,6-0,190.0,Sr.,"Erie, Pa. / Cathedral Prep / UAlbany",,
64,,84.0,Joseph Johnson,WR,6-3,195.0,R-Fr.,"Alexandria, Va. / Bishop Ireton",,
65,,85.0,Trey McDonald,TE,6-6,225.0,So.,"Kinnelon, N.J. / Kinnelon",,
66,,87.0,Sean McElwain,TE,6-5,210.0,R-Fr.,"Glen Allen, Va. / Glen Allen",,
67,,88.0,Owen Copeland,TE,6-4,210.0,R-Fr.,"Sterling, Va. / Potomac Falls",,
68,,89.0,Colton Turner,TE,6-4,235.0,Jr.,"Plano, Texas / Home School",,
69,,90.0,Tanner Slavic,DL,6-5,260.0,So.,"Uniontown, Pa. / Morgantown",,
70,,91.0,Sammy Sarantis,DL,6-4,285.0,Jr.,"Oakton, Va. / James Madison",,
71,,92.0,Momen Zahid,DL,6-5,285.0,So.,"Ashburn, Va. / Stone Bridge",,
72,,93.0,Ryan Wozniak,DL,6-4,240.0,R-Fr.,"Ashburn, Va. / Broad Run",,
73,,94.0,Garrett Huyck,DL,6-5,285.0,Jr.,"Chapin, S.C. / Chapin",,
74,,95.0,Mike Malone,DE,6-4,285.0,Jr.,"Clark's Summit, Pa. / Abington Heights",,
75,,98.0,Harrison Daley,DL,6-4,250.0,R-Fr.,"Oakton, Va. / Flint Hill",,
76,,99.0,Nate Lynn,DL,6-3,255.0,Sr.,"Charlotte, N.C. / Zebulon B. Vance",,
77,,,Jackson Blee,TE,6-6,230.0,Fr.,"Belmont, N.C. / South Point",,
78,,,Noah Brannock,QB,6-0,200.0,Fr.,"Forest Hill, Md. / Calbert Hall",,
79,,,Clayton Dobler,LB,6-4,220.0,Fr.,"Midlothian, Va. / James River",,
80,,,Kamron Frye,OL,6-4,280.0,Fr.,"Fredericksburg, Va. / Dematha",,
81,,,Sascha Garcia,DB,6-2,190.0,Fr.,"Clinton, Md. / Potomack",,
82,,,Xavier Glass,LB,6-2,240.0,Fr.,"Virginia Beach, Va. / Landstown",,
83,,,TJ McGill,DB,5-11,175.0,Fr.,"Charlotte, N.C. / Chambers",,
84,,,Luka O'Day,OL,6-5,280.0,Fr.,"Darnestown, Md. / Georgetown Prep",,
85,,,Elijah Rainer,LB,6-0,220.0,Fr.,"Moseley, Va. / Trinity Episcopal",,
86,,,Hayden Raley,OL,6-5,290.0,Fr.,"Maidens, Va. / Goochland",,
87,,,Garrett Robertson,WR,6-3,180.0,Fr.,"Chantilly, Va. / Chantilly",,
88,,,Brendan Robinson,DB,5-11,175.0,Fr.,"Leesburg, Va. / Paul VI",,
89,,,James Spainhour,OL,6-5,270.0,Fr.,"King, N.C. / West Stokes",,
90,,,Gent Veizi,DL,6-2,275.0,Fr.,"Centreville, Va. / Centreville",,
91,,,Gerald Williams,DL,6-2,290.0,Fr.,"Olney, Md. / Good Counsel",,
0,,,Mike London,,,,,,,Head Coach
1,,,Christian Taylor,,,,,,,"Offensive Coordinator, Running Backs Coach"
