,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown (Prev School),Image,Title
0,,0.0,Zach Yeager,QB,6-1,210.0,R-So.,"Minneapolis, Minn. / Minneapolis North",,
1,,1.0,Karon Prunty,DB,6-2,180.0,R-Jr.,"Portsmouth, Va. / I.C. Norcom (Kansas)",,
2,,2.0,Jamison Warren,WR,5-11,185.0,Jr.,"Winston-Salem, N.C. / East Forsyth",,
3,,3.0,Elijah Bowick,WR,6-2,205.0,R-Jr.,"Salem, N.J. / Myers Park",,
4,,4.0,Aaron Harris,DB,5-11,185.0,R-Jr.,"Elizabeth City, N.C. / Northeastern",,
5,,5.0,Eli Brickhandler,QB,6-2,195.0,So.,"Stockton, Calif. / AHOP Christian Leadership Academy",,
6,,7.0,DJ Crossen,DB,6-2,195.0,Sr.,"Greensboro, N.C. / Dudley (Virginia Tech)",,
7,,8.0,Charlie Dixon,RB,6-2,235.0,R-So.,"Hogansville, Ga. / Callaway",,
8,,9.0,Janaz Sumpter,DB,6-0,185.0,R-Jr.,"Hemingway, S.C. / Carvers Bay",,
9,,10.0,Tyquan King,LB,6-3,215.0,Jr.,"Dillon, SC / Dillon",,
10,,11.0,Alston Hooker,QB,6-1,180.0,R-So.,"Greensboro, N.C. / Ragsdale",,
11,,12.0,Mario Love Jr.,DB,5-8,170.0,So.,"Cornelius, N.C. / Hough (N.C. State)",,
12,,13.0,Jacob Roberts,LB,6-1,235.0,Sr.,"Charlotte, N.C. / Mallard Creek",,
13,,14.0,Herbert Booker,DB,5-11,195.0,R-Jr.,"Oak Ridge, Tenn. / Oak Ridge",,
14,,15.0,Alex Angus,LB,6-2,205.0,R-Jr.,"Greensboro, N.C. / Page (East Carolina)",,
15,,16.0,Amonte Jones,WR,6-0,165.0,So.,"Chesapeake, Va. / Oscar Smith",,
16,,17.0,Nick Wilds-Lawing,WR,6-3,195.0,R-So.,"Concord,N.C. / Northwest Cabarrus",,
17,,18.0,Taymon Cooke,WR,6-0,185.0,R-Sr.,"Bluefield, Va. / Graham (Marshall University)",,
18,,20.0,Avarion Cole,ROV,6-0,190.0,R-So.,"Charlotte, N.C. / Julius L. Chambers",,
19,,21.0,David Laney,DB,6-1,175.0,R-So.,"Henrico, Va. / Highland Springs (East Carolina)",,
20,,22.0,AJ Dupree,ROV,6-0,190.0,Jr.,"Snow Hill, N.C. / Greene Central",,
21,,23.0,Jazir Staton,LB,5-11,190.0,R-Sr.,"Charlotte, N.C. / South Mecklenburg",,
22,,25.0,Mack David II,LB,5-11,235.0,So.,"Winston-Salem, N.C. / West Forsyth",,
23,,26.0,Ty Williams Jr.,DB,6-1,175.0,Jr.,"Detroit, Mich. / University of Detroit Jesuit HS",,
24,,27.0,Jonathan Kimbrough-Campbell,LB,5-11,190.0,So.,"Daytona Beach, Fla. / Mainland",,
25,,29.0,Nathaniel Spindle,DB,5-10,185.0,R-So.,"Charlotte, N.C. / Julian L. Chambers",,
26,,32.0,Joshua Benton,LB,5-11,190.0,So.,"Fayetteville, Ga. / Whitewater",,
27,,33.0,Bhayshul Tuten,RB,5-11,195.0,Jr.,"Paulsboro, N.J. / Paulsboro",,
28,,34.0,Henry Daniel,DE,6-2,235.0,Jr.,"Creedmoor, N.C. / South Granville",,
29,,35.0,Wesley Graves,RB,5-9,225.0,R-So.,"Danville, Va. / George Washington",,
30,,36.0,Sincere Burnette,LB,6-1,210.0,R-So.,"Greensboro, N.C. / Grimsley",,
31,,38.0,Wesley Misenheimer,LB,6-1,180.0,R-So.,"Jamestown, N.C. / Ragsdale",,
32,,39.0,Andrew Brown,PK,5-10,185.0,Jr.,"Lexington, N.C. / West Davidson",,
33,,40.0,Ty'Quan Kearney,LB,5-11,200.0,R-So.,"Vanceboro, N.C. / West Craven",,
34,,42.0,Malich Jacobs,LB,6-2,245.0,Gr.,"Hopkins, S.C. / Lower Richland",,
35,,43.0,Melik Ward,FB,6-1,260.0,R-Jr.,"Tarboro, N.C. / Tarboro",,
36,,44.0,Sam Ofurie,LB,6-2,245.0,R-So.,"Salem, Mass. / IMG Academy",,
37,,45.0,Steven Davis II,DB,6-1,150.0,So.,"Greensboro, N.C. / Dudley",,
38,,47.0,Caleb Brickhouse,P,6-3,215.0,R-So.,"Elizabeth City, N.C. / Northeastern (Northern Colorado)",,
39,,49.0,Elliot Kadans,PK,6-2,180.0,R-So.,"Bakersville, NC / Mitchell",,
40,,51.0,Ja'Ny Alston,OL,6-6,270.0,R-So.,"Chapel Hill, N.C. / Carrboro High School/Jireh Prep (UT-Chattanooga)",,
41,,52.0,Tyshon Bullock,DE,6-1,235.0,So.,"Concord, N.C. / Cox Mill",,
42,,53.0,Bryson Ruddy,LS,6-0,190.0,So.,"Glen Allen, Va. / Glen Allen",,
43,,54.0,Damien Jackson Jr.,LS,5-11,185.0,R-So.,"Indian Trail, N.C. / Porter Ridge",,
44,,56.0,Caleb Jones,DL,6-1,315.0,So.,"Chesapeake, Va. / Oscar Smith",,
45,,57.0,Anthony Hairston II,LB,6-2,250.0,R-So.,"McLeansville, NC / Northeast Guilford",,
46,,58.0,Christopher Allen Jr.,DL,6-4,285.0,So.,"Wake Forest, N.C. / Wake Forest",,
