,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,High School,Previous School,Image,Title
83,,70.0,Cody Mauch,OT,6-6,303.0,Sr.,"Hankinson, N.D.",Hankinson HS,,,
84,,71.0,Trevor Brown,DT,6-1,263.0,Fr.,"Eagle, Neb.",Waverly HS,,,
85,,71.0,Luke LaCilento,OG,6-2,295.0,Sr.,"Corona, Calif.",Servite HS,San Diego,,
86,,72.0,Jalen Sundell,C,6-5,294.0,Sr.,"Maryville, Mo.",Maryville HS,,,
87,,73.0,Mason Miller,OT,6-6,296.0,Jr.,"Ada, Minn.",Ada-Borup HS,,,
88,,74.0,Grey Zabel,OG,6-6,290.0,Jr.,"Pierre, S.D.",T.F. Riggs HS,,,
89,,75.0,Trevor Fiecko,OT,6-4,302.0,RFr.,"Manitowoc, Wis.",Roncalli HS,,,
90,,76.0,Hunter Poncius,OT,6-8,311.0,Jr.,"Buffalo, Minn.",Buffalo HS,,,
91,,77.0,Brandon Westberg,C,6-4,286.0,Jr.,"Cambridge, Minn.",Cambridge-Isanti HS,,,
92,,78.0,Jake Rock,OT,6-7,302.0,Jr.,"Delafield, Wis.",Kettle Moraine HS,,,
93,,80.0,Tyler Terhark,WR,6-2,209.0,So.,"Horace, N.D.",Sheyenne HS,,,
94,,81.0,Carson Hegerle,WR,6-2,184.0,Fr.,"West Fargo, N.D.",West Fargo HS,,,
95,,82.0,Joe Stoffel,TE,6-3,245.0,Jr.,"River Falls, Wis.",River Falls HS,,,
96,,83.0,Giancarlo Volpentesta,WR,6-0,207.0,Jr.,"Highland Park, Ill.",Highland Park HS,,,
97,,84.0,Chris Harris,WR,6-3,200.0,RFr.,"El Paso, Texas",El Dorado HS,,,
98,,85.0,Jacob Streit,TE,6-4,242.0,Sr.,"Watkins, Minn.",Eden Valley-Watkins HS,Northern State,,
99,,86.0,Mekhi Collins,WR,6-4,210.0,Fr.,"North Mankato, Minn.",Mankato West HS,,,
100,,86.0,Eli Green,WR,5-11,186.0,RFr.,"Farmington, Minn.",Farmington HS,,,
