,Statistic,No.,Image,Name,Pos.,Ht.,Wt.,Cl.,Hometown,High School,Previous School,Title
56,,74.0,,Reese Moore,OL,6-6,290.0,Jr.,"Seminole, Texas",Seminole HS,Texas,
57,,75.0,,Rafiti Ghirmai,OL,6-5,320.0,Sr.,"Frisco, Texas",Wakeland HS,Texas,
58,,76.0,,Joziah Fogle,OL,6-4,335.0,So.,"Spring, Texas",Spring HS,,
59,,80.0,,Harrison Foster,WR,6-2,195.0,Rf.,"Sweetwater, Texas",Sweetwater HS,,
60,,81.0,,Noah Caldwell,TE,6-6,250.0,Jr.,"Electra, Texas",Electra HS,,
61,,82.0,,Cooper McCasland,WR,6-1,195.0,So.,"Hurst, Texas",Birdville HS,,
62,,83.0,,Colt Cooper,TE,6-4,245.0,So.,"Quinlan, Texas",Ford HS,,
63,,84.0,,Jacoby Boykins,WR,6-1,200.0,Fr.,Houston,Lamar HS,Alabama,
64,,86.0,,Chidubem Lebechi,TE,6-2,235.0,Rf.,"Katy, Texas",Tompkins HS,,
65,,88.0,,Jed Castles,TE,6-6,235.0,So.,"Wichita Falls, Texas",Rider HS,Texas Tech,
66,,88.0,,Will Fargason,P,6-1,210.0,So.,"Lubbock, Texas",Trinity Christian HS,,
67,,89.0,,Cameron Byrom,DL,6-5,250.0,So.,"Valley View, Texas",Valley View HS,,
68,,90.0,,Syncere Massey,DL,6-5,325.0,Rf.,"Cedar Hill, Texas",Cedar Hill HS,Texas Tech,
69,,91.0,,Sean Dubose Jr.,DL,6-2,245.0,Rf.,"Katy, Texas",Tompkins HS,,
70,,98.0,,David Oke,DL,6-2,275.0,So.,Houston,Alief Hasting HS,,
71,,99.0,,Colby Warkentin,DL,6-6,260.0,So.,"Bakersfield, Calif.",Centennial HS,Fresno State,
72,,,,Sema'J Davis,QB,6-1,191.0,Gr.,"Midland, Texas",Midland Lee HS,,
0,,,,Keith Patterson,,,,,,,,Head Football Coach
1,,,,Skyler Cassity,,,,,,,,Defensive Coordinator
2,,,,Stephen Lee,,,,,,,,Offensive Coordinator
3,,,,Julian Wilson,,,,,,,,Defensive Backs Coach
4,,,,Matt Clark,,,,,,,,Tight Ends Coach/Special Teams Coordinator
5,,,,Conor Dubin,,,,,,,,Outside Linebackers Coach
6,,,,Shannon Carter,,,,,,,,Inside Linebackers Coach
7,,,,Steven Thrash,,,,,,,,Wide Receivers Coach
8,,,,Jerale Badon,,,,,,,,Running Backs Coach
9,,,,Ryan Pugh,,,,,,,,Offensive Line Coach
10,,,,Dan Phillips,,,,,,,,Defensive Line Coach
11,,,,Drew Cunningham,,,,,,,,Senior Defensive Analyst
12,,,,Koy Richardson,,,,,,,,Defensive Graduate Assistant
0,,,,Jordan Seawright,,,,,,,,Associate AD/Football Chief of Staff
1,,,,Corey Smith,,,,,,,,Director of Strength and Conditioning for Football
2,,,,Reid Miller,,,,,,,,Assistant Strength and Conditioning Coach
