,Statistic,No.,Name,Cl.,Pos.,Ht.,Wt.,Hometown / High School,Previous School,Image,Title
67,,38.0,Theo Lanham,Fy.,LB,6-0,190.0,"Stratford, Conn. / Bunnell",,,
68,,39.0,Spencer Burke,Jr.,DL,6-2,210.0,"Ramsey, N.J. / St. Joseph Regional",,,
69,,40.0,Matt Coladonato,So.,RB,5-7,173.0,"Paoli, Pa. / Bishop Shanahan",,,
70,,40.0,Carlex Tiemeni,Jr.,LB,5-11,210.0,"Fairfax, Va. / Chantilly",,,
71,,41.0,Treyson Colon,Sr.,WR,6-3,185.0,"Mamaroneck, N.Y. / Mamaroneck HS",,,
72,,41.0,Jake Sokol,So.,LB,5-11,195.0,"Hopkinton, Mass. / Hopkinton",,,
73,,42.0,DeAndre Byrd,Gr.,LB,6-1,210.0,"Lawrenceville, Ga. / Deerfield Academy",,,
74,,42.0,Zach Hathaway,Fy.,DB,6-1,190.0,"Southport, Conn. / Fairfield Ludlowe",,,
75,,43.0,Nick Verbitsky,Fy.,LB,6-0,210.0,"Ridgefield, Conn / Ridgefield",,,
76,,43.0,Bailey Williams,Fy.,LS,5-11,185.0,"New Canaan, Conn. / New Canaan",,,
77,,44.0,Jonathan Majoub,Fy.,DB,6-1,190.0,"Radnor, Pa. / Archbishop John Carroll",,,
78,,44.0,Kevin Peprah,Gr.,DE,6-2,235.0,"Woodbridge, Va. / Woodbridge",,,
79,,45.0,Davee Silas,Jr.,DB,6-,190.0,"West Haven, Conn. / St. Joseph",,,
80,,46.0,Luca Ferreira,So.,DB,5-10,190.0,"Wayland, Mass. / Williston Northampton",,,
81,,46.0,Jalen Gopie,Jr.,DL,6-,220.0,"Waterbury, Conn. / Water Career Academy",,,
82,,47.0,Tyreke Brown,Sr.,LB,6-1,220.0,"Carneys Point, N.J. / Penns Grove HS",,,
83,,47.0,Jake Jacobson,Fy.,P,6-2,183.0,"Redbank, NJ / Redbank Catholic",,,
84,,48.0,Gurjot Singh,Jr.,DB,5-10,165.0,"Jamaica, N.Y. / Brooklyn Technical",,,
85,,49.0,Ryan Parris,Sr.,LB,5-11,200.0,"Medford, N.J. / The Hun School",,,
86,,50.0,Ethan Rodriguez,So.,LB,6-1,220.0,"West New York, NJ / St. Peter’s Prep",,,
87,,51.0,Connor Kazanjian,Jr.,DL,6-,225.0,"Glen Rock, N.J. / Glen Rock",,,
88,,51.0,Alex Tsoumakas,Fy.,LB,6-1,235.0,"Shrewsbury, Mass. / St. John’s",,,
89,,52.0,Eric Cotton,So.,LB,5-11,210.0,"East Stroudsburg, Pa. / Wilbraham Monson Academy",,,
90,,54.0,Matt Amato,Sr.,LB,5-10,220.0,"Paramus, N.J. / Paramus",,,
91,,54.0,Gavin Susfolk,Fy.,OL,6-5,245.0,"Akron, NY / Canisius",,,
92,,55.0,Jack McAnally,So.,LB,6-2,210.0,"West Chester, Pa. / West Chester East",,,
93,,55.0,Chase Shallow,Fy.,OL,6-0,270.0,"Sudbury, Mass. / Brighton Academy",,,
94,,56.0,Ali Kabli,Fy.,OL,6-2,195.0,"Pawtucket, RI / Tolman",,,
95,,56.0,Brendan Whitehead,Gr.,DE,6-1,225.0,"Glen Cove, N.Y. / Kellenberg Memorial",,,
96,,57.0,Brian McNamara,Sr.,LS,5-9,190.0,"West Caldwell, N.J. / James Caldwell",,,
97,,57.0,Bobby Mosback,So.,LB,5-11,190.0,"Bristol, Conn. / Bristol Eastern",,,
98,,58.0,Onarjae Bonhometre,Jr.,DL,6-,225.0,"Staten Island, N.Y. / Curtis",,,
99,,58.0,Jake Walsh,So.,LS,5-11,195.0,"Nutley, NJ / Nutley",,,
100,,59.0,Peter Schanne,Fy.,LB,6-3,235.0,"Fairfield, Conn. / IMG Academy",,,
101,,59.0,Jack Smith,So.,LB,6-0,220.0,"York, Pa. / Central York",,,
102,,60.0,Bayo Gbowu,Jr.,DL,6-,210.0,"Oceanside, N.Y. / Oceanside",,,
103,,61.0,Gianni Principato,So.,LB,6-4,240.0,"Edison, NJ / St. Thomas Aquinas",,,
104,,62.0,Evan Scribner,So.,OL,6-3,280.0,"Nutley, NJ / St. Peter's Prep",,,
105,,63.0,Kyle Yeager,Fy.,DL,6-3,280.0,"Harrisburg, Pa. / Central Dauphin",,,
106,,64.0,Jon Mucciolo,Sr.,OL,6-4,300.0,"Mahopac, N.Y. / Archbishop Stepinac",,,
107,,65.0,Joe Diemer,Gr.,OL,6-3,290.0,"Gambrills, Md. / Catholic",,,
108,,66.0,TJ Roberson,Fy.,OL,6-3,305.0,"Brockton, Mass. / Catholic Memorial",,,
109,,67.0,Tim Suk,So.,OL,6-7,270.0,"Flemington, NJ / Hunterdon Central",,,
110,,68.0,CJ Williams,Gr.,OL,6-2,275.0,"Princeton, N.J. / The Hun School",,,
111,,69.0,Grant Jones,So.,OL,6-2,300.0,"Ridgefield, Conn. / Deerfield Academy",Bucknell,,
112,,70.0,Matt Garrett,Fy.,DL,6-2,240.0,"Hyannis, Mass. / St. John Paul II",,,
113,,70.0,Stephen Stella,Jr.,OL,6-6,300.0,"Staten Island, N.Y. / Monsignor Farrell",,,
114,,71.0,Jake Walton,So.,OL,6-4,290.0,"Coatesville, Pa. / Coatesville",,,
115,,72.0,Blaise Heshler,So.,OL,6-5,285.0,"Harrisburg, Pa. / Central Dauphin",,,
116,,73.0,Michael Griggs,Gr.,OL,6-4,305.0,"Wall, NJ / Red Bank Catholic",Colgate,,
117,,74.0,Ryan Lain,So.,OL,6-3,280.0,"Newtown Square, Pa. / Marple Newtown",,,
118,,76.0,Kenan Luchun,Sr.,OL,6-6,275.0,"Virginia Beach, Va. / Landstown",,,
119,,77.0,Jordan Griffin,Sr.,OL,6-4,300.0,"Rehobeth, Mass. / LaSalle Academy",,,
120,,78.0,Cody Wilson,Jr.,OL,6-6,260.0,"Albion, N.Y. / Albion",,,
121,,79.0,Jake Smith,Fy.,OL,6-4,245.0,"Northvale, NJ / Northern Valley Old Tappen",,,
122,,80.0,Mike Bevino,Gr.,TE,6-3,230.0,"Milford, Conn. / Deerfield Academy",Colgate,,
123,,80.0,Ivan Brito Jr.,Jr.,WR,5-11,190.0,"Paramus, N.Y. / Paramus Catholic",,,
124,,81.0,Mike Coffey,So.,TE,6-4,235.0,"Wilton, Conn. / Wilton",,,
125,,81.0,Matt LoMonaco,Jr.,WR,5-11,175.0,"Mount Sinai, N.Y. / Mount Sinai",,,
126,,82.0,Elijah Ford,Fy.,WR,6-3,185.0,"Coatesville, Pa. / Downingtown West",,,
127,,82.0,Paul Ingram,Sr.,TE,6-6,210.0,"Santa Barbara, Calif. / Worcester Academy",,,
128,,83.0,Patrick Driscoll,Jr.,TE,6-2,225.0,"Audubon, N.J. / Audubon",,,
129,,83.0,Joe Pecora,Sr.,RB,6-2,200.0,"Valhalla, N.Y. / Valhalla",,,
130,,84.0,Jon Moccia,Jr.,WR,5-11,195.0,"Collegeville, Pa. / Perkiomen Valley",,,
131,,84.0,Colton Nicholas,Sr.,TE,6-2,225.0,"Trumbull, Conn. / Trumbull",,,
132,,85.0,Dylan Jones,So.,WR,6-0,180.0,"Nassau, NY / Christian Brothers Academy",,,
133,,85.0,Phil Pasmeg,Sr.,TE,6-2,230.0,"Trumbull, Conn. / St. Joseph's",,,
134,,86.0,Eli Jordan,So.,WR,6-1,175.0,"Mason, Ohio / Mason",,,
135,,86.0,Will Klenk,Fy.,TE,6-4,230.0,"Pittsford, NY / Pittsford Mendon",,,
136,,87.0,Maximus Mongelli,So.,DB,6-0,175.0,"Roslyn, NY / Kellenberg Memorial",,,
137,,88.0,Garrett Lynn,Gr.,TE,6-5,280.0,"Saco, Maine / Thornton Academy",,,
138,,88.0,Dennis Morley,So.,WR,6-2,185.0,"Dix Hills, NY / Commack",,,
139,,89.0,Connor Ivey,Fy.,TE,6-6,245.0,"Newton, Conn / IMG Academy (Fla.)",,,
140,,90.0,Nick Foglia,Gr.,DL,6-0,300.0,"Whippany, N.J. / Whippany Park",Marist,,
141,,91.0,Ron Cole,Fy.,DL,6-2,265.0,"Olney, Md. / Our Lady of Good Counsel",,,
142,,91.0,Justin Liebhauser,So.,DL,6-1,285.0,"Randolph, NJ / Randolph",,,
143,,92.0,Carson Primrose,Jr.,DL,6-2,280.0,"Pittsburgh, Pa. / North Catholic",,,
144,,93.0,Michael Golay,Fy.,DL,6-2,240.0,"Scranton, Pa. / Scranton Prep",,,
145,,96.0,Sam Walker,Jr.,DL,6-2,260.0,"Staten Island, N.Y. / Erasmus Hall",,,
146,,97.0,Howard Powell,Jr.,DL,5-11,300.0,"Stratford, Conn. / Brunswick School",,,
147,,98.0,Kyle Davis,Jr.,DL,6-4,230.0,"Beacon, NY / Beacon",,,
0,,,Mark Nofri,,,,,,,,Head Coach
1,,,Matt Gardner,,,,,,,,Associate Head Coach - Offense/Offensive Coordinator
2,,,Ryan Gunningsmith,,,,,,,,Assistant Coach - Run Game Coordinator/Offensive Line
3,,,Pat Saporito,,,,,,,,Assistant Coach - Special Teams/Safties/Recruiting Coordinator
4,,,Mark Clements,,,,,,,,Assistant Coach - Wide Receivers
5,,,Darin Edwards,,,,,,,,Assistant Coach - Defensive Line/Defensive Run Game Coordinator
6,,,Brad Tiernan,,,,,,,,Assistant Coach - Tight Ends
7,,,Kevin Duke,,,,,,,,Assistant Coach- Outside Linebackers
8,,,Brandon Napoleon,,,,,,,,Assistant Coach- Corners
9,,,Isaiah Watson,,,,,,,,Assistant Coach - Running Backs
10,,,Chris Fee,,,,,,,,"Associate Athletic Director, Head Strength & Conditioning Coach"
11,,,David Havens,,,,,,,,Graduate Assistant - Defensive/Football Video Coordinator
12,,,Matt Domejczyk,,,,,,,,Graduate Assistant - Offense
13,,,Gianni Occhipinti,,,,,,,,Offensive Assistant
