,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Image,Name,Title
0,,0.0,Joe Eichman,S,6-1,205.0,Jr.,"Merrimack, N.H. / Merrimack",,,
1,,1.0,Sean Coyne,WR,6-0,190.0,Sr.,"Portsmouth, R.I. / Portsmouth",,,
2,,1.0,Max Oxendine,S,6-0,194.0,Jr.,"Chester, Va. / Thomas Dale / Fork Union Military",,,
3,,4.0,Randall Harris,CB,6-0,194.0,Jr.,"Walled Lake, Mich. / Walled Lake Western / Central Michigan",,,
4,,5.0,Charles Briscoe III,WR,6-1,195.0,Jr.,"Bowie, Md. / St. John's College H.S.",,,
5,,6.0,Derek Thompson,S,5-11,195.0,Jr.,"Bear, Del. / Appoquinimink",,,
6,,7.0,Jonathan Collins Jr.,CB,6-1,161.0,So.,"Williamstown, N.J. / Williamstown",,,
7,,8.0,Caleb Burke,WR,6-1,195.0,R-Fr.,"Johnstown, Pa. / Richland",,,
8,,8.0,Josiah Silver,DE,6-2,236.0,So.,"Hampton, Va. / Phoebus",,,
9,,9.0,Niko Kvietkus,DT,6-3,279.0,Sr.,"Southington, Conn. / Xavier H.S. / Deerfield Academy",,,
10,,9.0,Heron Maurisseau,WR,6-0,187.0,Gr.,"Bellport, N.Y. / St. Anthony's / UConn",,,
11,,10.0,Zedane Williams,LB,6-1,216.0,So.,"Springfield, Mass. / Springfield Central / Suffield Academy",,,
12,,11.0,Barry Kleinpeter,QB,6-2,193.0,Fr.,"Savannah, Ga. / Savannah Country Day School",,,
13,,11.0,Noah Stansbury,CB,6-1,190.0,So.,"Orange, N.J. / Edison",,,
14,,12.0,Brody McAndrew,QB,6-2,208.0,R-Fr.,"Langhorne, Pa. / Neshaminy",,,
15,,13.0,Bryce Shaw,LB,6-1,240.0,Jr.,"Raynham, Mass. / Bridgewater-Raynham / Navy",,,
16,,14.0,Zane Olmstead,QB,6-2,180.0,R-Fr.,"Binghamton, N.Y. / Phillips Academy",,,
17,,15.0,Joey Corcoran,WR,6-2,201.0,R-Fr.,"Montreal, Quebec / St. Paul's School",,,
18,,16.0,Max Brosmer,QB,6-2,214.0,So.,"Roswell, Ga. / Centennial",,,
19,,17.0,Bret Edwards,QB,6-1,197.0,Jr.,"Lowell, Mass. / Central Catholic",,,
20,,18.0,Burke Griffin,WR,5-11,183.0,So.,"Gig Harbor, Wash. / Peninsula",,,
21,,19.0,DJ Linkins,WR,6-4,196.0,Fr.,"District Heights, Md. / St. John's College High School",,,
22,,20.0,Dylan Laube,RB,5-10,204.0,Jr.,"Westhampton, N.Y. / Westhampton Beach",,,
23,,21.0,Broox Bolden,CB,5-11,182.0,R-Fr.,"Windsor, Conn. / Kingswood Oxford / Worcester Academy",,,
24,,21.0,Nate Gould,WR,6-1,196.0,R-Fr.,"Upton, Mass. / Nipmuc Regional",,,
25,,22.0,Tyler Pereira,RB,5-10,232.0,So.,"Narragansett, R.I. / Moses Brown / Suffield Academy",,,
26,,23.0,Pop Bush,S,6-0,193.0,Gr.,"Nocatee, Fla. / Port Charlotte",,,
27,,24.0,Caleb Mead,CB,5-10,186.0,So.,"Willow Grove, Pa. / Upper Moreland",,,
28,,26.0,Isaac Seide,RB,5-9,212.0,So.,"Everett, Mass. / Everett",,,
29,,27.0,Brendan Tighe,S,5-11,193.0,R-Fr.,"Lowell, Mass. / Lowell",,,
30,,28.0,Dominic Cavanagh,RB,6-0,204.0,R-Fr.,"Ashland, Mass. / Ashland",,,
31,,28.0,Charles Trentham,K,6-0,185.0,Fr.,"Maryville, Tenn. / Maryville High School",,,
32,,29.0,Griffin Helm,WR,5-11,194.0,Jr.,"Jacksonville, Fla. / Bartram Trail",,,
33,,30.0,Sean Lehane,K/P,6-0,210.0,So.,"Milford, Mass. / Milford",,,
34,,31.0,Nino Iacovino,RB,5-10,161.0,Fr.,"Wood Ridge, N.J. / Wood Ridge High School",,,
35,,32.0,Jackson Stone,S,6-3,195.0,Fr.,"Lebanon, N.H. / Lebanon High School",,,
36,,33.0,Justin Jameson,LB,5-10,196.0,R-Fr.,"Gardner, Mass. / Oakmont Regional / Philips Exeter Academy",,,
37,,34.0,Gavin Urda,CB,5-11,183.0,R-Fr.,"Milford, N.H. / Milford",,,
38,,35.0,Brandon Perkins,LB,6-1,225.0,R-Fr.,"Williamstown, N.J. / Williamstown",,,
39,,37.0,Nick Mazzie,K/P,6-2,220.0,R-Fr.,"Boxford, Mass. / Central Catholic",,,
40,,38.0,Aidan Cadogan,K/P,6-1,171.0,So.,"Waltham, Mass. / Belmont / Bridgton Academy",,,
41,,38.0,Brady Madigan,WR,6-1,182.0,Fr.,"Duxbury, Mass. / Duxbury High School",,,
42,,39.0,Ryan Toscano,LB,6-0,222.0,So.,"Bedford, N.H. / Bedford",,,
43,,40.0,Duncan Moreland,S,6-2,206.0,So.,"Beverly, Mass. / Beverly",,,
44,,41.0,Myles Thomason,RB,5-9,178.0,Fr.,"Montclair, N.J. / Seton Hall Prep",,,
45,,42.0,Will Tracey,WR,6-2,185.0,Fr.,"Franklin, Mass. / Franklin High School",,,
46,,43.0,Josh Fillion,WR,6-1,187.0,Fr.,"Quebec City, Quebec / Canisius High School",,,
47,,44.0,Noah Palm,S,6-0,202.0,So.,"Lancaster, Pa. / Cocalico",,,
48,,45.0,Sam Rumelhart,CB,5-11,166.0,Fr.,"Scarborough, Maine / Scarborough High School",,,
49,,46.0,Cole Glennon,WR,6-2,202.0,So.,"Bedford, N.H. / Bedford / Phillips Exeter",,,
50,,47.0,Kenny Fazio,S,6-4,222.0,R-Fr.,"Oakland, N.J. / Indian Hills",,,
51,,48.0,Brendan Graham,TE,6-6,238.0,Fr.,"Hudson, N.H. / Alvirne High School",,,
52,,48.0,Daps Olatunbosun,S,6-2,185.0,Fr.,"Lynn, Mass. / Malden Catholic",,,
53,,49.0,Sam Rizzo,LB,6-1,210.0,Fr.,"Port Orange, Fla. / Spruce Creek High School",,,
54,,50.0,Oleh Manzyk,LB,6-1,220.0,So.,"Feasterville, Pa. / Neshaminy",,,
55,,51.0,Kevin Gallic,LS,6-0,215.0,Fr.,"Warren, N.J. / Lewiston High School",,,
56,,53.0,Aaron Oroh,S,6-0,185.0,So.,"Dover, N.H. / Dover",,,
57,,54.0,Kristian Larouche,LB,6-0,227.0,R-Fr.,"Fairfield, Maine / Lawrence",,,
58,,55.0,Osho Omoyeni,OL,6-3,282.0,Jr.,"Lowell, Mass. / Central Catholic",,,
59,,56.0,Max Tillett,LB,6-0,211.0,R-Fr.,"Catawissa, Pa. / Southern Columbia Area",,,
60,,57.0,Patrick Flynn,OL,6-3,297.0,Sr.,"Hanover, Mass. / Hanover",,,
61,,58.0,Kyle Finnick,DT,6-1,280.0,Jr.,"Simi Valley, Calif. / Bishop Alemeny / Dayton",,,
62,,61.0,Aidan Michaud,OL,6-3,307.0,R-Fr.,"Glastonbury, Conn. / Marblehead / Suffield Academy",,,
63,,62.0,Owen Gormley,DT,5-10,255.0,R-Fr.,"Salem, N.H. / Salem",,,
64,,63.0,Cooper Smith,OL,6-3,333.0,R-Fr.,"Portsmouth, N.H. / St. John's Prep",,,
65,,66.0,Dylan Poirier,OL,6-4,295.0,So.,"North Kingstown, R.I. / North Kingstown",,,
66,,67.0,Justin Fevrier,DT,6-4,361.0,Fr.,"Fort Lauderdale, Fla. / St. Thomas Aquinas",,,
67,,68.0,Nathan Roach,OL,6-2,284.0,Fr.,"Manchester, N.H. / Buckingham Browne & Nichols",,,
68,,69.0,Mason Davis,OL,6-3,291.0,R-Fr.,"Peabody, Mass. / St. John's Prep",,,
69,,70.0,Jack Wilson,OL,6-3,292.0,Fr.,"Westford, Mass. / Milton Academy",,,
70,,71.0,Matt Marvin,OL,6-5,312.0,Gr.,"Goshen, N.Y. / Goshen Central",,,
71,,72.0,David Perry Jr.,OL,6-5,341.0,Jr.,"Springfield, Va. / West Springfield",,,
72,,73.0,Matt O'Neill,OL,6-4,326.0,Jr.,"Weymouth, Mass. / Weymouth",,,
73,,74.0,Huck Flanagan,DE,6-4,239.0,Fr.,"Pomfret Center, Conn. / The Woodstock Academy",,,
74,,75.0,Beau Riley,OL,6-7,335.0,Fr.,"Sebring, Fla. / Sebring High School",,,
75,,76.0,Dylan Maciulewicz,OL,6-4,285.0,R-Fr.,"Erie, Pa. / McDowell",,,
76,,77.0,Tyler Shannon,OL,6-3,275.0,R-Fr.,"Port Jefferson Station, N.Y. / Comsewogue",,,
77,,78.0,Jake Cuddire,OL,6-2,246.0,Fr.,"Peabody, Mass. / St. John's Prep (MA)",,,
78,,79.0,A.J. DeAngelis,OL,6-3,310.0,Fr.,"/ Westport, Conn.",,,
79,,80.0,Brian Espanet,WR,6-3,209.0,Sr.,"Hopedale, Mass. / Millis-Hopedale",,,
80,,81.0,Adam Deese,TE,6-2,226.0,Gr.,"Belmont, Mass. / Belmont",,,
81,,82.0,Noah Cundiff,WR,6-2,187.0,Fr.,"Palm Coast, Fla. / Matanzas High School",,,
82,,83.0,Andrew Edgar,WR,6-0,184.0,Sr.,"Chicago, Ill. / Saint Patrick / Illinois State",,,
83,,84.0,Kyle Lepkowski,TE,6-4,253.0,Jr.,"Adamstown, Md. / Tuscarora",,,
84,,85.0,Colby Ramshaw,TE,6-5,226.0,Fr.,"Londonderry, N.H. / Londonderry High School",,,
85,,86.0,Peyton Strickland,TE,6-3,231.0,Fr.,"Goffstown, N.H. / Goffstown High School",,,
86,,87.0,Sam Brecker,WR,5-10,168.0,Fr.,"Malvern, Pa. / Malvern High School",,,
87,,87.0,Chris Donnelly,DE,6-3,255.0,Jr.,"Park Ridge, N.J. / Don Bosco Prep",,,
