,Statistic,No.,Name,Pos.,Yr.,Ht.,Wt.,Hometown / High School,Previous School,Image,Title
85,,81.0,Jaden Scott,WR,Fr.,6-1,192.0,"Charleston, S.C. / Palmetto Prep Academy",,,
86,,82.0,Buchi Nwaubi,WR,R-So.,6-3,203.0,"Marietta, Ga. / Lassiter HS",,,
87,,83.0,Seth Anderson,WR,R-Fr.,6-0,178.0,"Suwanee, Ga. / North Gwinnett HS",,,
88,,85.0,Ja'Won Grey,WR,Fr.,6-1,175.0,"Jacksonville, Fla. / University Christian School",,,
89,,86.0,Tanner Bentley,WR,R-Fr.,6-2,185.0,"Dallas, Ga. / North Paulding HS",,,
90,,87.0,Noah Allred,TE,R-Fr.,6-6,230.0,"Greensboro, N.C. / Bishop McGuinness HS",,,
91,,88.0,Kale Anderson,WR,R-So.,5-10,172.0,"Comer, Ga. / Athens Academy",,,
92,,89.0,Chylon Thomas,WR,Sr.,5-7,171.0,"Elgin, S.C. / Gray Collegiate Academy",Charlotte,,
93,,91.0,Tylon Chambers,DL,R-So.,6-1,312.0,"Gordon, Ga. / Veterans HS",,,
94,,92.0,Laron Davis,DL,R-Fr.,6-3,287.0,"Daytona Beach, Fla. / Mainland HS",,,
95,,93.0,Matt Suriano,DL,R-So.,6-3,270.0,"Medford, N.J. / Shawnee HS",,,
96,,94.0,Mikah Riley,DL,R-Fr.,6-2,271.0,"Apopka, Fla. / Apopka HS",,,
97,,95.0,Garret Cates,LS,R-Fr.,6-2,220.0,"Lutz, Fla. / Steinbrenner HS",,,
98,,96.0,Chavon Fields,DT,Gr.,6-1,250.0,"Richmond, Va. / Huguenot HS",UVa.-Wise,,
99,,98.0,Will Laing,P/K,Fr.,6-0,185.0,"Harrisburg, N.C. / Hickory Ridge HS",,,
100,,99.0,Devonte Turner,DL,R-So.,6-2,256.0,"Windsor, Ontario / Clearwater Academy International HS (Fla.)",Coffeyville CC (Kan.),,
101,,,Khalique Holland,CB,Fr.,5-10,195.0,"Greenville, S.C. / Greenville HS",,,
102,,,Terance Mathis Jr.,WR,R-Fr.,5-8,172.0,"Suwanee, Ga. / Lambert HS",Tyler JC (Texas),,
0,,,Gabe Giardina,,,,,,,,Head Coach
1,,,Nick Reveiz,,,,,,,,Defensive Coordinator
2,,,Adam Hollifield,,,,,,,,Offensive Coordinator/Offensive Line
3,,,Shuler Bentley,,,,,,,,Quarterbacks
4,,,Tyler Bell,,,,,,,,Running Backs
5,,,Zack Johnson,,,,,,,,Linebackers/Recruiting Coordinator
6,,,Vince Giardina,,,,,,,,Wide Receivers
7,,,Jalen Bush,,,,,,,,Corners
8,,,Mike Welch,,,,,,,,Defensive Line
9,,,Maurice Duncan,,,,,,,,Secondary
10,,,Dillon Sharp,,,,,,,,Graduate Assistant/Quarterbacks
11,,,Caleb Muxlow,,,,,,,,Graduate Assistant/Tight Ends
12,,,T BA,,,,,,,,Graduate Assistant
13,,,T BA,,,,,,,,Graduate Assistant
14,,,T BA,,,,,,,,Intern
15,,,Main Phone Line,,,,,,,,
0,,,David Padilla,,,,,,,,Assistant A.D. for Football Operations
1,,,Brandon Gilbert,,,,,,,,Director of Strength & Conditioning
2,,,Gary Monteer,,,,,,,,Director of Equipment Operations
3,,,Curtis Stacey,,,,,,,,Student Manager
