,Statistic,#,Name,Pos.,Yr.,Ht.,Wt.,Hometown,High School,Major,Image,Title
46,,57.0,Josh Larsen,OL,R-Fr.,6-2,270.0,"Harrisburg, S.D.",Harrisburg HS,,,
47,,58.0,Trevor Shohoney,OL,Sr.,6-3,315.0,"Franklin, Wis.",Franklin HS,Elementary Education,,
48,,59.0,Joe Cotton,OL,R-Fr.,6-5,300.0,"Sioux Falls, S.D.",Roosevelt HS,,,
49,,61.0,Blake Holden,DL,Jr.,6-3,290.0,"Watertown, S.D.",Watertown HS,Secondary Education,,
50,,62.0,Paxton Swanson,OL,So.,6-5,290.0,"Springfield, Neb.",Platteview HS,Pre-Business,,
51,,63.0,Noah Smith,OL,R-Fr.,6-2,320.0,"Lawrence, Kan.",Lawrence HS,,,
52,,64.0,Ben Kohls,OL,So.,6-3,305.0,"Sioux Falls, S.D.",Roosevelt HS,History,,
53,,65.0,Caden Ellingson,OL,So.,6-7,305.0,"Tea, S.D.",Tea Area HS,Pre-Business,,
54,,66.0,Isaac Erbes,OL,Sr.,6-5,330.0,"Urbandale, Iowa",Urbandale HS,Kinesiology & Sport Mgmt.,,
55,,67.0,Jordan Larsen,OL,R-Fr.,6-3,280.0,"Harrisburg, S.D.",Harrisburg HS,,,
56,,68.0,Sam Kohls,OL,So.,6-4,320.0,"Sioux Falls, S.D.",Roosevelt HS,Pre-Business,,
57,,73.0,Cody Fayette,OL,So.,6-5,295.0,"Wichita, Kan.",Maize South HS,Pre-Business,,
58,,76.0,Joey Lombard,OL,Jr.,6-5,325.0,"Anoka, Minn.",Anoka HS,Business Admin.,,
59,,77.0,Cliff Johnson,OL,Jr.,6-5,305.0,"Lake Andes, S.D.",Andes Central HS,Kinesiology & Sport Mgmt.,,
60,,78.0,Gerrit Poncius,OL,So.,6-7,285.0,"Buffalo, Minn.",Buffalo HS,Pre-Business,,
61,,80.0,Alex Saunders,WR,R-Fr.,6-2,180.0,"Orlando, Fla.",Oviedo HS,,,
62,,81.0,Jacob Cheeseman,WR,So.,6-0,190.0,"Salem, S.D.",McCook Central HS,Medical Biology,,
63,,82.0,JJ Galbreath,TE,Jr.,6-3,220.0,"Arvada, Colo.",Ralston Valley HS,Criminal Justice,,
64,,85.0,Tysen Boze,WR,R-Fr.,6-2,190.0,"Dublin, Ohio",Dublin Scioto HS,,,
65,,86.0,Jamahd Monroe,WR,Jr.,6-2,195.0,"San Diego, Calif.",Lincoln HS,,,
66,,87.0,Jacob Remmert,TE,So.,6-5,225.0,"Cedar Falls, Iowa",Cedar Falls HS,Kinesiology & Sport Mgmt.,,
67,,88.0,Troy Bounting,WR,R-Fr.,5-9,175.0,"Hudson, Wis.",Hudson HS,,,
68,,89.0,Zach Witte,TE,So.,6-6,250.0,"Sioux Falls, S.D.",Christian HS,Pre-Business,,
69,,90.0,Mi'Quise Grace,DL,R-Fr.,6-4,240.0,"Cincinnati, Ohio",Princeton HS,,,
70,,91.0,Brendan Webb,DL,Sr.,6-4,255.0,"Buhler, Kan.",Buhler HS,Psychology,,
71,,92.0,Micah Roane,DL,Sr.,6-4,250.0,"Chaska, Minn.",Chaska HS,Kinesiology & Sport Mgmt.,,
72,,93.0,Will Dunn,DL,Jr.,6-3,280.0,"Oklahoma City, Okla.",Heritage Hall HS,Pre-Business,,
