,Statistic,Image,#,Name,Pos.,Ht.,Wt.,Cl.,Hometown/Previous School,Title
114,,,,Nick Solieau,OL,6-4,325.0,Fr.,"Jessieville, Ark. / Jessieville HS",
0,,,,Nathan Brown,,,,,,Head Football Coach
1,,,,Brooks Hollingsworth,,,,,,Associate Head Coach/Tight Ends
2,,,,Ken Collums,,,,,,Offensive Coordinator/Quarterbacks
3,,,,Matt Kitchens,,,,,,Defensive Coordinator/Outside Linebackers
4,,,,Gunnar Boykin,,,,,,Offensive Line/Recruiting Coordinator
5,,,,Tony Davis,,,,,,Defensive Line
6,,,,Keith Scott,,,,,,Defensive Backs/Pass Game Coord/Special Teams Coord.
7,,,,Kre Trammell,,,,,,Cornerbacks
8,,,,Nelson Gunnell,,,,,,Running Backs
9,,,,Jamar Johnson,,,,,,Wide Receivers
10,,,,Cannon Gibbs,,,,,,Linebackers
11,,,,Bayley Novak,,,,,,Offensive Graduate Assistant/QBs
12,,,,Jake Walker,,,,,,Defensive Graduate Assistant/DBs
13,,,,Zach Brady,,,,,,Director of Player Personnel/Equipment
0,,,,Blaze Barista,,,,,,Defensive Quality Control/OLB
1,,,,Luke Sexton,,,,,,Specials Teams Quality Control/Video Coord.
2,,,,Corbin Boler,,,,,,Offensive Quality Control/OL
3,,,,Stephanie Crain,,,,,,Assistant to the Head Coach
