,Statistic,Image,No.,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous University
74,,,73,Rowdy Garza,OL,6-4,300.0,Jr.,"Abilene, TX / Hewitt-Trussville HS",
75,,,74,Blake Haynes,OL,6-6,305.0,Jr.,"Maypearl, TX / Maypearl HS",
76,,,75,Austin Whitehead,OL,6-6,315.0,Sr.,"Enid, OK / Enid HS",
77,,,77,Jack Gallagher,OL,6-6,250.0,Rf.,"Fredericksburg, TX / Fredericksburg HS",
78,,,78,Raul Sandoval III,OL,6-0,295.0,Sr.,"Granbury, TX / Granbury HS",
79,,,79,Brandon Machuca,OL,6-3,300.0,So.,"Corinth, TX / Lake Dallas HS",
80,,,80,Cooper Vaden,TE,6-2,240.0,Fr.,"Fort Worth, TX / Boswell HS",
81,,,81,Tate Abel,WR,6-1,195.0,Rf.,"Crawford, TX / Crawford HS",
82,,,82,Fred Brown II,WR,5-9,175.0,So.,"Mesquite, TX / Dallas Christian School",
83,,,83,Jake Walrath,P,6-4,200.0,Jr.,"Salado, TX / Salado HS",
84,,,84,Anton Beemelmanns,WR,6-1,185.0,Fr.,"Kingston, PA / Wyoming Seminary",
85,,,85,Randy Clemons II,TE,6-4,255.0,Jr.,"Quartz Hill, CA / Quartz Hill HS",
86,,,86,Wyatt Birdwell,K,6-2,185.0,Rf.,"Millsap, TX / Millsap HS",
87,,,87,Evan Chisolm,WR,6-3,190.0,Rf.,"El Paso, TX / Americas HS",
88,,,88,Shawn McFarland,TE,6-3,253.0,Sr.,"Selden, NY / Centereach HS",
89,,,89,Mateo Siderman,WR,6-1,180.0,Fr.,"Westlake Village, CA / Westlake HS",
90,,,90,Javier Duran,DL,6-4,280.0,Jr.,"Jackson, NJ / Jackson Liberty HS",
91,,,91,Isaac Garcia,LS,6-2,220.0,So.,"Fort Worth, TX / R.L. Paschal HS",
92,,,95,Jon-Thomas Linnear,DL,6-3,280.0,Fr.,"Fort Worth, TX / Keller HS",
93,,,96,Charlie Mullen,K,6-4,220.0,Fr.,"Houston, TX / Lamar HS",
94,,,98,Jamell Winn,DL,6-5,370.0,Sr.,"Brooklyn, NY / Grand Street Campus HS",
95,,,SQ,O'tay Baker,LB,6-4,222.0,Jr.,"Mesquite, TX / Mesquite HS",
96,,,SQ,Zach Blair,WR,6-3,200.0,So.,"Desoto, TX / Desoto HS",
97,,,SQ,Dionte Brooks,DL,6-2,265.0,Sr.,"Mansfield, TX / Mansfield HS",
98,,,SQ,Calob Davis,DL,6-3,240.0,Rf.,"Crandall, TX / Crandall HS",
99,,,SQ,Jaden Fisher,DB,6-0,184.0,Fr.,"Fort Worth, TX / Chisholm Trail HS",
100,,,SQ,Maleek Jones,DB,6-1,170.0,Rf.,"Port Arthur, TX / Memorial HS",
101,,,SQ,Ryan McDavid,DB,6-0,195.0,Rf.,"Flower Mound, TX / Flower Mound HS",
102,,,SQ,Corbin Poston,K,6-0,185.0,Fr.,"Stephenville, TX / Stephenville, HS",
103,,,SQ,Brandon Tolvert,DL,6-1,295.0,So.,"Columbus, GA / Newnan HS",
104,,,SQ,Chika Ugoh,LB,6-3,230.0,Fr.,"Frisco, TX / Liberty HS",
105,,,SQ,Reese Woerner,RB,5-8,190.0,Fr.,"Eau Claire, WI / Memorial HS",
