,Statistic,#,Full Name,Yr.,Pos.,Ht.,Wt.,Hometown / High School,Previous School,Image,Name,Title
55,,70.0,Cole Graham,Jr.,OL,6-6,315.0,"Greensburg, Pa. / Hempfield Area",,,,
56,,72.0,Logan Pitetti,R-Fr.,OL,6-1,270.0,"South Fayette, Pa. / South Fayette",,,,
57,,73.0,Nnamdi Onyemelukwe,R-Jr.,DL,-,375.0,"Canton, Mass. / Canton",,,,
58,,74.0,Luke Nowak,So.,K,5-9,155.0,"Orchard Park, N.Y. / Saint Francis",,,,
59,,75.0,Levi Villarrial,R-Fr.,OL,6-1,275.0,"Ebensburg, Pa. / Central Cambria",,,,
60,,76.0,Bailey Iboleon,R-Sr.,OL,6-4,305.0,"Alexandria, Va. / West Potomac",,,,
61,,80.0,Kameron Blevins,R-So.,WR,-,175.0,"Vero Beach, Fla. / Eau Gallis",,,,
62,,80.0,Aaron Tutino,R-Jr.,WR,5-11,155.0,"Ligonier, Pa. / Ligonier Valley",,,,
63,,81.0,Michael Beneski,R-So.,WR,6-3,200.0,"Erie, Pa. / McDowell",Slippery Rock,,,
64,,81.0,"Michael Schumacher, Jr.",So.,WR,6-2,185.0,"Newtown Square, Pa. / Marple Newtown",,,,
65,,82.0,Casey McKinney,R-Fr.,WR,5-11,175.0,"Clarksburg, Md. / Clarksburg",,,,
66,,84.0,Jonathan Bagley,So.,TE,-,210.0,"Lansdowne, Pa. / Imhotep Institute Charter",,,,
67,,84.0,James Lilley,So.,TE,6-4,235.0,"Chambersburg, Pa. / Chambersburg",,,,
68,,85.0,Jake Bruno,R-Fr.,TE,6-5,240.0,"Amherst, N.Y. / Williamsville",,,,
69,,86.0,Haiden Garner,So.,WR,6-2,185.0,"Shade Gap, Pa. / Bishop Guilfoyle",,,,
70,,87.0,Tyreese Haugabrooks,R-Jr.,TE,6-0,240.0,"Griffin, Ga. / Spalding",,,,
71,,87.0,Scott Raymond,So.,TE,6-3,235.0,"Clarence, N.Y. / Clarence",,,,
72,,88.0,Daniel Card,R-Fr.,WR,-,180.0,"Webster, N.Y. / Webster Thomas",,,,
73,,89.0,Daniel Faccone,R-Fr.,WR,6-1,190.0,"Crystal Lake, Ill. / Midwest Prep Academy",,,,
74,,90.0,John Courtney,R-Fr.,DL,6-2,250.0,"Ashburn, Va. / Briar Woods",,,,
75,,91.0,Di'Moni Dickerson,R-Fr.,DL,6-1,245.0,"Glenarden, Md. / Our Lady of Good Counsel",,,,
76,,92.0,Jalen Robertson,So.,DL,6-4,240.0,"Baltimore, Md. / Archbishop Spalding",,,,
77,,93.0,Shawn Phillips,So.,DL,6-5,275.0,"Baltimore, Md. / St. Frances Academy",,,,
78,,94.0,Langston Ross,R-Fr.,DL,6-0,245.0,"Forestville, Md. / Bishop McNamara",,,,
79,,95.0,Jason Stone,Jr.,WR,-,,"Media, Pa. / Strath Haven",,,,
80,,96.0,Gavin Thomas,R-Jr.,DL,5-11,335.0,"Clifton, Va. / Centreville",,,,
81,,97.0,Chauncey Kratee,R-Jr.,DL,6-0,255.0,"Penndel, Pa. / Conwell-Egan Catholic",Wesley College,,,
82,,98.0,Eddie Bierals,Jr.,DL,6-2,255.0,"Wayne, N.J. / DePaul Catholic",,,,
0,,,,,,,,,,,Chris Villarrial,Head Coach
1,,,,,,,,,,,Marco Pecora,"Associate Head Coach/Offensive Coordinator (Virginia, D.C.)"
2,,,,,,,,,,,Scott Lewis,Defensive Coordinator (PIAA Districts 1 & 3)
3,,,,,,,,,,,Brian Wright,Wide Receivers Coach (PIAA Districts 2 & 4 & 11)
4,,,,,,,,,,,Josh Hutchison,Running Backs/Special Teams (North Jersey)
5,,,,,,,,,,,Thomas Rogish,Defensive Line Coach (South Jersey)
6,,,,,,,,,,,Ryan Wilson,"Offensive Line Coach (PIAA District 10, Cleveland, Buffalo)"
7,,,,,,,,,,,Zach Morehead,"Tight Ends Coach (Western Maryland, Ohio)"
8,,,,,,,,,,,Ben Bruni,Linebackers Coach (PIAA Districts 7 & 8)
9,,,,,,,,,,,Elven Walker IV,"Secondary/Special Teams (PIAA District 12, Central & Southern Maryland)"
10,,,,,,,,,,,Brian Basile,Defensive Assistant Coach
11,,,,,,,,,,,Dan Gueguen,Defensive Assistant Coach
12,,,,,,,,,,,Jonathan Harrison,Director of Football Operations
0,,,,,,,,,,,Connor Warren,Athletic Trainer
1,,,,,,,,,,,Jake Myers,Strength & Conditioning
2,,,,,,,,,,,John Krimmel,Academic Advisor
3,,,,,,,,,,,Shannon Corbett,Academic Advisor
