,Statistic,No.,Name,Pos.,Yr.,Ht.,Wt.,Hometown / High School,Previous School,Image,Title
0,,0.0,Thomas Brown,WR,R-So.,6-2,185.0,"Wendell, N.C. / Ravenscroft School",,,
1,,1.0,Will Mason,DB,So.,5-9,175.0,"Wake Forest, N.C. / Cardinal Gibbons",,,
2,,3.0,Trey Mason,DB,R-Sr.,5-9,190.0,"Wake Forest, N.C. / Cardinal Gibbons",,,
3,,3.0,Brody Reder,RB,R-Jr.,6-2,215.0,"Maineville, Ohio / Little Miami",,,
4,,4.0,Bret Bushka,QB,R-Sr.,5-9,200.0,"Lombard, Ill. / Glenbard East",,,
5,,4.0,Kellen Madison,DB,R-So.,6-1,180.0,"Davie, Fla. / Saint Thomas Aquinas",,,
6,,6.0,Lucas Kozlowski,DB,R-Jr.,5-9,185.0,"Barrington, Ill. / Barrington",,,
7,,6.0,Brennan Stolarek,QB,R-Fr.,6-1,187.0,"Frankfort, Ill. / Lincoln-Way East",,,
8,,8.0,Byron Hubbard II,DL,Gr.,6-2,245.0,"Westfield, Ind. / Westfield",Purdue,,
9,,8.0,Luka Popovic,WR,R-Jr.,6-1,180.0,"Palatine, Ill. / Palatine",,,
10,,9.0,Jeremy Johnson,WR,R-Sr.,6-0,185.0,"Lombard, Ill. / Glenbard East",,,
11,,11.0,Steven Williams II,DL,So.,5-9,215.0,"Wake Forest, N.C. / Wake Forest",,,
12,,12.0,Brady Preston,QB,R-Fr.,6-1,200.0,"Lafayette, Ind. / Lafayette Jefferson",,,
13,,12.0,Steven Stephany,DB,R-Fr.,5-9,182.0,"Lafayette, Ind. / Lafayette Jefferson",,,
14,,13.0,Reagan Andrew,QB,R-Fr.,5-7,178.0,"St. Louis, Mo. / Mary Institute and St. Louis Country Day School",,,
15,,13.0,Dominic McKevitt,DB,R-Fr.,6-1,185.0,"Arlington Heights, Ill. / Saint Viator",,,
16,,14.0,Adam Cipriano,DB,R-So.,6-2,185.0,"Upper Arlington, Ohio / Upper Arlington",,,
17,,14.0,Eddie Schott,QB,R-Jr.,6-5,220.0,"Indianapolis, Ind. / Southport",Ball State,,
18,,15.0,Joey Audia,WR,R-So.,5-8,175.0,"Pittsburgh, Pa. / South Fayette",,,
19,,15.0,Eric Csala,DB,R-Fr.,6-0,187.0,"Aldie, Va. / IMG Academy",,,
20,,16.0,Andres Srsen,DB,R-Jr.,5-11,180.0,"San Pedro, Calif. / San Pedro",,,
21,,17.0,Danny Orgler,LB,R-So.,6-2,220.0,"Buffalo Grove, Ill. / Stevenson",,,
22,,18.0,Griffin Caldwell,RB,R-Fr.,5-10,182.0,"Johns Creek, Ga. / IMG Academy",,,
23,,18.0,Connor McCoy,DB,R-Fr.,6-2,185.0,"Elmhurst, Ill. / IC Catholic Prep",,,
24,,20.0,Ian Baron,RB,R-Fr.,5-10,193.0,"Los Angeles, Calif. / IMG Academy",,,
25,,22.0,Joey Suchy,RB,R-Jr.,6-0,225.0,"Mayfield Heights, Ohio / Mayfield",,,
26,,23.0,Luke Wooten,WR,R-So.,5-10,192.0,"Danville, Ind. / Danville Community",,,
27,,24.0,Patrick Coury,DB,R-Jr.,6-0,195.0,"Franklin, Wis. / Marquette University",,,
28,,25.0,Ershod Jasey II,RB,R-Fr.,5-11,190.0,"Jacksonville, Fla. / Episcopal",,,
29,,25.0,Kody Leach,DB,R-Jr.,5-10,200.0,"Noblesville, Ind. / Noblesville",,,
30,,26.0,Quinn Warweg,DB,So.,6-0,180.0,"Whiteland, Ind. / Whiteland Community",,,
31,,27.0,Ethan Loss,WR,R-Fr.,6-0,180.0,"Mahtomedi, Minn. / Mahtomedi",,,
32,,29.0,Tyson Garrett,LB,So.,6-0,217.0,"Greenwood, Ind. / Roncalli",,,
33,,31.0,Nick Bafia,DB,Jr.,6-1,190.0,"Naperville, Ill. / Benet Academy",,,
34,,32.0,Kyler Newcom,DB,So.,5-11,185.0,"Lowell, Ind. / Lowell",,,
35,,33.0,Jack Belskis,DL,R-Jr.,6-2,230.0,"Naperville, Ill. / Neuqua Valley",,,
36,,34.0,Kwesi Kyei-Fordjour,RB,R-So.,5-10,205.0,"Charlotte, N.C. / William Amos Hough",,,
37,,34.0,Sam Scullion,LB,R-Fr.,5-11,190.0,"Glen Ellyn, Ill. / Glenbard South",,,
38,,35.0,Adam Sturtz,LB,R-So.,6-2,210.0,"Naperville, Ill. / Naperville North",,,
39,,36.0,Brayton Spetter,LB,R-So.,6-0,200.0,"Bargersville, Ind. / Center Grove",,,
40,,37.0,Isaac Kolosik,LB,R-Jr.,6-1,220.0,"Liberty Township, Ohio / Lakota West",,,
41,,38.0,Archie Cox,WR,R-Fr.,6-0,182.0,"Palatine, Ill. / Fremd",,,
42,,39.0,Jack Molloy,WR,R-Fr.,5-11,175.0,"Evergreen Park, Ill. / Saint Ignatius",,,
43,,40.0,Deklan Dougherty,LB,R-Fr.,6-2,210.0,"Starke, Fla. / The Bolles School",,,
44,,40.0,David Vincent,LB,R-Fr.,5-10,200.0,"Akron, Ohio / Archbishop Hoban",,,
45,,41.0,Evan Niemi,LB,R-So.,6-3,230.0,"Rocklin, Calif. / Rocklin",,,
46,,43.0,Mike Wymer,LB,R-Sr.,6-0,215.0,"Naperville, Ill. / Benet Academy",,,
47,,44.0,Jacob Halfacre,DL,R-Fr.,6-2,260.0,"Arden, N.C. / Christ School",,,
48,,46.0,Luka Zurak,P,R-Jr.,6-0,188.0,"Cleveland, Ohio / Lake Catholic",,,
49,,47.0,James McCabe,LB,R-Fr.,6-2,205.0,"Winnetka, Ill. / Loyola Academy",,,
