,Unnamed: 0,Statistic,No.,Image,Name,Pos.,Ht.,Wt.,Cl.,Current School Name,Hometown,High School,Previous School,Title,Yr.,Hgt.,Wgt.,#,Full Name,Hometown/Previous School,Hometown (Prev School),Year,Pos,Academic Year,Hometown / High School,C,Hometown/High School,Unnamed: 7,Exp.,College,Class,Major,School,Hometown(Prev School),Hometown / Last School,Transfer,Player,CL.,NAME,POS,HT,WT,Name.1,Prev School,Yr.-Exp.,Custom Field 1,Custom Field 2,Custom Field 3,Hometown / High School / Prep (Previous College),Twitter,Instagram,FULL NAME,POS.,HT.,WT.,HOMETOWN,HIGH SCHOOL,PREVIOUS SCHOOL,MAJOR,High School / Prev. School,Letters,Photo,HIgh School,Hometown / High School (Last School),Previous College,Facebook,Previous University,High School (Prev. School),2022-23 Football Coaches,2022-23 Football Coaches.1,Eligibility,Position,Height,Weight,Number,Opendorse
21,21,,17.0,,Dishon Hall II,DB,6-3,195.0,Jr.,Abilene Christian,"Normal, Ill.",Normal Community HS,Iowa Central CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,,19.0,,Dax Neece,WR,6-3,210.0,Sr.,Abilene Christian,"Albany, Texas",Albany HS,Texas Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,,19.0,,Dorian Plumley,S,6-0,190.0,So.,Abilene Christian,"El Reno, Okla.",El Reno HS,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,,20.0,,Javion Hunt,RB,6-0,205.0,So.,Abilene Christian,"Midwest City, Okla.",Carl Albert HS,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,,20.0,,Brandon Ramsey,DB,6-0,190.0,Rf.,Abilene Christian,"Owasso, Okla.",Owasso HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,,21.0,,Jermiah Dobbins,RB,5-11,195.0,Jr.,Abilene Christian,"Lubbock, Texas",Estacado HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,,23.0,,Patrick Jolly,DB,6-2,185.0,Sr.,Abilene Christian,"Tampa, Fla.",Newsome HS,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,,24.0,,Darius Moore,LB,6-1,235.0,Jr.,Abilene Christian,"El Reno, Okla.",El Reno HS,Northeastern Oklahoma A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,,25.0,,Izaiah Kelley,LB,6-2,210.0,Jr.,Abilene Christian,"Lubbock, Texas",Coronado HS,SMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,,26.0,,Jailen Dixon,LB,6-3,210.0,R-So.,Abilene Christian,"Electra, Texas",Electra HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
