,Statistic,No.,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Image,Name,Title
0,,0.0,Gene Sledge,RB,6-2,235.0,So.,"Huntsville, Ala. / Vista Peak HS",Northern Colorado,,,
1,,2.0,Preston Daniels,RB,5-11,255.0,Jr.,"Sandersville, Ga. / Washington County HS",,,,
2,,4.0,Jonathan Murphy,QB,6-0,190.0,Sr.,"Los Angeles, Calif. / Westchester HS",Long Beach CC,,,
3,,7.0,Oscar Gonzalez,WR,6-4,230.0,Sr.,"Dalton, Ga. / Southeast Whitfield HS",,,,
4,,9.0,Davis Bryson,QB,5-9,175.0,Fr.,"Woodbridge, Va. / Freedom HS",,,,
5,,11.0,Je'Cory Burks,DB,6-0,195.0,Sr.,"Perry, Ga. / Perry HS",,,,
6,,12.0,Isaac Foster,RB,5-10,175.0,Gr.,"Summerville, Ga. / Chattooga HS",,,,
7,,13.0,DeAngelo Hardy,QB,5-10,185.0,Jr.,"Chattanooga, Tenn. / McCallie School",,,,
8,,14.0,Jalen Barnum,LB,6-1,195.0,Jr.,"Jesup, Ga. / Wayne County HS",,,,
9,,15.0,Braden Bohannon,QB,6-1,180.0,Fr.,"Woodstock, Ga. / Etowah HS",,,,
10,,15.0,Jayven Williams,DB,6-2,170.0,Fr.,"Mobile, Ala. / Baker HS",,,,
11,,17.0,Chavis Marshall,WR,6-3,195.0,Jr.,"Sylvester, Ga. / Worth County HS",,,,
12,,18.0,Nick Sawyer,QB,5-11,160.0,Fr.,"Harvest, Ala. / Sparkman HS",,,,
13,,19.0,Adam Diaz,QB,5-11,180.0,Fr.,"Shaker Heights, Ohio / Shaker Heights HS",,,,
14,,21.0,Markeith Montgomery,DB,5-10,185.0,Sr.,"Flintstone, Ga. / Ridgeland HS",,,,
15,,22.0,Elijah Kirby,DB,6-1,210.0,Jr.,"Sandy Springs, Ga. / Riverwood HS",,,,
16,,23.0,Sulaiman Bah,DB,6-1,190.0,So.,"Lilburn, Ga. / Parkview HS",,,,
17,,23.0,Kemari McGowan,RB,5-10,160.0,Jr.,"Murfreesboro, Tenn. / Middle Tennessee Christian School",,,,
18,,24.0,Jeremiah Compton,DB,6-1,185.0,Sr.,"Waverly, Ga. / Camden County HS",,,,
19,,25.0,Deontre Morris,DB,5-11,185.0,So.,"Atlanta, Ga. / Therrell HS",,,,
20,,26.0,Gabriel Benyard,RB,5-10,175.0,So.,"Ocilla, Ga. / Irwin County HS",,,,
21,,27.0,Cade Loden,WR,6-0,180.0,Jr.,"St. Mary's, Ga. / Camden County HS",,,,
22,,28.0,Tykeem Wallace,RB,5-9,160.0,So.,"Thomasville, Ga. / Thomas County Central HS",,,,
23,,29.0,Joe Williams,DB,6-0,170.0,Fr.,"Thomasville, Ga. / Thomasville HS",,,,
24,,30.0,Qua Ashley,RB,5-10,185.0,Fr.,"Dublin, Ga. / Dublin HS",,,,
25,,30.0,Milon Jones,DB,5-11,175.0,Fr.,"Marietta, Ga. / Marietta HS",,,,
26,,31.0,Chance Gamble,DB,6-2,170.0,So.,"Fitzgerald, Ga. / Fitzgerald HS",,,,
27,,33.0,Rob Brown,RB,6-0,205.0,Fr.,"Trion, Ga. / Trion HS",,,,
28,,34.0,Jameel Avery,RB,5-10,165.0,Fr.,"Atlanta, Ga. / Chamblee HS",,,,
29,,35.0,Michael Benefield,RB,5-7,190.0,So.,"Atlanta, Ga. / St. Pius X HS",Butler,,,
30,,36.0,Remington Adams,RB,5-6,165.0,Fr.,"Kennesaw, Ga. / Mount Paran Christian School",,,,
31,,36.0,Danarius Johnson,LB,5-11,195.0,Fr.,"Patterson, Ga. / Pierce County HS",,,,
32,,37.0,Yesiah Clemons,RB,5-10,200.0,Jr.,"Griffin, Ga. / Spaulding HS",Point Univ.,,,
33,,37.0,Nehemiah McCoy,LB,5-10,200.0,Fr.,"Ocilla, Ga. / Irwin County HS",,,,
34,,38.0,Dylan Hand,DB,6-0,195.0,So.,"Dacula, Ga. / Dacula HS",,,,
35,,40.0,Eli Leiataua,RB,5-11,215.0,Fr.,"Hinesville, Ga. / Bradwell Institute",,,,
36,,41.0,Garland Benyard,LB,6-1,200.0,So.,"Ocilla, Ga. / Irwin County HS",,,,
37,,43.0,Jerrod Woods,LB,6-1,210.0,So.,"Leesburg, Ga. / Lee County HS",,,,
38,,46.0,Jordan Lay,RB,5-11,205.0,Jr.,"Hartwell, Ga. / Hart County HS",,,,
39,,47.0,Alexander Diggs,RB,5-9,190.0,Fr.,"Snellville, Ga. / Brookwood HS",,,,
40,,47.0,Antonio Ward,LB,6-0,210.0,Jr.,"Snellville, Ga. / Parkview HS",Georgia Knights Prep Academy,,,
41,,48.0,Donelius Johnson,LB,6-0,215.0,Fr.,"Patterson, Ga. / Pierce County HS",,,,
42,,49.0,Juandarion Silas,LB,6-1,200.0,Fr.,"Athens, Ga. / Cedar Shoals HS",,,,
43,,50.0,Terrell Paxton,OL,6-0,310.0,Sr.,"Stone Mountain, Ga. / Tucker HS",,,,
44,,51.0,Kelcy Allen,DL,6-1,280.0,Sr.,"Smith Station, Ala. / Glenwood School",,,,
45,,53.0,Charlie Cooper,P,5-11,185.0,Fr.,"Tucker, Ga. / Tucker HS",,,,
46,,54.0,Seth Adams,OL,6-3,250.0,So.,"Dawsonville, Ga. / Dawson County HS",University of the Cumberlands (KY),,,
47,,55.0,Seaburn Hines,OL,6-2,305.0,So.,"Helena, Ala. / Helena HS",Georgia Southern,,,
48,,56.0,Demetric Barnes,DL,6-4,235.0,Jr.,"Stone Mountain, Ga. / Arabia Mountain HS",,,,
49,,57.0,Tyler Scott,DL,6-1,310.0,Jr.,"Jackson, Ga. / Jackson HS",,,,
50,,58.0,Jahon Myers,DL,6-3,255.0,Jr.,"Luella, Ga. / Luella HS",,,,
51,,59.0,Cameron Donald,DL,6-1,250.0,Jr.,"Pelzer, S.C. / Woodmont HS",,,,
52,,61.0,Darron Willis,OL,6-2,255.0,Jr.,"Alpharetta, Ga. / St. Francis HS",,,,
53,,62.0,Tristan Love,OL,6-2,300.0,Sr.,"Rockledge, Fla. / Rockledge HS",SEMO,,,
54,,64.0,Trey Butts,OL,6-2,260.0,Fr.,"Macon, Ga. / Mount De Sales Academy",,,,
55,,65.0,Zion Katina,OL,6-2,285.0,Sr.,"Franklin, Tenn. / Independence HS",,,,
56,,66.0,Matt Olson,OL,6-3,285.0,Gr.,"Cumming, Ga. / Forsyth Central HS",,,,
57,,67.0,Matthew Gilliam,OL,6-2,250.0,So.,"Fayetteville, Ga. / Fayette County HS",,,,
58,,68.0,Trenton Jackson,OL,6-0,290.0,Jr.,"Hattiesburg, Miss. / Oak Grove HS",,,,
59,,70.0,James Dawson,OL,6-1,295.0,Jr.,"Opelika, Ala. / Opelika HS",,,,
60,,71.0,Nathan Wright,OL,6-3,255.0,Fr.,"Gardendale, Ala. / Gardendale HS",,,,
61,,72.0,Coy Pendergrass,OL,6-3,275.0,Fr.,"Lafayette, Ga. / Lafayette HS",,,,
62,,73.0,Mike Fangman,OL,6-1,270.0,So.,"Naples, Fla. / Naples HS",Missouri St.,,,
63,,74.0,Desmond Scott,DL,6-0,285.0,Gr.,"Pinson, Ala. / Pinson Valley HS",,,,
64,,75.0,Hall O'Neal,OL,6-2,255.0,Jr.,"Atlanta, Ga. / Holy Innocents' Episcopal School",,,,
65,,76.0,Brian Habeck,OL,6-3,235.0,Fr.,"Jefferson, Ga. / Jefferson HS",,,,
66,,77.0,Conor Cummins,K,6-1,175.0,So.,"Marietta, Ga. / George Walton Comprehensive HS",,,,
67,,78.0,Ronnie Thomas,LS,5-10,180.0,Fr.,"Warner Robbins, Ga. / Houston County HS",,,,
68,,79.0,Dylan Hannon,DL,6-2,290.0,Fr.,"Alpharetta, Ga. / Alpharetta HS",,,,
69,,80.0,Connor Finer,TE,6-2,215.0,So.,"New Port Richey, Fla. / River Ridge HS",,,,
70,,81.0,Zane McCracken,LS,6-2,200.0,Jr.,"Calhoun, Ga. / Calhoun HS",,,,
71,,82.0,Clayton Nelson,WR,6-0,190.0,Sr.,"Buford, Ga. / Buford HS",,,,
72,,83.0,Blake Bohannon,WR,6-1,200.0,So.,"Woodstock, Ga. / Etowah HS",,,,
73,,85.0,Rowan Darnell,WR,6-4,210.0,Fr.,"Johns Creek, Ga. / Johns Creek HS",,,,
74,,86.0,Carson Kent,TE,6-4,230.0,Fr.,"Milton, Ga. / Cambridge HS",,,,
75,,87.0,Carter Pinholster,WR,6-1,190.0,Jr.,"Fort Payne, Ala. / Fort Payne HS",,,,
76,,88.0,Nathan Robertson,K,5-10,160.0,Gr.,"Columbus, Ga. / Northside HS",,,,
77,,89.0,Acha Mbanwei,K/P,5-11,230.0,So.,"Conyers, Ga. / Heritage HS",Presbyterian,,,
78,,90.0,Joshua Huiet,P,6-2,205.0,So.,"Johns Creek, Ga. / Johns Creek HS",,,,
79,,90.0,Ugonna Nwoha,DL,6-3,265.0,Fr.,"Austell, Ga. / South Cobb HS",,,,
80,,91.0,Joshua Agbenou,DL,6-2,235.0,Jr.,"Bethlehem, Ga. / Apalachee HS",Furman,,,
81,,92.0,Carlos Allen,DL,6-0,290.0,Jr.,"Atlanta, Ga. / Frederick Douglass HS",,,,
82,,93.0,Jayden Barron,DL,6-2,280.0,Sr.,"Thomaston, Ga. / Upson-Lee HS",,,,
83,,95.0,Joel Parker,DL,6-0,250.0,Sr.,"Birmingham, Ala. / Pinson Valley HS",,,,
84,,96.0,Travis Bell,DL,6-1,305.0,Gr.,"Montgomery, Ala. / Jefferson Davis HS",,,,
85,,97.0,Adam Watkins,DL,6-0,285.0,So.,"Dacula, Ga. / Dacula HS",,,,
86,,98.0,RJ Taylor,DL,6-3,195.0,Fr.,Gulf Shores Ala. / Gulf Shores HS,,,,
