,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Exp.,Hometown,High School,College,Image,Name,Title
56,,70.0,Braylon Cornell,OL,6-6,285.0,Fr.,RS,"West Linn, OR",West Linn,,,,
57,,71.0,Sebastian Sias,OL,6-3,320.0,Sr.,1V,"Utqiagvik, AK",Barrow,Butte JC,,,
58,,72.0,Jake Cooper,OL,6-5,260.0,Fr.,RS,"Milwaukie, OR",Milwaukie,,,,
59,,73.0,Hezephaniah Po Ching,OL,6-2,300.0,Fr.,RS,"Vancouver, WA",Skyview,,,,
60,,75.0,D'Angalo Titialii,OL,6-2,320.0,Jr.,2V,"Auburn, WA",Eastside Catholic,,,,
61,,76.0,Pedro Timoteo,OL,6-3,335.0,So.,1V,"Anchorage, AK",East Anchorage,Fresno State,,,
62,,77.0,Jaylen Larry,OL,6-3,275.0,Jr.,RS,"Pasadena, CA",Oaks Christian HS • Milford Prep,UMass,,,
63,,78.0,Richard Estrella,OL,6-4,305.0,Jr.,2V,"Eugene, OR",Churchill,,,,
64,,82.0,Malcolm Tatum,WR,6-3,200.0,So.,1V,"Tualatin, OR",Tualatin,,,,
65,,84.0,Elias Spence,TE,6-4,225.0,Jr.,2V,"Medford, OR",North Medford,,,,
66,,86.0,Jaylen Lynch,WR,6-2,175.0,Fr.,RS,"Murrieta, CA",Orange Lutheran,,,,
67,,87.0,Taylor Evans,WR,6-0,190.0,So.,1V,"Simi Valley, CA",Crespi Carmelite,,,,
68,,89.0,Tanner Beaman,TE,6-3,220.0,Fr.,RS,"Vancouver, WA",Skyview,,,,
69,,90.0,George Triplett,P,5-10,190.0,Sr.,1V,"Elkins, WV",Elkins,Princeton,,,
70,,93.0,Martin Salazar,DL,5-10,285.0,Jr.,2V,"Watts, CA",Mater Dei,,,,
71,,94.0,Jessie Brown,DT,6-2,280.0,So.,1V,"Bremerton, WA",Olympic,,,,
72,,95.0,Rob Silva,DL,6-0,300.0,Fr.,RS,"Lodi, CA",Camas (WA) HS,,,,
73,,96.0,Slade Shufelt,DL,6-3,230.0,So.,1V,"Hillsboro, OR",Hillsboro,,,,
74,,97.0,Gianni Smith,K,6-1,205.0,Jr.,2V,"Oak Park, CA",Oak Park,,,,
75,,98.0,Michael MacNeill,DL,6-1,280.0,Fr.,RS,"Salinas, CA",Salinas,,,,
76,,99.0,Fyodor Henrichs-Tarasenkov,K,6-4,200.0,Fr.,RS,"Vancouver, WA",Skyview,,,,
77,,99.0,Dino Kahaulelio,DT,6-0,285.0,Sr.,1V,"Santa Rosa, CA",Cardinal Newman,City College of San Francisco,,,
78,,,"Tupulea ""Bam"" Afalava",DL,6-3,240.0,Fr.,HS,"Puyallup, WA",Emerald Ridge,,,,
79,,,Jermaine Braddock,WR,6-1,190.0,Sr.,TR,"Covina, CA",Charter Oak,San Jose State,,,
80,,,Jaden DaCosta,DB,6-1,195.0,Fr.,HS,"Inglewood, CA",Inglewood,,,,
81,,,Eric Denham,WR,5-11,200.0,Fr.,HS,"Bellflower, CA",St. John Bosco,,,,
82,,,Gabe Downing,QB,6-0,185.0,Fr.,HS,"Olympia, WA",Olympia,,,,
83,,,Elijah Eason,DL,6-5,235.0,Fr.,HS,"Fresno, CA",Bullard,,,,
84,,,Spencer Elliott,DL,6-2,235.0,Fr.,HS,"Bend, OR",Summit,,,,
85,,,Dallas Holliday,OL,6-3,315.0,Sr.,TR,"Sherman Oaks, CA",Oaks Christian,Boise State,,,
86,,,Donte Hookfin,DL,6-3,240.0,Fr.,HS,"North Las Vegas, NV",Mojave,,,,
87,,,Jayden House,DL,6-2,250.0,Fr.,HS,"Las Vegas, NV",Bishop Gorman,,,,
88,,,DeMarcus Houston,DB,6-2,185.0,Fr.,HS,,,,,,
89,,,Kristian Ingman,TE,6-5,235.0,Fr.,HS,"Reno, NV",Bishop Manogue,,,,
