,Statistic,#,Full Name,Year,Pos.,Ht.,Wt.,Hometown / High School,Previous School,Image,Name,Title
0,,0.0,Owen Glascoe,R-Jr.,TE,6-4,258.0,"Massapequa Park, N.Y. / Massapequa",Penn State,,,
1,,1.0,Rudy Ngougni,Sr.,DE,6-3,240.0,"Silver Spring, Md. / Montgomery Blair",Notre Dame College,,,
2,,1.0,Tosin Oyekanmi,Gr.,WR,6-0,185.0,"Far Rockaway, N.Y. / Christ the King",ASA College,,,
3,,2.0,Davon Wells,Jr.,WR,5-10,170.0,"Kissimmee, Fla. / Osceola",The Citadel,,,
4,,3.0,Pat Bowen,So.,RB,5-9,190.0,"Fort Lauderdale, Fla. / Dillard",Independence CC,,,
5,,3.0,Tariq Snead,Sr.,DB,5-10,175.0,"Sicklerville, N.J. / Timber Creek Regional",,,,
6,,4.0,Jonathan DeBique,Gr.,RB,6-0,215.0,"Baldwin, N.Y. / Baldwin",,,,
7,,5.0,Michael Love,Jr.,WR,5-9,170.0,"Chicago, Ill. / Nazareth Academy",Iowa Western CC,,,
8,,5.0,Rudy Silvera,R-So.,DB,6-1,200.0,"Brooklyn, N.Y. / Christ the King",,,,
9,,6.0,Jaden Dawkins,So.,OLB,6-0,215.0,"Stamford, Conn. / Trinity-Pawling",,,,
10,,6.0,Maurice Smith,Fr.,QB,6-2,210.0,"Fort Pierce, Fla. / Vero Beach",,,,
11,,7.0,Larry Elder,So.,DB,6-0,195.0,"Richmond, Va. / Fork Union Military Academy",,,,
12,,7.0,Shemar Paul,R-So.,RB,5-10,180.0,"Miami, Fla. / Booker T. Washington",,,,
13,,8.0,Twan Massie,R-So.,DB,5-10,175.0,"Miami, Fla. / Miami Northwestern",UAB,,,
14,,8.0,Drew Person,Fr.,QB,6-4,190.0,"Exton, Pa. / Downingtown East",,,,
15,,9.0,Daniel Hernandez,Fr.,WR,6-0,200.0,"Bloomfield, N.J. / Saint Joseph Regional",,,,
16,,9.0,Orin Ormsby,R-Jr.,DL,6-4,235.0,"Queens Village, N.Y. / Episcopal",Monroe College,,,
17,,10.0,Naman Alemada,R-Fr.,QB,6-6,235.0,"South Fayette, Pa. / South Fayette",,,,
18,,10.0,Dom Barbuto,R-So.,LB,6-2,220.0,"Lynbrook, N.Y / Lynbrook",,,,
19,,11.0,Victor Nelson Jr.,R-So.,DB,6-4,209.0,"Gainsville, Fla. / Buchholz",,,,
20,,11.0,Luca Stanzani,Fr.,QB,5-11,180.0,"Clearwater, Fla. / Clearwater Academy International",,,,
21,,12.0,Derek Green,Gr.,QB,6-4,215.0,"Leawood, Kansas / Rockhurst",SMU,,,
22,,12.0,Leisaan Hibbert,R-Fr.,RB,6-0,185.0,"Melville, N.Y. / Half Hollow Hills East",,,,
23,,13.0,Quincy McDuffie,R-Fr.,WR,6-3,202.0,"Brooklyn, N.Y. / Abraham Lincoln",,,,
24,,14.0,Jai Roe,Jr.,DB,6-0,193.0,"Riverside, Calif. / Notre Dame",San Bernardino Valley,,,
25,,15.0,Derrick Edafe,R-So.,S,6-1,190.0,"Staten Island, N.Y. / Susan E. Wagner",,,,
26,,15.0,Aaron Ruthman,Gr.,QB,5-10,189.0,"Valley Stream, N.Y. / Elmont Memorial",St. Lawrence,,,
27,,16.0,Caleb Caslow,Jr.,LB,6-2,215.0,"Altamonte Springs, Fla. / Lake Brantley",,,,
28,,16.0,Steven Rivera,So.,RB,5-10,173.0,"Worcester, Mass. / Worcester Tech",New Haven,,,
29,,17.0,Zach Rhodes,R-So.,WR,6-1,185.0,"St. Augustine, Fla. / Bartram Trail",,,,
30,,18.0,Anthony Gambino,R-So.,TE,6-2,206.0,"Manorville, N.Y. / Eastport-South Manor",,,,
31,,19.0,Nick Carrick,Fr.,QB,6-1,195.0,"Pittsburgh, Pa. / AHOP Christian Academy",,,,
32,,19.0,Noah Rattmer,R-Fr.,QB,6-1,220.0,"Medford, N.Y. / Longwood",,,,
33,,19.0,Daniel Vavilchenkov,R-So.,WR,6-1,195.0,"Staten Island, N.Y. / Tottenville",,,,
34,,20.0,Rafael Fasolino,So.,FS,6-2,188.0,"Montrose, N.Y. / Archbishop Stepinac",,,,
35,,21.0,Jake DeFranco,Fr.,WR,5-9,180.0,"Hillsborough, N.C. / Orange",UNC Charlotte,,,
36,,21.0,Sean Kelly,Jr.,LB,6-1,205.0,"Brick, N.J. / DePaul Catholic",,,,
37,,22.0,Ayinde Johnson,R-Fr.,DB,6-0,192.0,"Danbury, Conn. / Capital Prep Harbor",,,,
38,,23.0,Javal Staton,Jr.,DB,6-5,195.0,"Central Islip, N.Y. / Central Islip Senior",,,,
39,,24.0,Caleb Nartey,R-Fr.,CB,5-10,175.0,"Hammonton, N.J. / Hammonton",,,,
40,,25.0,Imeer Johnson,So.,LB,6-0,227.0,"Neptune, N.J. / Central Regional",,,,
41,,26.0,DeMarquez Trotter,Gr.,DB,5-11,195.0,"Nashville, Tenn. / East Nashville Magnet",Western Kentucky,,,
42,,27.0,Mike Destin,Jr.,DB,5-11,188.0,"Elmont, N.Y. / New Hyde Park Memorial",,,,
43,,28.0,Amir Bryant,R-Fr.,CB,6-2,185.0,"Stroudsburg, Pa. / Stroudsburg",,,,
44,,29.0,Brendan Didier,R-So.,DB,5-11,170.0,"North Babylon, N.Y. / North Babylon",,,,
45,,30.0,Antwan Spencer,Sr.,DB,6-1,215.0,"Phillipsburg, N.J. / Plainfield",Valley Forge Military Academy,,,
46,,31.0,Alain Paul,So.,RB,5-9,185.0,"Stamford, Conn. / Stamford",,,,
47,,32.0,Qualil Lumpkins,R-So.,LB,6-0,210.0,"Rahway, N.J. / Rahway",,,,
48,,33.0,Darious Goodloe,So.,CB,6-1,177.0,"Denton, Texas / Guyer",,,,
49,,34.0,Kevin Wilson,R-So.,RB,6-1,220.0,"Farmingdale, N.Y. / Farmingdale",,,,
50,,35.0,Christian Gonzalez,R-Fr.,DB,5-11,195.0,"Hollywood, Fla. / St. Thomas Aquinas",,,,
51,,36.0,Reese Dykstra,R-Fr.,TE,6-3,230.0,"Worthington, Ohio / Thomas Worthington",,,,
52,,37.0,Dimere Smith,Fr.,DB/S,5-11,180.0,"New Brunswick, N.J. / South River",,,,
53,,38.0,Jalin Butler,Fr.,S,6-2,208.0,"Toms River, N.J. / Donovan Catholic",,,,
