,Statistic,No.,Full Name,Pos.,Ht.,Wt.,Class,Hometown,High School,Previous School,Image,Name,Title
45,,40.0,Cohen Barrilleaux,OL,6-2,260.0,R-Fr.,"Ponchatoula, La.",Ponchatoula,,,,
46,,40.0,William Bryant,K/P,5-9,170.0,R-Fr.,"Destrehan, La.",Destrehan,,,,
47,,43.0,Nathan Hebb,TE,6-2,225.0,Jr.,"Morgan City, La.",Central Catholic,,,,
48,,44.0,Eli Ennis,LB,6-2,205.0,So.,"Ohatchee, Ala.",Ohatchee,,,,
49,,45.0,Alex Villavaso,DL,6-0,220.0,So.,"Houma, La.",Vandebilt Catholic,,,,
50,,46.0,Gavin Lasseigne,K,5-11,190.0,Sr.,"Raceland, La.",Central Lafourche,,,,
51,,47.0,Braydon Johnson,LB,6-1,215.0,R-Fr.,"Ponchatoula, La.",Ponchatoula,,,,
52,,48.0,Hayden Asprion,P,5-11,155.0,R-Fr.,"Ponchatoula, La.",St. Thomas Aquinas,,,,
53,,48.0,Luke Ydarraga,DL,6-3,230.0,R-Fr.,"Watson, La.",Live Oak,Arkansas State,,,
54,,49.0,Jacob Parker,TE,5-11,220.0,Sr.,"New Orleans, La.",Warren Easton,,,,
55,,50.0,Jackson McFarland,LS,5-10,205.0,R-So.,"Winnfield, La.",Winnfield,,,,
56,,51.0,Joe Mason,DL,6-3,235.0,Jr.,"Shreveport, La.",Green Oaks,Louisiana Tech,,,
57,,52.0,Kaiden Jones,LB,6-0,215.0,So.,"St. Rose, La.",St. Charles Catholic,,,,
58,,53.0,Jake Newchurch,LB,6-0,205.0,R-Fr.,"Thibodaux, La.",E.D. White,Arkansas Monticello,,,
59,,54.0,Marcus Dickey,DL,6-3,245.0,R-Fr.,"Biloxi, Miss.",Biloxi,,,,
60,,56.0,Rasheed Lovelace,DL,6-3,285.0,R-Fr.,"Pensacola, Fla.",Pine Forest,,,,
61,,57.0,Hayden Cormier,LB,6-1,210.0,R-Fr.,"Lafayette, La.",Ascension Episcopal,,,,
62,,57.0,Jeremiah James,OL,6-2,290.0,Sr.,"New Orleans, La.",De La Salle,,,,
63,,58.0,Kylin White,LB,6-0,230.0,R-So.,"Boutte, La.",John Curtis,,,,
64,,59.0,Lance Rockwood Jr.,LB,6-1,240.0,Jr.,"Houma, La.",Ellender,ULM,,,
65,,60.0,Jordan Aaron,OL,6-2,290.0,Jr.,"Columbia, Miss.",Columbia,Pearl River CC,,,
66,,61.0,Moses Clark,DL,5-9,300.0,R-Fr.,"LaPlace, La.",St. Charles Catholic,,,,
67,,61.0,Reed Lambert,OL,6-4,235.0,Jr.,"New Roads, La.",Catholic of Pointe Coupee,,,,
68,,62.0,Seth Trahan,OL,6-2,280.0,R-So.,"Houma, La.",Vandebilt Catholic,,,,
69,,65.0,Christian Mannino,DL,6-2,285.0,R-So.,"Baton Rouge, La.",Catholic,,,,
70,,66.0,Sameij Scott,OL,6-2,275.0,R-Fr.,"Convent, La.",Lutcher,,,,
71,,67.0,Owen Melville,OL,6-2,285.0,Jr.,"New Orleans, La.",Jesuit,,,,
72,,68.0,Robbie Pizzolato,OL,6-4,320.0,R-So.,"Metairie, La.",John Curtis,Tyler JC,,,
73,,69.0,Ty Quibodeaux,OL,6-0,275.0,R-Fr.,"Prairieville, La.",Dutchtown,Arkansas Monticello,,,
74,,71.0,Evan Roussel,OL,6-2,290.0,Jr.,"Lutcher, La.",St. Charles Catholic,,,,
75,,72.0,Cohen Troxclair,OL,6-2,246.0,R-Fr.,"Ponchatoula, La.",Ponchatoula,,,,
76,,73.0,Colby Orgeron,OL,6-5,280.0,Jr.,"New Orleans, La.",John Curtis,Highland CC,,,
77,,74.0,DeAndre' Keller,OL,6-3,270.0,Jr.,"Vacherie, La.",St. James,,,,
78,,75.0,Mark Barthelemy,OL,6-4,310.0,Sr.,"Opelousas, La.",Opelousas,Tyler JC,,,
79,,76.0,Ryan Bernard,OL,6-2,275.0,R-Fr.,"Mandeville, La.",Lakeshore,,,,
80,,78.0,Jaden Ben,OL,6-4,285.0,Jr.,"Violet, La.",Chalmette,,,,
81,,79.0,Cru Blanchard,OL,6-1,345.0,R-So.,"Napoleonville, La.",Assumption,,,,
82,,80.0,Scrappy Osby,WR,5-11,180.0,R-Fr.,"Ponchatoula, La.",Ponchatoula,,,,
83,,81.0,Treylin Whaley,WR,6-5,195.0,R-Fr.,"Glynn, La.",Livonia,,,,
84,,82.0,Brandon Hubicz,TE,6-3,210.0,Jr.,"Baton Rouge, La.",Catholic,LSU,,,
85,,83.0,Dany’e Brooks,WR,5-11,180.0,R-So.,"New Orleans, La.",Edna Karr,,,,
86,,84.0,Navell Chopin,WR,6-3,195.0,Jr.,"Gonzales, La.",East Ascension,HBU,,,
87,,86.0,Tyren Montgomery,WR,6-1,185.0,Jr.,"Spring, Texas",The Woodlands College Park,Lonestar College,,,
88,,88.0,Connor Venitis,TE,6-5,,Jr.,"Lafayette, La.",Southside,Lamar,,,
89,,89.0,Logan Wilcox,TE,6-3,245.0,Jr.,"Raceland, La.",Central Lafourche,,,,
90,,91.0,Zack Bernard,DL,6-1,265.0,Jr.,"Mandeville, La.",Lakeshore,,,,
91,,94.0,Nick Williams,DL,6-2,290.0,R-Fr.,"Baton Rouge, La.",University,,,,
92,,95.0,Dillion Davis,DL,6-2,270.0,Jr.,"Donaldsonville, La.",Ascension Catholic,,,,
93,,97.0,Dane Whalen,DL,5-10,280.0,Jr.,"Osage City, Kan.",Osage City,Highland CC,,,
94,,98.0,Perry Ganci,DL,6-2,260.0,Sr.,"New Orleans, La.",Jesuit,,,,
95,,99.0,JaQuan Fank,DL,6-2,220.0,R-Fr.,"Pensacola, Fla.",Pine Forest,,,,
0,,,,,,,,,,,,Tim Rebowe,Head Coach
1,,,,,,,,,,,,Rob Christophel,Offensive Coordinator
2,,,,,,,,,,,,Tommy Rybacki,Defensive Coordinator
3,,,,,,,,,,,,Toren Joseph,Safeties
4,,,,,,,,,,,,Tylan Martin,Running Backs
5,,,,,,,,,,,,Darion Monroe,Cornerbacks
6,,,,,,,,,,,,Sean Murphy,Wide Receivers
7,,,,,,,,,,,,Kyle Skierski,Offensive Line
8,,,,,,,,,,,,Brian Wallace,Special Teams Coordinator and Defensive Line
9,,,,,,,,,,,,Stone Paul,Special Teams/Defensive Analyst
10,,,,,,,,,,,,Andrew Neupert,Tight Ends
0,,,,,,,,,,,,Katie Callahan,Director of Operations
