,Statistic,#,Full Name,Pos.,Ht.,Wt.,Cl.,Hometown / High School,Previous School,Image,Name,Title
50,,36.0,Daniel Fahmy,DB,6-0,215.0,Fr.,"Clarksville, Md. / River Hill H.S.",,,,
51,,37.0,Myles Brodie,DB,6-2,175.0,Jr.,"Hyattsville, Md. / Northwestern H.S.",Alvernia University,,,
52,,38.0,Xavier Terry,DB,5-10,190.0,R-Fr.,"Washington, D.C. / St. John's College (H.S.)",,,,
53,,39.0,RJ Chapman,DB,6-0,180.0,Fr.,"Clinton, Md. / Rock Creek Christian Academy",,,,
54,,40.0,Amir Murray,LB,5-11,225.0,R-Sr.,"Willingboro, N.J. / Willingboro H.S.",Eastern New Mexico University,,,
55,,41.0,Ethan MacNair,LB,6-0,220.0,Fr.,"Somerville, N.J. / Somerville H.S.",,,,
56,,42.0,Dion Crews-Harris,RB,6-0,240.0,R-So.,"Baltimore, Md. / Dunbar H.S.",,,,
57,,43.0,Sam Alsheimer,LB,6-2,225.0,R-Jr.,"Dayton, Md. / Glenelg H.S.",,,,
58,,44.0,Ryan Kearney,LB,6-1,230.0,R-Sr.,"Ellicott City, Md. / Howard H.S.",,,,
59,,45.0,Brockman Wallace II,TE,6-2,255.0,R-Jr.,"Marshall, Va. / St. Vincent Pallotti H.S.",,,,
60,,47.0,Jared Rogers,LB,5-9,180.0,R-Jr.,"Fort Meade, Md. / Meade H.S.",,,,
61,,51.0,Keith Bagwell,LB,6-0,220.0,Fr.,"Baltimore, Md. / Baltimore Polytechnic Institute",,,,
62,,52.0,Jamal Jones,DL,6-3,235.0,R-So.,"Upper Marlboro, Md. / Riverdale Baptist/East Coast Prep",Virginia Union University,,,
63,,53.0,Ralph Paige Jr.,OL,6-3,305.0,R-So.,"Washington, D.C. / Bishop McNamara H.S.",Merrimack College,,,
64,,54.0,Cole Cheripko,OL,6-4,300.0,Gr.,"Darnestown, Md. / Northwest H.S.",,,,
65,,55.0,Mason Woods,LB,6-0,220.0,R-Fr.,"Woodbridge, Va. / Gar-Field H.S.",,,,
66,,56.0,Connor Maloney,LB,6-2,215.0,R-Fr.,"Columbia, Md. / St. Vincent Pallotti H.S.",,,,
67,,57.0,Onaje Lewis,LB,6-0,220.0,R-So.,"Bowie, Md. / Bowie H.S.",West Liberty University,,,
68,,58.0,Bryce Lauer,DL,6-3,275.0,R-Sr.,"Murrysville, Pa. / Franklin Regional H.S.",,,,
69,,59.0,Blake White,LB,6-2,205.0,Fr.,"Cumberland, Md. / Fort Hill H.S.",,,,
70,,61.0,Mathias Adjingbaruk,OL,6-3,325.0,R-Fr.,"Silver Spring, Md. / Northwood H.S.",,,,
71,,62.0,William Sadberry,OL,6-2,260.0,Fr.,"Salisbury, Md. / Parkside H.S.",,,,
72,,63.0,Dane Roper,OL,6-3,325.0,So.,"Huntingtown, Md. / Huntingtown H.S.",,,,
73,,64.0,Joden Nelson,OL,6-4,280.0,Fr.,"York, Pa. / William Penn-York H.S.",,,,
74,,65.0,Mason Cholewa,DL,6-7,305.0,Gr.,"Pittsburgh, Pa. / Montour H.S.",University of Central Florida,,,
75,,66.0,Dan Volpe,OL,6-6,305.0,Fr.,"Colts Neck, N.J. / Colts Neck H.S.",,,,
76,,68.0,Kevin Gaston,OL,6-5,290.0,Fr.,"Vienna, Va. / Madison H.S.",,,,
