,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown,High School,Image,Name,Title
0,,0.0,Tristan Marois,DE,6-6,210.0,Jr.,"Saint-Bruno, Quebec",Clearwater Academy (Fla.),,,
1,,1.0,Jamar Shegog,LB,6-2,230.0,R-Sr.,"Pittsburgh, Pa.",Seton LaSalle,,,
2,,2.0,Julian Jordan,WR,6-1,220.0,Sr.,"Harrisburg, Pa.",Bishop McDevitt,,,
3,,3.0,"Robert Carter, Jr.",DB,5-10,175.0,So.,"Ringgold, Va.",Dan River,,,
4,,4.0,Kimon O'Sullivan,RB,5-11,178.0,Jr.,"Washington, D.C.",Oxon Hill,,,
5,,5.0,Trenell Ridgley,WR,5-9,180.0,Jr.,"Santa Fe Springs, Calif.",St. Paul,,,
6,,6.0,Cosey Scarebrook,S,6-0,185.0,So.,"Madison, Ala.",Bob Jones,,,
7,,7.0,Dakarai Cabell,DB,6-1,190.0,Sr.,"Fort Lauderdale, Fla.",Dillard,,,
8,,8.0,James Westry,WR,5-9,170.0,R-Jr.,"Newark, N.J.",Hillside,,,
9,,8.0,Gregory Young II,DB,5-11,170.0,Gr.,"Clinton, Md.",Suitland,,,
10,,9.0,DJ Moyer,TE,5-8,192.0,R-So.,"Winston-Salem, N.C.",Reagan,,,
11,,10.0,Britton Pascoe,DB,5-10,190.0,Jr.,"Progess Village, Fla.",Bloomingdale,,,
12,,11.0,Andre Cooper II,WR,6-5,205.0,R-Jr.,"Orlando, Fla.",Lake Nona,,,
13,,12.0,Joe Casale,LB,6-2,230.0,R-Sr.,"Troy, N.Y.",Troy,,,
14,,13.0,William Barber,DB,5-11,190.0,Jr.,"West Chester, Ohio",Lakota West,,,
15,,14.0,Noah Robinson,WR,6-3,190.0,R-So.,"Mineral, Va.",Louisa County,,,
16,,15.0,Dee Pierce,S,6-0,205.0,R-So.,"Chicago, Ill.",Phillips Academy,,,
17,,16.0,Anthony Chiccitt,QB,6-2,185.0,Sr.,"Bethel Park, Pa.",Bethel Park,,,
18,,17.0,Zach Tanner,QB,6-2,180.0,So.,"Winter Haven, Fla.",Auburndale,,,
19,,18.0,Tyler Szalkowski,QB,6-2,225.0,R-So.,"Rochester, N.Y.",Aquinas Institute,,,
20,,19.0,Day Day Jones,WR,5-10,188.0,Sr.,"Lancaster, Calif.",Quartz Hill,,,
