,Statistic,No.,Photo,Name,Yr.,Pos.,Ht.,Wt.,Hometown / High School,Previous School,Image,Title
0,,0,,Quantez Mansfield,Jr.,DL,6-2,295.0,"Greensboro, N.C. / Southeast Guilford HS",,,
1,,1,,Andrew Smith,So.,WR,6-1,200.0,"Cary, N.C. / Cary HS",,,
2,,2,,Brandon Codrington,Jr.,DB,5-9,180.0,"Raleigh, N.C. / Broughton HS",,,
3,,3,,Walker Harris,So.,QB,6-0,180.0,"Rolesville, N.C. / Heritage HS",,,
4,,4,,E.J. Hicks,R-Sr.,WR,5-11,180.0,"Rolesville, N.C. / Rolesville HS",,,
5,,5,,Latrell Collier,R-Jr.,RB,5-10,200.0,"Bluefield, W.Va. / Bluefield HS",Marshall Univ.,,
6,,6,,Omari Smith,R-Fr.,QB,6-1,175.0,"Durham, N.C. / Southern HS",,,
7,,6b,,Treveyon Pratt,Sr.,WR,6-1,195.0,"High Point, N.C. / Ragsdale HS",Savannah State Univ.,,
8,,7,,JaJuan Hudson,Jr.,DB,5-10,175.0,"Camden, N.J. / Camden HS",Bowling Green State Univ.,,
9,,8,,Tamaurice Smith,R-Sr.,DB,5-9,185.0,"Mobile, Ala. / St. Paul's HS",Southern University,,
10,,9,,Marvin Reed,So.,DB,6-1,170.0,"Richmond, Va. / Life Christian Academy",,,
11,,11,,Davius Richard,Jr.,QB,6-3,215.0,"Belle Glade, Fla. / Glades Central HS",,,
12,,12,,Quentin McCall,So.,WR,6-4,195.0,"Charlotte, N.C. / Ardrey Kell HS",,,
13,,13,,Quest Powell,R-Fr.,QB,6-2,195.0,"Woodbridge, Va. / Freedom HS",,,
14,,14,,Arin Mannery,R-Sr.,DB,6-0,170.0,"Riverside, Calif. / San Jacinto HS",Portland State Univ.,,
15,,15,,Matthew Leavelle,R-So.,DL,6-4,235.0,"Williamston, N.C. / Riverside HS",,,
16,,16,,Makai McCall,R-Fr.,DB,6-4,195.0,"Snellville, Ga. / Shiloh HS",Univ. of Virginia-Wise,,
17,,17,,Kole Jones,So.,DB,5-10,190.0,"Chesapeake, Va. / Oscar Smith HS",,,
18,,17b,,Donovan Cartwright,R-Fr.,QB,6-2,190.0,"Wilmington, Del. / Howard HS of Technology",,,
19,,18,,OrTre' Smith,R-Sr.,WR,6-4,225.0,"Mount Pleasant, S.C. / Wando HS",University of South Carolina,,
20,,19,,Justin Nicholson,R-Sr.,DB,6-0,195.0,"Concord, N.C. / Concord HS",,,
21,,19b,,Saquan Gordon,Fr.,QB,6-0,180.0,"Queens, N.Y. / Irvington HS",,,
22,,20,,Khalil Baker,Jr.,DB,6-0,185.0,"Winston-Salem, N.C. / East Forsyth HS",,,
23,,21,,Josh Pullen,R-So.,RB,6-1,225.0,"Rolesville, N.C. / Rolesville HS",Fort Scott CC,,
24,,22,,Devin Smith,So.,WR,5-10,185.0,"Durham, N.C. / Riverside HS",,,
25,,23,,Manny Smith,R-Jr.,DB,6-0,195.0,"Laurel Hill, N.C. / Scotland HS",,,
26,,24,,Romeo Stancil,R-Jr.,DB,6-1,175.0,"Clayton, N.C. / Clayton HS",,,
27,,24b,,Myles Wallace,R-So.,RB,5-8,180.0,"Waxhaw, N.C. / Cuthbertson HS",,,
28,,25,,Twan Anderson,Fr.,LB,6-1,235.0,"Fayetteville, N.C. / Westover HS",,,
29,,26,,Twan Flip Jr.,R-Fr.,WR,5-8,160.0,"Charlotte, N.C. / Myers Park HS",,,
30,,27,,Colby Warrior,R-Sr.,DL,6-2,245.0,"Fayetteville, Ga. / Sandy Creek HS",Morgan State Univ.,,
31,,28,,Jason Chambers,Fr.,DB,6-0,185.0,"Charlotte, N.C. / Butler HS",,,
32,,29,,Jared Stephens,Fr.,DB,5-9,160.0,"Atlanta, Ga. / Westlake HS",,,
