,Statistic,#,Name,Pos.,HT.,WT.,Year,Hometown/Previous School,Image,Title
0,,3,Ja'Len Morrison,DB,5-11,150.0,R-Fr.,"Manassas, Va. / Unity Reed HS",,
1,,4,Otto Kuhns,QB,6-3,194.0,Jr.,"Columbus, Ohio / Eastern Illinois",,
2,,7,Tayvion Land,DB,5-8,180.0,R-Jr.,"Virginia Beach, Va. / Liberty",,
3,,8,Kyler Davis,QB,6-1,206.0,R-So.,"Fayetteville, N.C. / Fork Union Military Academy / Seventy-First HS",,
4,,8,Izayah Whiteside,QB,6-2,164.0,R-Fr.,"Columbia, S.C. / Irmo HS",,
5,,10,Tremayne Talbert,WR,5-8,183.0,R-Sr.,"Richmond, Va. / Highland Springs HS",,
6,,13,Kevon King,RB,5-11,200.0,So.,"Chesapeake, Va. / Oscar Smith HS",,
7,,15,J.J. Davis,RB,5-9,172.0,R-Jr.,"Cincinnati, Ohio / Cincinnati",,
8,,16,Christian Ruffin,DB,5-11,180.0,Jr.,"Raleigh, N.C. / Southeast Raleigh HS",,
9,,17,Joseph White,DB,6-1,174.0,Gr.,"Virginia Beach, Va. / Virginia",,
10,,19,Jay Carney III,QB,5-11,215.0,R-Fr.,"Richmond, Va. / Hermitage HS",,
11,,19,Daylan Long,LB,5-11,190.0,R-So.,"Cincinnati, Ohio / Miami (Ohio",,
12,,20,Jason Wonodi,WR,5-11,161.0,So.,"Brockton, Mass. / Brockton HS",,
13,,21,Devon Allen,DB,6-0,177.0,Jr.,"Virginia Beach, Va. / Ocean Lakes HS",,
14,,22,Cameron Foreman,DB,6-2,183.0,R-Jr.,"Mechanicsville, Va. / Fork Union Military Academy / Atlee HS",,
15,,23,Ricky Harleston,DB,5-10,195.0,R-Jr.,"Virginia Beach, Va. / James Madison",,
16,,24,Chris Butler,WR,5-11,200.0,R-Jr.,"Glen Allen, Va. / Glen Allen HS",,
17,,25,Collis Pride,WR,6-2,180.0,R-Jr.,"Dinwiddie, Va. / Bluefield State",,
18,,27,Jordin Lennon,RB,5-10,211.0,So.,"Yorktown, Va. / York HS",,
19,,28,R.J. Coles,DB,5-10,193.0,R-Jr.,"Richmond, Va. / Varina HS",,
20,,30,Noah Spencer,DB,6-3,208.0,R-Jr.,"Virginia Beach, Va. / Old Dominio",,
21,,31,Christian Parham,DB,6-0,179.0,R-Fr.,"Virginia Beach, Va. / Green Run HS",,
22,,32,Lex Henry,RB,5-8,189.0,Jr.,"Virginia Beach, Va. / Salem HS",,
23,,34,Kameron Lewis,DB,6-0,194.0,R-So.,"Woodbridge, Va. / Forest Park HS",,
24,,35,Jamarei Ashby-Phan,WR,5-8,170.0,R-Fr.,"Phoenix, Ariz. / Chaparral HS",,
25,,36,Emile Sancho,DB,6-0,164.0,R-Fr.,"Ocala, Fla. / Vanguard HS",,
26,,37,Kaleb Broadbent,DB,5-11,196.0,So.,"Chesapeake, Va. / Western Branch HS",,
27,,38,Nyamusa Njoka,DB,5-10,181.0,R-Jr.,"Silver Spring, Md. / Paint Branch HS",,
28,,40,D.J. James III,RB,5-8,170.0,R-Fr.,"Virginia Beach, Va. / Ocean Lakes HS",,
29,,40,Isaiah Stevens,DB,5-9,166.0,R-Fr.,"Stafford, Va. / North Stafford HS",,
30,,41,Jayden Smith,DB,6-1,178.0,Jr.,"Woodbridge, Va. / Freedom HS",,
31,,44,Jaylen White,RB,5-10,185.0,R-So.,"Hampton, Va. / Phoebus HS",,
32,,45,Toby Willis,LS,6-3,211.0,So.,"Lancaster, S.C. / Lancaster HS",,
33,,47,Zion Porter-Ervin,WR,5-9,170.0,R-Fr.,"Hampton, Va. / Phoebus HS",,
34,,48,Sage Beuchert-Irvine,DL,6-3,244.0,R-Jr.,"Reston, Va. / South Lakes HS",,
35,,49,Michael Vinson,LB,6-2,240.0,So.,"Baltimore, Md. / St. Frances Academy",,
36,,50,Marvin Dozier,LS,6-0,225.0,R-Fr.,"Lake Worth, Fla. / Park Vista Community",,
37,,51,Marcus Triggs,LB,5-11,209.0,R-Fr.,"Hampton, Va. / Hampton HS",,
38,,52,Anthony Blume,DL,6-1,268.0,R-Jr.,"Edgewood, Md. / Edgewood HS",,
39,,53,Javari Rice-Wilson,DL,5-11,251.0,Jr.,"Kings Mountain, N.C. / Fordham",,
40,,54,Javontay Martin,LB,6-3,181.0,So.,"Virginia Beach, Va. / Bayside HS",,
41,,55,Baron Franks II,OL,6-5,264.0,R-So.,"Greenville, S.C. / Greenville Sr. HS",,
42,,56,Marquis Hall,LB,6-3,230.0,Gr.,"Woodbridge, Va. / Potomac Senior HS",,
43,,57,Jalen Swindell,DL,6-2,308.0,R-Fr.,"Charlotte, N.C. / Wake Forest",,
44,,58,Jonathan Hall,LB,6-2,212.0,Gr.,"Courtland, Va. / Old Dominion",,
45,,59,Javoni Hales,LB,5-11,238.0,R-So.,"Newport News, Va. / Menchville HS",,
46,,60,Dyral McMillan,OL,6-2,284.0,R-So.,"Charlotte, N.C. / Jireh Prep",,
47,,61,Grandin Willcox,K/P,5-11,220.0,So.,"Ocala, Fla. / Vanguard HS",,
48,,62,Jaden Bryant,OL,6-4,389.0,R-Fr.,"Norfolk, Va. / Norview HS",,
49,,63,Chris Jones,OL,5-7,320.0,R-So.,"Windsor, Va. / Windsor HS",,
50,,65,Michael Tamakloe,OL,6-2,276.0,R-Fr.,"Virginia Beach, Va. / Kempsville HS",,
51,,66,Vincent Byrd Jr.,OL,6-3,306.0,So.,"Stafford, Va. / Colonial Forge HS",,
52,,67,Garrison Wheatley,OL,6-4,361.0,Jr.,"Johns Island, S.C. / Hocking College",,
53,,68,Julian Soriano,OL,6-6,283.0,R-So.,"Suffolk, Va. / Emory & Henry",,
54,,75,Evan Gregory,OL,6-4,308.0,R-Sr.,"Brandywine, Md. / Maryland",,
55,,83,Clifton Davis,WR,6-2,179.0,R-Fr.,"Atlanta, Ga. / North Stafford HS",,
56,,84,Tavian Morris,WR,6-0,180.0,R-So.,"Prince George, Va. / Prince George HS",,
57,,85,Jayden Hargett,DL,6-4,221.0,R-Fr.,"Norfolk, Va. / Maury HS",,
58,,87,Lukai Hatcher,WR,6-2,170.0,R-So.,"Arlington, Va. / Wakefield HS",,
59,,88,Ikeem Wright,TE,6-1,244.0,R-So.,"Norfolk, Va. / Lake Taylor HS",,
60,,89,Michael Curry,TE,6-2,198.0,R-Fr.,"Brockton, Mass. / Brockton HS",,
61,,91,Isaiah Stephens,TE,6-2,259.0,R-Fr.,"Emporia, Va. / Greensville County HS",,
62,,91,Carson Wilt,K/P,5-8,186.0,R-So.,"Lake Worth, Fla. / Southern",,
63,,92,Cameron Curry,DL,6-5,217.0,R-Fr.,"Chantilly, Va. / Chantilly HS",,
64,,93,Jaylen Williams,DL,6-5,227.0,R-Fr.,"Ocala, Fla. / Vanguard HS",,
65,,94,Tyler Johnson,DL,6-5,251.0,R-So.,"Glen Allen, Va. / Glenville State",,
66,,95,Levontae Jacobs,DL,6-3,285.0,R-So.,"Salisbury, N.C. / West Rowan HS",,
67,,96,Matthieu Watts,DL,6-4,212.0,R-So.,"Hampton, Va. / Phoebus HS",,
68,,97,Jordyn Heath,DL,5-11,246.0,R-So.,"Gardena, Calif. / Junipero Serra HS",,
69,,98,Shamar Hill,DL,6-0,226.0,R-Jr.,"Kissimmee, Fla. / Orlando Christian",,
70,,,Chris Adotey,QB,5-11,170.0,R-Fr.,"Silver Spring, Md. / Bowie State",,
