,Statistic,#,Full Name,Pos.,Academic Year,Ht.,Wt.,Hometown,High School,Previous School,Image,Name,Title
6,,,,,,,,,,,,Mike Johnson,Assistant Coach - DBs
7,,,,,,,,,,,,Marc Yellock,Assistant Coach - DL
8,,,,,,,,,,,,Ryan Nehlen,Assistant Coach - TE
9,,,,,,,,,,,,Marco Sanchez,Defensive Assistant
10,,,,,,,,,,,,Chris St. John,Defense Quality Control
11,,,,,,,,,,,,Ty Hinson,Offense Quality Control
0,,,,,,,,,,,,Kelsey Curry,Director of Football Operations
1,,,,,,,,,,,,Sam Pruet,Head Equipment Manager/Asst. DFO
2,,,,,,,,,,,,Raymond Donovan,Video Coordinator
3,,,,,,,,,,,,Hunter Martin,Assistant AD for Sports Medicine
4,,,,,,,,,,,,Hannah Hampton,Assistant Athletic Trainer (Football)
5,,,,,,,,,,,,Luke Cody,Assistant Athletic Trainer (Football)
6,,,,,,,,,,,,Laurryn Benton,Student Manager
7,,,,,,,,,,,,Matthew Bonnette,Associate AD for Communications and Digital Media
8,,,,,,,,,,,,Megan Soileau,Director of Student Athlete Services
