,Statistic,#,Name,Cl.,Pos.,Ht.,Wt.,Hometown / Last School,Transfer,Image,Title
104,,86.0,Riley Lisgar,Fr.,WR,5-8,170.0,"Swedesboro, N.J. / St. Augustine Prep",,,
105,,88.0,Quan Easterling,Gr.,TE,6-3,230.0,"Akron, Ohio / Archbishop Hoban",Wisconsin,,
106,,90.0,Jay Vance,Sr.,DL,6-2,245.0,"Fresno, Calif. / Edison",Reedley College,,
107,,91.0,Brian Bruzdewicz,Jr.,K/P,6-1,180.0,"McMurray, Pa. / Peters Township",,,
108,,92.0,Nicolas Gutierrez,So.,K/P,6-2,260.0,"Mexico City, Mexico / Tec de Monterrey",,,
109,,93.0,Colin Scharritter,Fr.,DL,6-1,250.0,"White Oak, Pa. / McKeesport",,,
110,,94.0,Maxi Hradecny,Sr.,DL,6-2,315.0,"Vienna, Austria / Evangelisches Gymnasium",,,
111,,97.0,Kevin Kurzinger,So.,DL,6-2,255.0,"State College, Pa. / State College Area",,,
112,,99.0,Logan Clark,So.,DL,6-3,260.0,"McMurray, Pa. / Peters Township",,,
0,,,Jerry Schmitt,,,,,,,,Head Coach
1,,,Anthony Doria,,,,,,,,Offensive Coordinator/Quarterbacks
2,,,Mike Craig,,,,,,,,Defensive Coordinator
3,,,Scott Farison,,,,,,,,Co-Defensive Coordinator/Inside Linebackers
4,,,Kory Gribbin,,,,,,,,Special Teams Coordinator/Safeties/Recruiting Coordinator
5,,,Luke Smith,,,,,,,,Wide Receivers/Director of Operations
6,,,Mike Silianoff,,,,,,,,Assistant Head Coach/Offensive Line
7,,,Larry McCoy,,,,,,,,Running Backs
8,,,Hunter Geisel,,,,,,,,Tight Ends
9,,,Greg Perry,,,,,,,,Offensive Assistant
10,,,Darnel Richardson,,,,,,,,Cornerbacks
11,,,Reggie Wells Jr.,,,,,,,,Defensive Line
12,,,Mike Fuhrman,,,,,,,,Outside Linebackers
13,,,Brock Dieter,,,,,,,,Offensive Quality Control
14,,,Jacob Sakk,,,,,,,,Offensive Student Assistant
0,,,Anthony Longo,,,,,,,,Director of Sports Performance
1,,,To Be Announced,,,,,,,,Head Equipment Manager
2,,,Kate Ashcraft,,,,,,,,Athletic Trainer
3,,,Steven Labate,,,,,,,,Athletic Trainer
