Name,School,Image Source,Source Image?
Alex Washington,Boston College,https://bceagles.com/sports/football/roster/alex-washington/16830,no
Jaden Williams,Boston College,https://bceagles.com/sports/football/roster/jaden-williams/16811,no
Elijah Jones,Boston College,https://bceagles.com/sports/football/roster/elijah-jones/16772,no
Joseph Griffin Jr.,Boston College,https://bceagles.com/sports/football/roster/joseph-griffin-jr-/16760,no
Bryce Steele,Boston College,https://bceagles.com/sports/football/roster/bryce-steele/16799,no
Peter Delaportas,Boston College,https://bceagles.com/sports/football/roster/peter-delaportas/16752,no
Khari Johnson,Boston College,https://bceagles.com/sports/football/roster/khari-johnson/16821,no
Ryan O'Keefe,Boston College,https://bceagles.com/sports/football/roster/ryan-o-keefe/16823,no
Kam Arnold,Boston College,https://bceagles.com/sports/football/roster/kam-arnold/16732,no
Kye Robichaux,Boston College,https://bceagles.com/sports/football/roster/kye-robichaux/16826,no
Donovan Ezeiruaku,Boston College,https://bceagles.com/sports/football/roster/donovan-ezeiruaku/16754,no
Xavier Coleman,Boston College,https://bceagles.com/sports/football/roster/xavier-coleman/16747,no
Sione Hala,Boston College,https://bceagles.com/sports/football/roster/sione-hala/16762,no
Jaylen Blackwell,Boston College,https://bceagles.com/sports/football/roster/jaylen-blackwell/16737,no
Matthew Rueve,Boston College,https://bceagles.com/sports/football/roster/matthew-rueve/16796,no
Josiah Griffin,Boston College,https://bceagles.com/sports/football/roster/josiah-griffin/16819,no
Dante Reynolds,Boston College,https://bceagles.com/sports/football/roster/dante-reynolds/16795,no
Jalen Cheek,Boston College,https://bceagles.com/sports/football/roster/jalen-cheek/16743,no
Lewis Bond,Boston College,https://bceagles.com/sports/football/roster/lewis-bond/16738,no
Shitta Sillah,Boston College,https://bceagles.com/sports/football/roster/shitta-sillah/16798,no
Khris Banks,Boston College,https://bceagles.com/sports/football/roster/khris-banks/16733,no
Dino Tomlin,Boston College,https://bceagles.com/sports/football/roster/dino-tomlin/16806,no
Emmett Morehead,Boston College,https://bceagles.com/sports/football/roster/emmett-morehead/16789,no
Jalon Williams,Boston College,https://bceagles.com/sports/football/roster/jalon-williams/16812,no
Shawn Battle,Boston College,https://bceagles.com/sports/football/roster/shawn-battle/16817,no
Shane Hanafin,Boston College,https://bceagles.com/sports/football/roster/shane-hanafin/16763,no
Quintayvious Hutchins,Boston College,https://bceagles.com/sports/football/roster/quintayvious-hutchins/16769,no
Isaiah Farris,Boston College,https://bceagles.com/sports/football/roster/isaiah-farris/16755,no
Jacobe Robinson,Boston College,https://bceagles.com/sports/football/roster/jacobe-robinson/16825,no
Jeremiah Franklin,Boston College,https://bceagles.com/sports/football/roster/jeremiah-franklin/16756,no
Edwin Kolenge,Boston College,https://bceagles.com/sports/football/roster/edwin-kolenge/16776,no
Josh Hardy,Boston College,https://bceagles.com/sports/football/roster/josh-hardy/16764,no
Andrew Landry,Boston College,https://bceagles.com/sports/football/roster/andrew-landry/16779,no
Jack Brandon,Boston College,https://bceagles.com/sports/football/roster/jack-brandon/16740,no
Neto Okpala,Boston College,https://bceagles.com/sports/football/roster/neto-okpala/16792,no
Alex Broome,Boston College,https://bceagles.com/sports/football/roster/alex-broome/16741,no
KP Price,Boston College,https://bceagles.com/sports/football/roster/kp-price/16824,no
Cam Barfield,Boston College,https://bceagles.com/sports/football/roster/cam-barfield/16734,no
Victor Nelson,Boston College,https://bceagles.com/sports/football/roster/victor-nelson/16822,no
Cole Batson,Boston College,https://bceagles.com/sports/football/roster/cole-batson/16735,no
Pat Garwo III,Boston College,https://bceagles.com/sports/football/roster/pat-garwo-iii/16758,no
Amari Jackson,Boston College,https://bceagles.com/sports/football/roster/amari-jackson/16770,no
Andre Hines,Boston College,https://bceagles.com/sports/football/roster/andre-hines/16767,no
Jamareeh Jones,Boston College,https://bceagles.com/sports/football/roster/jamareeh-jones/16773,no
CJ Clinkscales,Boston College,https://bceagles.com/sports/football/roster/cj-clinkscales/16746,no
Daveon Crouch,Boston College,https://bceagles.com/sports/football/roster/daveon-crouch/16750,no
Carter Davis,Boston College,https://bceagles.com/sports/football/roster/carter-davis/16818,no
