,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown (Prev School),Image,Title
58,,58.0,Jude Rorke,SS,5-11,194.0,Jr.,"Williamstown, Mass. / Phillips Exeter Academy",,
59,,59.0,Damon Donalds,DL,6-2,293.0,So.,"Naples, Fla. / Community School of Naples",,
60,,60.0,Jack McCauley,OL,6-3,286.0,Sr.,"Westfield, N.J. / Westfield Senior",,
61,,61.0,Cam Nolan,OL,6-4,307.0,Fr.,"Oxford, Mass. / Saint John's",,
62,,62.0,Kevin Gillis,DL,6-2,275.0,So.,"Topsfield, Mass. / Governor's Academy",,
63,,64.0,Eric Schon,OL,6-3,311.0,Jr.,"Barrie, Ontario / St. Francis (N.Y.)",,
64,,65.0,Joe Metzger,OL,6-6,298.0,Fr.,"Franklinville, N.J. / Delsea Regional",,
65,,66.0,Noah Eldridge,OL,6-5,269.0,Fr.,"Norwell, Mass. / Xaverian Brothers",,
66,,67.0,Ben Blessing,OL,6-8,306.0,Sr.,"Havre De Grace, Md. / John Carroll",,
67,,68.0,James Schnell,DL,6-0,269.0,Sr.,"Pittsford, N.Y. / McQuaid Jesuit",,
68,,69.0,C.J. Hanson,OL,6-6,305.0,Sr.,"Wyckoff, N.J. / DePaul Catholic",,
69,,70.0,Bryan Pacific,OL,6-4,273.0,Jr.,"Winchester, Mass. / Dexter Southfield",,
70,,71.0,Luke Newman,OL,6-5,301.0,Jr.,"Bloomfield Hills, Mich. / Brother Rice",,
71,,73.0,Declan McCauley,OL,6-4,290.0,Jr.,"Westfield, N.J. / Westfield Senior",,
72,,74.0,Eddy Cachon,OL,6-3,279.0,So.,"Miami, Fla. / Gulliver Prep",,
73,,76.0,Pat McMurtrie,OL,6-6,294.0,Sr.,"Verona, N.J. / St. Joseph Regional",,
74,,77.0,Grady Smith,OL,6-4,296.0,Sr.,"Mendham, N.J. / St. Peter's Prep",,
75,,78.0,Dalton Daddona,OL,6-2,295.0,Sr.,"Allentown, Pa. / Bethlehem Catholic",,
76,,79.0,Cam McNair,OL,6-5,320.0,So.,"Toms River, N.J. / Donovan Catholic",,
77,,80.0,Jalen Coker,WR,6-3,207.0,Jr.,"Sterling, Va. / Potomac Falls",,
78,,81.0,Blake Youngblood,WR,6-0,188.0,Fr.,"Coppell, Texas / Parish Episcopal",,
79,,82.0,Bryce Barron,WR,6-3,194.0,Jr.,"Burlington, N.J. / Northern Burlington",,
80,,83.0,Jack Coulson,WR,6-2,205.0,Sr.,"Boca Raton, Fla. / Olympic Heights",,
81,,84.0,Dominik Thomas,WR,6-1,209.0,Sr.,"Irving, N.Y. / St. Francis",,
82,,85.0,Quinton Gregory,WR,5-10,167.0,Jr.,"Chesapeake, Va. / Indian River",,
83,,86.0,Jacob Petersen,TE,6-4,224.0,So.,"Spring Grove, Ill. / Richmond Burton",,
84,,87.0,Matt Brunelle,WR,6-1,182.0,Fr.,"Paxton, Mass. / Loomis Chaffee (Conn.)",,
85,,88.0,Hunter Lane,TE,6-4,240.0,Jr.,"Georgetown, Mass. / Georgetown",,
86,,89.0,Sean Morris,TE,6-4,249.0,Sr.,"Barnegat, N.J. / Barnegat",,
87,,90.0,Jacq Allard,DL,6-3,240.0,Jr.,"San Jose, Calif. / Archbishop Mitty",,
88,,90.0,Joe Townsend,DL,6-2,232.0,So.,"Newark, N.J. / Taft (Conn.)",,
89,,91.0,Dillon Springer,DL,6-2,279.0,Jr.,"Southlake, Texas / Carroll Senior",,
90,,92.0,Dan Kuznetsov,DL,6-3,253.0,Sr.,"Warrington, Pa. / La Salle",,
91,,93.0,Thomas Kiessling,DL,6-4,227.0,Sr.,"Cincinnati, Ohio / St. Xavier",,
92,,93.0,Christian Ross,DL,6-3,255.0,Fr.,"Teaneck, N.J. / Bergen Catholic",,
93,,94.0,Colin Reynolds,DL,6-4,241.0,Fr.,"Westford, Mass. / Lawrence Academy",,
94,,95.0,Patrick Haughney,PK/P,6-3,227.0,Sr.,"Verona, N.J. / St. Peter's Prep",,
95,,96.0,Joshua Williams,DL,6-2,303.0,So.,"Waldorf, Md. / Gonzaga",,
96,,97.0,Osahon Noruwa,DL,6-5,239.0,Fr.,"Staten Island, N.Y. / Curtis",,
97,,98.0,Daniel Santiago,DL,6-2,295.0,Fr.,"Utica, N.Y. / Horizon (Ariz.)",,
98,,99.0,Jared Dyer,DL,6-5,283.0,Jr.,"Merrimack, N.H. / Merrimack",,
0,,,Bob Chesney,,,,,,,Head Coach
1,,,Chris Smith,,,,,,,Offensive Coordinator
2,,,Scott James,,,,,,,Defensive Coordinator
3,,,Drew Canan,,,,,,,Special Teams Coordinator / Tight Ends Coach
4,,,Kyle Barnes,,,,,,,Cornerbacks Coach
5,,,Mike Cordova,,,,,,,Running Backs Coach
6,,,Nick Della Jacono,,,,,,,Defensive Line Coach
7,,,Anthony DiMichele,,,,,,,Safeties Coach / Recruiting Coordinator
8,,,Rich Gunnell,,,,,,,Wide Receivers Coach / Pass Game Coordinator
9,,,Dean Kennedy,,,,,,,Quarterbacks Coach
10,,,Brian Vaganek,,,,,,,Linebackers Coach / Defensive Run Game Coordinator
11,,,Chris Grautski,,,,,,,Director of Football Strength & Conditioning / Pro Liaison
12,,,Jordan Smith,,,,,,,Director of Operations
13,,,Mike Vulcano,,,,,,,Assistant Director of Operations
14,,,Pete Haffner,,,,,,,Offensive Quality Control
15,,,Justice Seales,,,,,,,Defensive Quality Control
16,,,Sam Cohen,,,,,,,Digital Operations & Video Coordinator / Special Teams Quality Control
