,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,High School / Prev. School,Image,Title
0,,1,Chance Harris,RB,5-11,180.0,Jr.,"North Tazewell, Va.",Tazewell HS,,
1,,1,Arvell Rogers,DL,6-2,285.0,Sr.,"Fresno, Calif.",Fresno College (Calif.) / Fresno HS,,
2,,3,Mikey Armour,WR,5-11,185.0,R-Jr.,"Florence, Ky.",Cooper HS,,
3,,9,Carter Cravens,QB,6-2,195.0,R-Fr.,"Cypress, Texas",Cy-Fair HS,,
4,,10,Kyle Daly,WR,5-10,186.0,Sr.,"Sparkhill, N.Y.",Hudson Valley (N.Y.) / Tapppanzee HS,,
5,,13,Ryan Upp,WR,5-10,175.0,Jr.,"Leesburg, Va.",Tuscarora HS,,
6,,14,Matthew Middleton,QB,6-2,185.0,Jr.,"Fort Campbell, Ky.",Riverside College (Calif.) / Fort Campbell HS,,
7,,15,Matthew McClelland,DB,6-2,185.0,So.,"Mesa, Ariz.",Arete Prep Academy,,
8,,16,Josh McClurg,DB,6-1,204.0,Jr.,"Lexington, Ky.",Frederick Douglass HS,,
9,,17,Major Dailey,DB,5-11,170.0,Gr.,"Fishers, Ind.",Taylor (Ind.) / Hamilton Southeastern HS,,
10,,17,Bryce Patterson,QB,6-2,205.0,So.,"Versailles, Ky.",Woodford County HS,,
11,,18,Grady Cramer,QB,6-3,218.0,R-Jr.,"Fort Thomas, Ky.",Highlands HS,,
12,,18,Gabriel Smith,LB,6-4,230.0,Jr.,"Somers, N.Y.",IMG Academy,,
13,,20,Cole Wallace,RB,5-11,195.0,So.,"Morehead, Ky.",Rowan County HS,,
14,,21,Kaleb Lyons,DB,5-11,180.0,So.,"Antioch, Tenn.",Brentwood Academy,,
15,,22,Luciano Corpora-Ellis,DB,6-2,180.0,So.,"Woodstock, Ga.",Etowah HS,,
16,,23,Cooper Krezek,DB,6-0,200.0,R-Jr.,"Kansas City, Mo.",Rockhurst HS,,
17,,23,Jackson Lanier,RB,5-8,175.0,So.,"Bluffton, S.C.",Hilton Head Christian Academy,,
18,,24,Braeden Haynes,K,6-0,168.0,Jr.,"Ooltewah, Tenn.",Ooltewah HS,,
19,,25,Chuck Wick,RB,6-0,185.0,R-So.,"Ventura, Ca.",Ventura College (Calif.) / Ventura HS,,
20,,26,Cory Butler,DB,5-11,175.0,Sr.,"Spanaway, Wash.",Santa Barbara (Calif.) College / Spanaway Lake HS,,
21,,27,James Louis,RB,5-8,185.0,Jr.,"Hillside, N.J.",Hillside HS,,
22,,28,Lukas Reynolds,DB,5-10,190.0,Gr.,"Huntingdon, Tenn.",Murray State / Henry County HS,,
23,,29,Jihad McCall,DB,6-1,190.0,R-Fr.,"Jersey City, N.J.",Hoboken HS,,
24,,30,Dylan Leonardis,LB,6-1,220.0,R-Jr.,"Temple City, Ca.",El Camino College (Calif.) / Arroyo HS,,
25,,32,Alex Herrera,DB,5-10,185.0,So.,"San Jacinto, CA",Vista Murrieta HS,,
