,Statistic,#,Name,Ht.,Wt.,Pos.,Yr.,Hometown / High School,Previous School,Image,Title
5,,,Jerone Steckel,,,,,,,,Defensive Line
6,,,Lucas Orchard,,,,,,,,Offensive Line
7,,,Tim Billings,,,,,,,,Outside Linebackers
8,,,Connor Benado,,,,,,,,Inside Linebackers/Specialists
9,,,Cole Cook,,,,,,,,Tight Ends
10,,,Luke Berblinger,,,,,,,,Running Backs
11,,,Darius Hicks,,,,,,,,Assistant Defensive Backs/Cornerbacks
12,,,Brett Blackman,,,,,,,,Director of Operations
13,,,Ryan Napoli,,,,,,,,Director of Sports Performance
14,,,Skyler Cavanaugh,,,,,,,,Graduate Assistant Offense
15,,,Madison Bunch,,,,,,,,Recruiting Coordinator
16,,,Wyatt Anderson,,,,,,,,Video Coordinator/Defensive Quality Control
