,Statistic,#,Name,Ht.,Wt.,Pos.,Yr.,Hometown / High School,Previous School,Image,Title
0,,1.0,Ryan Flournoy,6-2,197.0,WR,Jr.,"Hazelcrest, Ill. / Homewood-Flossmoor",Iowa Western CC,,
1,,2.0,Jackson Bray,5-11,184.0,WR,Fr.,"Nixa, Mo. / Nixa",,,
2,,2.0,Joedrick Lewis,5-11,184.0,DB,So.,"Houston, Texas / MacArthur",Trinity Valley CC,,
3,,3.0,Logan Bruns,6-1,196.0,K,Fr.,"Jackson, Mo. / Jackson",,,
4,,3.0,Christian Perez,6-1,211.0,QB,Sr.,"East St. Louis, Ill. / East St. Louis",Louisville,,
5,,4.0,Christian Fuhrman,6-1,237.0,ILB,So.,"Mesa, Ariz. / Queen Creek",Garden City CC,,
6,,4.0,Johnny King,6-4,206.0,WR,Sr.,"Lauderdale Lakes, Fla. / Boyd H. Anderson",Northeastern Oklahoma A&M,,
7,,5.0,Ty Leonard,6-0,170.0,DB,Sr.,"Louisville, Ky. / Butler",,,
8,,5.0,CJ Ogbonna,6-2,212.0,QB,Sr.,"Marietta, Ga. / Wheeler",Hutchinson CC,,
9,,6.0,Geno Hess,5-8,222.0,RB,Sr.,"Peoria, Ill. / Peoria",,,
10,,6.0,William McCall,6-1,171.0,DB,Sr.,"Warner Robins, Ga. / Northside",Highland CC,,
11,,7.0,Jalen Blackburn,6-2,195.0,WR,Fr.,"Fayetteville, Ark. / Fayetteville",,,
12,,7.0,Lawrence Johnson,6-0,196.0,DB,Sr.,"St. Louis, Mo. / Riverview Gardens",,,
13,,8.0,Pervis Frazier,6-0,200.0,WR,Sr.,"Louisville, Miss. / Louisville",East Mississippi CC,,
14,,8.0,Trai Hodges,5-10,178.0,DB,Sr.,"Rome, Ga. / Rome",,,
15,,9.0,Keveon Robbins,6-0,211.0,RB,R-Fr.,"Sparta, Ga. / Hancock Central",,,
16,,9.0,Shamar Williamson,6-1,168.0,WR,Fr.,"New Madrid, Mo. / New Madrid County Central",,,
17,,10.0,Paxton DeLaurent,6-5,215.0,QB,So.,"Camdenton, Mo. / Camdenton",Central Methodist,,
18,,10.0,Dony'e Taylor,6-1,202.0,DB,Jr.,"Cape Girardeau, Mo. / Central",,,
19,,11.0,Patrick Heitert,6-0,201.0,QB,Fr.,"St. Louis, Mo. / Christian Brothers College",,,
20,,11.0,Mike Matthews,6-1,237.0,OLB,Sr.,"Fayetteville, N.C. / Jack Britt",,,
21,,12.0,Jacob Buie,6-5,208.0,QB,Sr.,"Memphis, Tenn. / University School of Jackson",,,
22,,12.0,Jordan Cole,6-2,214.0,OLB,Gr.,"Ferguson, Mo. / McCluer South-Berkeley",Northern Illinois,,
23,,13.0,Mali Walton,6-0,222.0,ILB,So.,"St. Louis, Mo. / Parkway South",,,
24,,14.0,Dalyn McDonald,5-11,174.0,WR,So.,"Gautier, Miss. / Gautier",Southwest Mississippi CC,,
25,,15.0,Garrett Todd,5-10,172.0,WR,Sr.,"Lebanon, Tenn. / Wilson Central",,,
26,,16.0,Austin Carter,6-3,225.0,OLB,Jr.,"Broken Arrow, Okla. / Broken Arrow",Northeastern Oklahoma A&M,,
27,,16.0,Damoriea Vick,6-3,206.0,WR,Jr.,"Oklahoma City, Okla. / Westmoore",Missouri State,,
28,,17.0,Jesi Bediako,6-3,194.0,WR,Jr.,"Kansas City, Mo. / Oak Park",Fullerton College,,
29,,17.0,Kyron Downing,5-10,180.0,WR,Fr.,"Vinita, Okla. / Vinita",,,
30,,18.0,Keandre Booker,6-3,243.0,OLB,Sr.,"Moss Point, Miss. / Moss Point",,,
31,,18.0,Carson Smith,6-5,199.0,QB,Fr.,"Eureka, Mo. / Eureka",,,
32,,19.0,Adam Krause,6-0,180.0,K/P,Sr.,"Chicago, Ill. / Montini Catholic",Western Kentucky,,
33,,20.0,Q'Nairies Anderson,5-11,195.0,RB,Jr.,"Charleston, Mo. / Charleston",,,
34,,21.0,Shamenski Rucker,5-10,190.0,RB,Jr.,"Lawrenceville, Ga. / Central Gwinnett",,,
35,,22.0,Tyler Nelome,6-3,193.0,DB,Jr.,"Atlanta, Ga. / Dutchtown",,,
36,,23.0,Henry Pickens III,6-1,167.0,DB,Fr.,"Belle Glade, Fla. / Palmetto Prep Academy (S.C.)",,,
37,,24.0,JaQori Williams,6-0,181.0,DB,So.,"Montgomery, Ala. / Stanhope Elmore",Dodge City CC,,
38,,25.0,Slade Dollar,6-2,215.0,ILB,Fr.,"Naples, Fla. / Naples",,,
39,,25.0,Amehre Morrison,5-6,160.0,RB,Fr.,"College Park, Ga. / River Ridge",,,
40,,26.0,Keilyn Tyus,6-3,229.0,OLB,Jr.,"Barnesville, Ga. / Lamar County",,,
41,,27.0,"Aquarius Winston, Jr.",6-1,190.0,DB,Fr.,"Southaven, Miss. / Southaven",,,
42,,28.0,"Eric ivory, Jr.",6-0,179.0,DB,Fr.,"Vienna, Ga. / Crisp County",,,
43,,29.0,Antonio Taylor,5-11,185.0,DB,So.,"Ellenwood, Ga. / Cedar Grove",,,
44,,30.0,Jaylan West,6-3,175.0,WR,R-Fr.,"Wilson, Ark. / Rivercrest",,,
45,,31.0,Devin Wills,5-11,208.0,RB,So.,"Mascoutah, Ill. / Mascoutah",Missouri Baptist,,
46,,32.0,Bryce Norman,6-0,226.0,ILB,So.,"Jackson, Mo. / Jackson",,,
47,,33.0,Darrell Smith,5-11,201.0,RB,Jr.,"Alton, Ill. / Alton",College of DuPage,,
48,,34.0,Dylan Schnitzler,5-8,186.0,RB,R-Fr.,"Festus, Mo. / Jefferson",,,
49,,35.0,Jordan Jarrett,6-0,176.0,DB,Fr.,"Kennett, Mo. / Kennett",,,
50,,36.0,Austin Harpenau,6-0,183.0,K,Sr.,"Overland Park, Kan. / Blue Valley Northwest",Western Illinois,,
51,,37.0,Nik Rowland,6-5,225.0,TE,Fr.,"Poplar Bluff, Mo. / Poplar Bluff",,,
52,,38.0,Joel Logan,6-3,216.0,OLB,Fr.,"Helena, Ala. / Helena",,,
53,,39.0,Jorge Figueroa,6-0,222.0,K,So.,"Las Cruces, N.M. / Las Cruces",Santa Barbara City College,,
54,,41.0,Jenson Walker,6-3,227.0,LS,Jr.,"Holly, Mich. / Holly",,,
55,,42.0,Collin Williams,6-3,215.0,OLB,Fr.,"Kansas City, Mo. / Bishop Miege",,,
56,,43.0,Matt Bigley,6-1,224.0,ILB,Sr.,"West Salem, Wis. / West Salem",Ellsworth CC,,
57,,44.0,Jacob Morrissey,6-0,230.0,ILB,Jr.,"Edwardsville, Ill. / Edwardsville",,,
58,,45.0,Izeal Terrell,6-3,234.0,OLB,Sr.,"Alton, Ill. / Alton",,,
59,,46.0,Clark Curnow,6-0,183.0,K,So.,"Jackson Hole, Wyo. / Jackson Hole",,,
60,,47.0,Zach Haynes,6-1,193.0,K/P,Jr.,"Potosi, Mo. / Potosi",,,
61,,48.0,Latrevion Thompson,6-2,210.0,OLB,Fr.,"Kennett, Mo. / Kennett",,,
62,,49.0,DC Pippin,6-0,178.0,K,Jr.,"Springfield, Ill. / Springfield",,,
63,,50.0,Lunden Manuel,6-2,295.0,DL,Sr.,"Memphis, Tenn. / St. Benedict at Auburndale",,,
64,,51.0,Nolan Reed,6-3,221.0,ILB,Fr.,"Bonne Terre, Mo. / North County",,,
65,,52.0,Judd Cunningham,6-0,209.0,ILB,R-Fr.,"Farmington, Mo. / Farmington",,,
66,,53.0,Otto Kyler,6-2,237.0,ILB,Fr.,"Zionsville, Ind. / Zionsville",,,
67,,55.0,Nasim Cairo,6-2,248.0,DL,Fr.,"Edwardsville, Ill. / Edwardsville",,,
68,,56.0,Zack Gieg,6-1,287.0,OL,Sr.,"Morgan Hill, Calif. / Valley Christian",Fresno State,,
69,,57.0,Jalias Anderson,6-3,210.0,ILB,Fr.,"Malden, Mo. / Malden",,,
70,,59.0,Adrian Smith,6-1,181.0,DB,Fr.,"New Madrid, Mo. / New Madrid County Central",,,
71,,60.0,AJ Laux,6-4,297.0,OL,Jr.,"Gilbert, Ariz. / Higley",,,
72,,61.0,Ja'Mian Golden,6-3,239.0,OLB,Fr.,"Parma, Mo. / New Madrid County Central",,,
73,,62.0,Ja'Kobe Watkins,6-2,289.0,OL,Fr.,"Detroit, Mich. / Belleville",,,
74,,64.0,Chris Frye,6-2,279.0,OL,Fr.,"Kansas City, Mo. / Lincoln Prep",,,
75,,66.0,Mckel Brumfield,6-0,314.0,OL,R-Fr.,"Crozet, Va. / North Marion",,,
76,,68.0,Nate Korte,6-4,305.0,OL,Sr.,"Morris, Ill. / Morris Community",,,
77,,69.0,Kobe Sixkiller,6-1,300.0,OL,So.,"Jay, Okla. / Jay",Northeastern Oklahoma A&M,,
78,,70.0,Shyron Rodgers,6-3,330.0,OL,Sr.,"Corinth, Miss. / Corinth",Northwest Mississippi CC,,
79,,71.0,Tyson Miller,6-5,279.0,OL,Fr.,"Lafayette, Ind. / Lafayette Jefferson",,,
80,,72.0,Jamarcus Hill,6-5,275.0,OL,Fr.,"Jefferson, Ga. / Jefferson",,,
81,,73.0,Will Christopher,6-3,301.0,OL,Sr.,"Girard, Ill. / North Mac",,,
82,,74.0,Phillip Wilder,6-5,303.0,OL,Jr.,"Jonesboro, Ga. / Mt. Zion",,,
83,,75.0,Clive Truschel,6-3,291.0,OL,Sr.,"Clovis, Calif. / Clovis West",Fresno State,,
84,,76.0,Terry Cook,6-4,309.0,OL,Gr.,"Elgin, Texas / Elgin",Cisco College,,
85,,77.0,Rashad Turner,6-5,294.0,OL,Fr.,"St. Louis, Mo. / Carnahan",,,
86,,78.0,Cameron Lawson,6-3,281.0,OL,Fr.,"Liberty, Mo. / Liberty",,,
87,,80.0,Kortez Stevenson,6-4,237.0,TE,Fr.,"Kansas City, Mo. / Center",,,
88,,81.0,Danny Joiner,6-3,249.0,TE,So.,"Kansas City, Mo. / North Kansas City",Army,,
89,,82.0,Jaelyn Marsh,5-11,188.0,WR,Fr.,"Dickson, Tenn. / Nashville Christian",,,
90,,83.0,Jack Clinkenbeard,5-11,196.0,WR,R-Fr.,"Springfield, Mo. / Glendale",,,
91,,84.0,Zach Martin,5-10,177.0,WR,Jr.,"Long Beach, Calif. / Millikan",Long Beach City College,,
92,,85.0,Octavius Henderson,6-3,185.0,WR,Fr.,"Nashville, Tenn. / Goodpasture Christian School",,,
93,,86.0,Alex Atwell,5-10,158.0,K,Fr.,"Mt. Joliet, Tenn. / Wilson Central",,,
94,,87.0,Braden Thompson,6-4,241.0,TE,Fr.,"Nebraska City, Neb. / Nebraska City",,,
95,,88.0,Will Weidemann,6-5,261.0,TE,Sr.,"Clarion, Iowa / Goldfield",Ellsworth,,
96,,89.0,Justin Mitchell,5-10,179.0,WR,So.,"Lenexa, Kan. / Shawnee Mission Northwest",Dodge City CC,,
97,,90.0,Michael Harris,6-2,290.0,DL,So.,"Shawnee, Kan. / Shawnee Mission Northwest",,,
98,,91.0,LaWilliam Holmes,6-2,300.0,DL,Sr.,"Carthage, Miss. / Louisville",Copiah-Lincoln CC,,
99,,92.0,Caleb Williams,6-4,280.0,DL,So.,"San Antonio, Texas / Warren",Trinity Valley CC,,
100,,93.0,Tony Failla,6-2,279.0,DL,Fr.,"Omaha, Neb. / Millard West",,,
101,,94.0,Harris Adams,6-3,307.0,DL,So.,"Dickson, Tenn. / Nashville Christian",,,
102,,95.0,Sam Keeper,6-1,267.0,DL,So.,"St. Louis, Mo. / Cardinal Ritter",,,
103,,97.0,Caleb Webb,5-11,285.0,DL,R-Fr.,"Memphis, Tenn. / Cordova",,,
104,,98.0,Michael Jamerson,6-2,313.0,DL,Fr.,"Tulsa, Okla. / Owasso",,,
105,,99.0,Steven Lewis,6-1,289.0,DL,Jr.,"Pontiac, Ill. / Pontiac",,,
0,,,Tom Matukewicz,,,,,,,,Head Coach
1,,,Jeromy McDowell,,,,,,,,Offensive Coordinator/Quarterbacks
2,,,Ricky Coon,,,,,,,,Defensive Coordinator
3,,,Ray Smith,,,,,,,,Defensive Pass Game Coordinator
4,,,Justin Drudik,,,,,,,,Offensive Pass Game Coordinator/Wide Receivers
