,Statistic,#,Full Name,Pos.,Eligibility,Ht.,Wt.,Hometown / High School,Previous School,Image,Name,Title
39,,44.0,Richie Kimmel,LB,So.,6-1,225.0,"Holmes, Pa. / Archbishop Carroll",,,,
40,,51.0,Dale Law,LB,Fr.,6-1,215.0,"West Chester, Pa. / Malvern Prep",,,,
41,,84.0,Daniel Lopes,WR,R-Fr.,6-2,200.0,"Cheshire, Conn. / Cheshire Academy",,,,
42,,12.0,Tanner Maddocks,QB,Fr.,6-1,180.0,"Reading, Pa. / Fleetwood",,,,
43,,29.0,Derek Marrero,DB,Fr.,5-10,180.0,"New Windsor, N.Y. / Cornwall Central",,,,
44,,24.0,Devon Marshall,DB,Fr.,6-0,190.0,"Boston, Mass. / Catholic Memorial",,,,
45,,61.0,Dan McManus,OL,Fr.,6-4,240.0,"Havertown, Pa. / Cardinal O'Hara",,,,
46,,39.0,Matthew Mercurio,K,Gr.,6-1,175.0,"Salinas, Calif. / Palma",San Jose State,,,
47,,26.0,Tyrell Mims,DB,So.,5-10,190.0,"Philadelphia, Pa. / Martin Luther King",,,,
48,,8.0,Antonio Montero,LB,Gr.,6-0,225.0,"Eden Prairie, Minn. / Eden Prairie",Rice,,,
49,,97.0,Daniel Mueller,P,Fr.,5-10,180.0,"Ephrata, Pa. / Lancaster Catholic",,,,
50,,46.0,Jared Nelson,DL,Gr.,6-3,290.0,"Glastonbury, Conn. / Glastonbury",,,,
51,,45.0,Jordan Nelson,LB,So.,6-2,225.0,"Palmerton, Pa. / Palmerton Area",,,,
52,,17.0,Irene Ngabonziza,WR,R-Fr.,5-9,185.0,"Fort Worth, Texas / Nolan Catholic",,,,
53,,95.0,Jake Northrop,DL,Sr.,6-3,270.0,"Fairfield, Conn. / Ludlowe",,,,
54,,98.0,Obinna Nwobodo,DL,So.,6-3,305.0,"Wilmington, Del. / Delaware County Christian School",,,,
55,,18.0,Matt O'Connor,QB,Sr.,6-2,205.0,"Narberth, Pa. / Lower Merion",,,,
56,,23.0,Josh Oluremi,DB,Fr.,6-3,185.0,"Avenel, N.J. / Colonia",,,,
57,,6.0,Ricky Ortega,QB,So.,5-10,185.0,"Coatesville, Pa. / Coatesville",,,,
58,,66.0,James Petrovcik,OL,Sr.,6-3,295.0,"Westfield, N.J. / Seton Hall Prep",,,,
59,,69.0,Jake Picard,OL,So.,6-3,290.0,"Hope, R.I. / Bishop Hendricken",,,,
60,,14.0,Jonnie Pitman,DB,Gr.,5-11,185.0,"Temple Hills, Md. / Potomac",Charlotte,,,
61,,34.0,Ethan Potter,DB,So.,5-11,205.0,"Chesapeake City, Md. / Caravel Academy",,,,
62,,99.0,CJ Pressley,DL,Jr.,6-4,285.0,"Philadelphia, Pa. / West Catholic / Peddie School (N.J.)",,,,
63,,19.0,Rayjuon Pringle,WR,Jr.,5-9,190.0,"Woodbridge, Va. / Hayfield Secondary School",,,,
64,,38.0,John Rhodan,DB,So.,5-11,190.0,"Elkton, Md. / Elkton",,,,
65,,41.0,Garrett Rogan,DB,Fr.,6-2,175.0,"Mercer Island, Wash. / Mercer Island",,,,
66,,72.0,Jaden Rolling,OL,Jr.,6-5,320.0,"Brooklyn, N.Y. / Hudson Catholic",,,,
67,,16.0,Jack Ryder,QB,Fr.,6-2,185.0,"Media, Pa. / Strath Haven/IMG Academy (Fla.)",,,,
68,,82.0,Jaylan Sanchez,WR,Fr.,6-0,190.0,"North Bergen, N.J. / St. Peter's Prep/St. Thomas Aquinas (Fla.)",,,,
69,,25.0,Christian Sapp,DB,So.,6-0,195.0,"East Stroudsburg, Pa. / East Stroudsburg South",,,,
70,,5.0,Kshawn Schulters,DB,So.,6-1,190.0,"Roselle, N.J. / Saint Joseph",,,,
71,,20.0,Josh Slay,LB,Jr.,5-11,220.0,"Douglasville, Ga. / Douglas County",,,,
72,,21.0,Eli Smith,RB,Fr.,6-0,190.0,"Houston, Texas / Second Baptist",,,,
73,,85.0,Jack Stanton,TE,Jr.,6-2,235.0,"Alpharetta, Ga. / Alpharetta",,,,
74,,32.0,JR Strauss,LB,Fr.,6-3,220.0,"Reading, Pa. / Exeter Township",,,,
75,,79.0,Nick Torres,OL,Sr.,6-6,320.0,"Whitestone, N.Y. / Salisbury School (Conn.)",,,,
76,,9.0,Ty Trinh,DB,So.,5-11,200.0,"Owings Mills, Md. / Calvert Hall College HS",,,,
77,,50.0,Adam Vanino,LS,Fr.,5-11,245.0,"West Lawn, Pa. / Wilson",,,,
